Property Name,Reported,Property Type,Address,ZIP, Gross Area (sq ft) ,Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built, GHG Emissions (MTCO2e) ,GHG Intensity (kgCO2/sf), Total Site Energy (kBTU) ,% Electricity,% Gas,% Steam,Water Intensity (gal/sf), Onsite Renewable (kWh) ,User Submitted Info,User Submitted Link,Tax Parcel,Years Reported
251 Causeway - Ste# 700490,Compliant,Office, 251 Causeway Street,02114,150097,62,75,"2017, 2016, 2015, 2014, 2013","Medical Office, Office",1909,703,4.7,9310256.1,0.948339574,0.048892318,,9.72,,,,301510000,"2014, 2015, 2016, 2017, 2018, "
South Cove Plaza East - 285 TREMONT: 26145951005,Compliant,Multifamily Housing, 285 TREMONT,02116,85986,24,96,,Multifamily Housing,1975,158,1.8,2060341.7,1.000041325,,,53.76,,,,500066000,"2015, 2016, 2018, "
Woodbourne Apartments,Compliant,Multifamily Housing, 6 Southbourne Rd,02130,49064,82.3,53,,Multifamily Housing,1980,238,4.9,4036588.1,0.248623256,0.751387043,,63.19,,,,1904952000,"2015, 2016, 2017, 2018, "
Navy Yard 34-39: Building 34,Compliant,Office,1 1st Avenue,02129,49247,274.8,1,,"Bank Branch, Office, Retail Store",1989,1009.1,20.5,13531047.8,0.911122218,0.088915479,,13.47,,,,203512000,"2017, 2018, "
One Appleton,Compliant,Office,1 Appleton Street,02116,40000,44.7,99,,"Office, Restaurant",1900,104.7,2.6,1789160.6,0.228974011,0.771035565,,17.9,,,,500693000,"2016, 2017, 2018, "
Engine 56,Municipal ,Fire Station,1 Ashley St,02128,6844,153.3,,,Fire Station,2000,60.7,8.9,1049484.2,0.199663523,0.800344641,,Not Available,,,,101681000,"2016, 2017, 2018, "
One Beacon,Compliant,Office,1 Beacon Street,02108,1136283,102.1,81,"2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007","Data Center, Office, Parking",1973,8178.9,7.2,116022321.3,0.418717059,0.015490123,0.565810146,9.18,,,,302720000,"2014, 2015, 2016, 2017, 2018, "
One Canal,Compliant,Multifamily Housing,1 Canal Street,02114,273110,44.2,82,,Multifamily Housing,2016,783.7,2.9,12069203.7,0.501863762,0.498156998,,6.2,,,,301560010,"2017, 2018, "
Center Plaza,Compliant,Office,1 Center Plaza,02108,741231,63.6,93,"2017, 2016, 2015","Bank Branch, Fast Food Restaurant, Office, Parking, Restaurant, Retail Store",1963,3137.4,4.2,47141381.4,0.570466828,0.429556782,,8.89,,"This property is identified as 3 buildings for tax purposes.  However, it is actually one physical building and is benchmarked as such.  The other two tax parcel numbers are:

Center Plaza 1 - 0302713000
Center Plaza 2 - 0302715000
Center Plaza 3 - 0302717000
(JL April 2014)

The building has one 600 Sq Ft ""IT room"" but is not currently configured to benchmark this as data center space per ENERGY STAR requirements. (JL - 6/3/2014)

10/14/2014 - Retail space benchmarked (JL)

4/20/2016 - Profile updated based on new building measurements from file ""Center Plaza ENERGY STAR Sq Footage UPDATE 4.15.16"".  Back-up of old profile saved as ""Center Plaza ENERGY STAR Profile Back-Up - 2016-04-20.xls"".  (JL)

6/1/2016 - Parking sq ft updated. (JL)

This building, Center Plaza is a multi story high rise building in Boston, MA. It is an office building with tenants, including Salsify and Kinsale.",,0302713000 0302715000 0302717000,"2014, 2015, 2016, 2017, 2018, "
William J. Devine Golf Course,Municipal ,Other - Recreation,1 Circuit Drive,02124,14000,114.2,,,Other - Recreation,2000,97.7,7,1599196.4,0.33827048,0.661743617,,Not Available,,,,1203486000,"2016, 2017, 2018, "
Ames Hotel,Compliant,Hotel,1 Court Street ,02108,95000,96.4,36,,Hotel,1893,615.6,6.5,9159028.9,0.598537526,0.401487238,,28.51,,,,302885000,"2015, 2017, 2018, "
MA0050ZZ - MOAKLEY COURTHOUSE,Voluntary,Courthouse,1 COURTHOUSE WAY,02109,972346,72.1,,,"Courthouse, Data Center, Parking, Prison/Incarceration, Residence Hall/Dormitory, Restaurant, Social/Meeting Hall",1998,4837.3,5,70061300.7,0.67623156,0.323796426,,13.03,,"There are 4 data rooms in the Moakley; 2 USMS, 1 USCA, 1 USA",,602671010,"2014, 2015, 2016, 2018, "
Jamestown - 1 Design Center Boston,Compliant,Other,1 Design Center Place,02210,556340,62.3,,2016,"Office, Other, Restaurant",1985,2275.2,4.1,34636765,0.533770935,0.46625115,,6.98,,Parcel IDs 0602674012 and 0602674018,,0602674012 0602674018,"2014, 2015, 2016, 2017, 2018, "
Millennium Towers,Compliant,Multifamily Housing,1 Franklin St,02110,758542,71.9,7,,"Multifamily Housing, Retail Store",2016,3727.8,4.9,54512154.3,0.648232328,0.3517945,,16.11,,,,304590010,"2018, "
1 Guest,Compliant,Other - Education,1 Guest St,02135,126300,Not Available,,,Other - Education,2007,Not Available,Not Available,Not Available,,,,Not Available,,,,2201909010,"2015, 2016, 2018, "
Trinity Place Condominium,Compliant,Multifamily Housing,1 Huntington Ave.,02116,177636,124.6,1,,"Multifamily Housing, Other - Services, Parking, Restaurant",2001,1530.5,8.6,22127344.8,0.423532701,0.119282278,0.456990502,32.93,,"""Other - Services Use"" is the currently vacant health club.",,401053010,"2015, 2016, 2017, 2018, "
One Channel Center,Compliant,Financial Office,1 Iron St,02210,501650,55.1,94,"2016, 2015",Financial Office,2014,2033.6,4.1,27626781.8,0.866036188,0.129504011,,12.8,,"This property is a single tenant property.  Reporting was completed by owner's agent.

LEED EB; O&M Project #1000067309 
Project Name: One Channel Center ",,602750011,"2015, 2016, 2017, 2018, "
DFCI - Smith Building,Compliant,Other,1 Jimmy Fund Way,02215,328204,494.1,,,"Other, Parking",1995,11937.6,36.4,162155821.9,0.175176702,,0.602994373,73.96,,"Smith Building

The Smith Building contains a mix of space uses, primarily specialized medical research laboratories. DFCI has, and will continue to, reduced the buildings energy intensity through thoughtful investment in more efficient systems and practices when possible.",,401919000,"2014, 2015, 2016, 2017, 2018, "
Long Island Campus,Municipal ,Residence Hall/Dormitory,1 Long Island Rd,02171,300000,Not Available,,,Residence Hall/Dormitory,2000,Not Available,Not Available,Not Available,,,,Not Available,,,,107066000,"2016, 2017, 2018, "
