Electricity Direct Use Annual
https://www.eia.gov/opendata/qb.php?category=711279&sdid=TOTAL.ELDUPUS.A
10:20:42 GMT+0100 (GMT 夏令时)
Source: U.S. Energy Information Administration
Year,Series ID: TOTAL.ELDUPUS.A Million Kilowatthours
2018,143579.059
2017,141114.442
2016,139844.397
2015,141167.519
2014,138573.884
2013,143461.937
2012,137656.51
2011,132754.037
2010,131910.249
2009,126937.958
2008,132196.685
2007,125670.185
2006,146926.612
2005,150015.531
2004,168470.002
2003,168294.526
2002,166184.296
2001,162648.615
2000,170942.509
1999,171629.285
1998,160865.884
1997,156238.898
1996,152638.016
1995,150676.54
1994,146325.334
1993,139237.877
1992,133841.244
1991,124057.179
1990,124528.94
1989,108825.821
1988,
1987,
1986,
1985,
1984,
1983,
1982,
1981,
1980,
1979,
1978,
1977,
1976,
1975,
1974,
1973,
1972,
1971,
1970,
1969,
1968,
1967,
1966,
1965,
1964,
1963,
1962,
1961,
1960,
1959,
1958,
1957,
1956,
1955,
1954,
1953,
1952,
1951,
1950,
1949,
