Electricity End Use Total Annual
https://www.eia.gov/opendata/qb.php?category=711279&sdid=TOTAL.ELTCPUS.A
10:20:35 GMT+0100 (GMT 夏令时)
Source: U.S. Energy Information Administration
Year,Series ID: TOTAL.ELTCPUS.A Million Kilowatthours
2018,3945507.251
2017,3864470.416
2016,3902306.027
2015,3900159.908
2014,3903274.151
2013,3868329.758
2012,3832306.296
2011,3882600.217
2010,3886751.617
2009,3723733.092
2008,3866161.304
2007,3890230.897
2006,3816845.452
2005,3810984.044
2004,3715949.485
2003,3662029.012
2002,3631650.307
2001,3557106.719
2000,3592356.777
1999,3483716.365
1998,3425096.635
1997,3301849.323
1996,3253765.041
1995,3163963.129
1994,3080888.198
1993,3000700.217
1992,2897206.69
1991,2886060.219
1990,2837083.605
1989,2755635.153
1988,2578062.495
1987,2457272.219
1986,2368753.052
1985,2323973.852
1984,2285796.394
1983,2150954.584
1982,2086441.352
1981,2147102.862
1980,2094449
1979,2071099
1978,2017922
1977,1948361.212
1976,1855246.094
1975,1747090.627
1974,1705923.726
1973,1712908.781
1972,1595160.691
1971,1469540.277
1970,1392299.9
1969,1313833.246
1968,1202871.017
1967,1099217.266
1966,1035144.6
1965,953789.313
1964,896059.014
1963,832613.108
1962,777599.729
1961,721950.183
1960,688074.762
1959,646887.877
1958,587863.052
1957,575820.175
1956,546280.491
1955,496748.053
1954,424163.792
1953,396216.896
1952,356163.96
1951,330284.583
1950,291443.326
1949,254511.334
