Hydroelectric Power Consumption per Production Annual
https://www.eia.gov/opendata/qb.php?category=711240&sdid=TOTAL.HVTCBUS.A
09:54:39 GMT+0100 (GMT 夏令时)
Source: U.S. Energy Information Administration
Year,Series ID: TOTAL.HVTCBUS.A Trillion Btu
2018,2687.652
2017,2766.969
2016,2472.442
2015,2321.177
2014,2466.577
2013,2562.382
2012,2628.702
2011,3102.852
2010,2538.541
2009,2668.824
2008,2511.108
2007,2446.389
2006,2869.035
2005,2702.942
2004,2688.468
2003,2792.539
2002,2689.017
2001,2241.858
2000,2811.116
1999,3267.575
1998,3297.054
1997,3640.458
1996,3589.656
1995,3205.307
1994,2683.457
1993,2891.613
1992,2617.436
1991,3015.943
1990,3046.391
1989,2837.263
1988,2334.265
1987,2634.508
1986,3071.179
1985,2970.192
1984,3385.811
1983,3527.26
1982,3265.558
1981,2757.968
1980,2900.144
1979,2930.686
1978,2936.983
1977,2333.252
1976,2976.265
1975,3154.607
1974,3176.58
1973,2861.448
1972,2863.865
1971,2824.151
1970,2633.547
1969,2647.983
1968,2348.629
1967,2346.664
1966,2061.519
1965,2059.077
1964,1886.314
1963,1771.355
1962,1816.141
1961,1656.463
1960,1607.975
1959,1548.465
1958,1591.967
1957,1515.613
1956,1434.711
1955,1359.844
1954,1359.772
1953,1412.859
1952,1465.812
1951,1423.795
1950,1415.411
1949,1424.722
