Hydroelectric Power Consumption per Production Monthly
https://www.eia.gov/opendata/qb.php?category=711240&sdid=TOTAL.HVTCBUS.M
09:54:44 GMT+0100 (GMT 夏令时)
Source: U.S. Energy Information Administration
Month,Series ID: TOTAL.HVTCBUS.M Trillion Btu
Dec 2018,218.603
Nov 2018,204.308
Oct 2018,173.029
Sep 2018,171.956
Aug 2018,197.159
Jul 2018,221.246
Jun 2018,257.546
May 2018,280.393
Apr 2018,253.266
Mar 2018,239.091
Feb 2018,235.239
Jan 2018,235.815
Dec 2017,206.158
Nov 2017,189.462
Oct 2017,168.449
Sep 2017,175.664
Aug 2017,201.312
Jul 2017,244.064
Jun 2017,278.434
May 2017,298.355
Apr 2017,270.77
Mar 2017,269.679
Feb 2017,217.825
Jan 2017,246.796
Dec 2016,207.976
Nov 2016,173.638
Oct 2016,160.072
Sep 2016,151.106
Aug 2016,180.666
Jul 2016,198.076
Jun 2016,214.523
May 2016,235.29
Apr 2016,238.906
Mar 2016,252.863
Feb 2016,222.851
Jan 2016,236.473
Dec 2015,215.88
Nov 2015,180.209
Oct 2015,154.979
Sep 2015,149.981
Aug 2015,178.199
Jul 2015,195.832
Jun 2015,190.239
May 2015,187.549
Apr 2015,209.407
Mar 2015,226.274
Feb 2015,207.684
Jan 2015,224.946
Dec 2014,212.347
Nov 2014,177.123
Oct 2014,163.184
Sep 2014,152.867
Aug 2014,188.367
Jul 2014,231.639
Jun 2014,244.824
May 2014,252.432
Apr 2014,241.934
Mar 2014,230.685
Feb 2014,165.437
Jan 2014,205.737
Dec 2013,201.585
Nov 2013,168.655
Oct 2013,164.092
Sep 2013,161.826
Aug 2013,206.403
Jul 2013,260.036
Jun 2013,261.271
May 2013,271.442
Apr 2013,239.451
Mar 2013,195.918
Feb 2013,194.813
Jan 2013,236.889
Dec 2012,218.713
Nov 2012,178.257
Oct 2012,157.02
Sep 2012,167.517
Aug 2012,219.192
Jul 2012,252.091
Jun 2012,253.685
May 2012,272.562
Apr 2012,250.215
Mar 2012,246.546
Feb 2012,193.017
Jan 2012,219.888
Dec 2011,230.58
Nov 2011,200.932
Oct 2011,192.254
Sep 2011,207.705
Aug 2011,250.319
Jul 2011,303.962
Jun 2011,312.381
May 2011,316.615
Apr 2011,303.084
Mar 2011,302.503
Feb 2011,234.459
Jan 2011,248.06
Dec 2010,226.037
Nov 2010,190.842
Oct 2010,172.515
Sep 2010,168.439
Aug 2010,196.283
Jul 2010,239.186
Jun 2010,291.254
May 2010,244.673
Apr 2010,186.307
Mar 2010,203.761
Feb 2010,200.874
Jan 2010,218.369
Dec 2009,241.363
Nov 2009,205.035
Oct 2009,192.185
Sep 2009,169.421
Aug 2009,191.105
Jul 2009,228.235
Jun 2009,285.318
May 2009,288.502
Apr 2009,251.513
Mar 2009,213.036
Feb 2009,173.845
Jan 2009,229.265
Dec 2008,205.569
Nov 2008,154.392
Oct 2008,152.441
Sep 2008,159.42
Aug 2008,209.193
Jul 2008,251.82
Jun 2008,287.514
May 2008,268.237
Apr 2008,219.093
Mar 2008,213.526
Feb 2008,185.146
Jan 2008,204.758
Dec 2007,181.289
Nov 2007,155.001
Oct 2007,146.248
Sep 2007,145.715
Aug 2007,197.092
Jul 2007,222.17
Jun 2007,225.519
May 2007,257.448
Apr 2007,236.135
Mar 2007,238.832
Feb 2007,183.513
Jan 2007,257.426
Dec 2006,214.21
Nov 2006,201.075
Oct 2006,169.17
Sep 2006,170.621
Aug 2006,215.524
Jul 2006,252.333
Jun 2006,295.163
May 2006,305.688
Apr 2006,283.244
Mar 2006,244.251
Feb 2006,245.611
Jan 2006,272.144
Dec 2005,221.389
Nov 2005,193.507
Oct 2005,180.046
Sep 2005,173.619
Aug 2005,215.635
Jul 2005,259.542
Jun 2005,267.803
May 2005,272.758
Apr 2005,230.561
Mar 2005,229.338
Feb 2005,216.046
Jan 2005,242.697
Dec 2004,262.527
Nov 2004,209.705
Oct 2004,188.93
Sep 2004,205.581
Aug 2004,216.265
Jul 2004,233.556
Jun 2004,252.927
May 2004,240.581
Apr 2004,209.214
Mar 2004,229.509
Feb 2004,209.471
Jan 2004,230.201
Dec 2003,243.449
Nov 2003,199.617
Oct 2003,186.588
Sep 2003,187.115
Aug 2003,232.592
Jul 2003,251.536
Jun 2003,289.436
May 2003,297.627
Apr 2003,250.685
Mar 2003,245.048
Feb 2003,200.271
Jan 2003,208.576
Dec 2002,220.434
Nov 2002,200.714
Oct 2002,174.684
Sep 2002,173.824
Aug 2002,214.487
Jul 2002,259.113
Jun 2002,287.009
May 2002,271.24
Apr 2002,246.661
Mar 2002,213.723
Feb 2002,205.41
Jan 2002,221.72
Dec 2001,199.905
Nov 2001,159.262
Oct 2001,157.418
Sep 2001,157.641
Aug 2001,195.436
Jul 2001,186.812
Jun 2001,214.179
May 2001,198.142
Apr 2001,186.128
Mar 2001,211.591
Feb 2001,180.547
Jan 2001,194.798
Dec 2000,200.852
Nov 2000,195.459
Oct 2000,175.315
Sep 2000,181.584
Aug 2000,224.228
Jul 2000,246.155
Jun 2000,256.913
May 2000,279.719
Apr 2000,290.623
Mar 2000,272.397
Feb 2000,229.354
Jan 2000,258.518
Dec 1999,255.344
Nov 1999,216.417
Oct 1999,203.526
Sep 1999,213.64
Aug 1999,263.077
Jul 1999,303.567
Jun 1999,312.577
May 1999,296.517
Apr 1999,279.566
Mar 1999,328.047
Feb 1999,293.419
Jan 1999,301.877
Dec 1998,256.829
Nov 1998,204.15
Oct 1998,192.567
Sep 1998,212.368
Aug 1998,256.055
Jul 1998,292.237
Jun 1998,329.782
May 1998,338.499
Apr 1998,291.715
Mar 1998,323.122
Feb 1998,305.87
Jan 1998,293.86
Dec 1997,264.16
Nov 1997,242.156
Oct 1997,252.613
Sep 1997,238.97
Aug 1997,274.788
Jul 1997,323.304
Jun 1997,351.899
May 1997,349.12
Apr 1997,327.586
Mar 1997,357.387
Feb 1997,321.859
Jan 1997,336.616
Dec 1996,313.353
Nov 1996,243.572
Oct 1996,233.632
Sep 1996,228.911
Aug 1996,271.592
Jul 1996,298.56
Jun 1996,330.103
May 1996,343.915
Apr 1996,329.254
Mar 1996,350.334
Feb 1996,328.772
Jan 1996,317.658
Dec 1995,301.139
Nov 1995,263.386
Oct 1995,238.738
Sep 1995,206.52
Aug 1995,251.378
Jul 1995,283.275
Jun 1995,311.683
May 1995,286.483
Apr 1995,253.408
Mar 1995,294.609
Feb 1995,258.244
Jan 1995,256.445
Dec 1994,229.658
Nov 1994,197.506
Oct 1994,180.671
Sep 1994,171.008
Aug 1994,209.396
Jul 1994,241.004
Jun 1994,258.029
May 1994,267.13
Apr 1994,254.767
Mar 1994,243.412
Feb 1994,210.85
Jan 1994,220.026
Dec 1993,231.625
Nov 1993,195.571
Oct 1993,187.59
Sep 1993,188.068
Aug 1993,216.292
Jul 1993,254.885
Jun 1993,287.581
May 1993,316.469
Apr 1993,274.886
Mar 1993,253.399
Feb 1993,216.725
Jan 1993,268.521
Dec 1992,259.394
Nov 1992,212.065
Oct 1992,180.27
Sep 1992,183.3
Aug 1992,198.457
Jul 1992,214.207
Jun 1992,244.966
May 1992,242.426
Apr 1992,212.719
Mar 1992,237.66
Feb 1992,196.021
Jan 1992,235.95
Dec 1991,239.639
Nov 1991,202.13
Oct 1991,193.296
Sep 1991,201.861
Aug 1991,237.525
Jul 1991,266.05
Jun 1991,280.947
May 1991,309.826
Apr 1991,281.008
Mar 1991,282.566
Feb 1991,240.524
Jan 1991,280.572
Dec 1990,263.525
Nov 1990,219.084
Oct 1990,203.213
Sep 1990,187.254
Aug 1990,230.354
Jul 1990,257.581
Jun 1990,300.121
May 1990,291.917
Apr 1990,276.175
Mar 1990,301.333
