Total Fossil Fuels Consumption Annual
https://www.eia.gov/opendata/qb.php?category=711238&sdid=TOTAL.FFTCBUS.A
09:12:30 GMT+0100 (GMT 夏令时)
Source: U.S. Energy Information Administration
Year,Series ID: TOTAL.FFTCBUS.A Trillion Btu
2018,81160.623
2017,78016.749
2016,78423.748
2015,79199.793
2014,80122.399
2013,79325.912
2012,77409.374
2011,79350.14
2010,80818.319
2009,77943.545
2008,83112.182
2007,85882.606
2006,84550.058
2005,85688.873
2004,85737.022
2003,83972.316
2002,83661.64
2001,82864.887
2000,84694.492
1999,82391.651
1998,81334.29
1997,80843.788
1996,79764.124
1995,77222.169
1994,76206.237
1993,74737.564
1992,73395.686
1991,71880.348
1990,72332.303
1989,72911.068
1988,71557.051
1987,68520.615
1986,66033.275
1985,66093.15
1984,66505.984
1983,63151.858
1982,63888.374
1981,67571.093
1980,69827.758
1979,72890.521
1978,71853.522
1977,70991.179
1976,69107.176
1975,65356.532
1974,67905.124
1973,70313.86
1972,67695.88
1971,64595.645
1970,63522.269
1969,61361.751
1968,58502.47
1967,55126.873
1966,53513.987
1965,50576.504
1964,48543.05
1963,46509.283
1962,44680.77
1961,42758.243
1960,42136.751
1959,40550.068
1958,38716.702
1957,38925.592
1956,38888.151
1955,37410.105
1954,33877.3
1953,34826.156
1952,33799.903
1951,34008.105
1950,31631.956
1949,29002.099
