Total Fossil Fuels Consumption Monthly
https://www.eia.gov/opendata/qb.php?category=711238&sdid=TOTAL.FFTCBUS.M
09:05:08 GMT+0100 (GMT 夏令时)
Source: U.S. Energy Information Administration
Month,Series ID: TOTAL.FFTCBUS.M Trillion Btu
Dec 2018,7345.654
Nov 2018,6899.196
Oct 2018,6577.29
Sep 2018,6317.473
Aug 2018,6978.365
Jul 2018,6905.297
Jun 2018,6364.56
May 2018,6248.548
Apr 2018,6238.954
Mar 2018,6949.502
Feb 2018,6463.549
Jan 2018,7872.24
Dec 2017,7504.205
Nov 2017,6517.295
Oct 2017,6223.368
Sep 2017,6059.627
Aug 2017,6651.709
Jul 2017,6742.336
Jun 2017,6254.299
May 2017,6110.127
Apr 2017,5850.685
Mar 2017,6722.622
Feb 2017,6088.921
Jan 2017,7291.555
Dec 2016,7379.344
Nov 2016,6177.806
Oct 2016,6166.608
Sep 2016,6257.819
Aug 2016,6943.198
Jul 2016,6836.91
Jun 2016,6358.038
May 2016,5968.261
Apr 2016,5894.485
Mar 2016,6343.831
Feb 2016,6673.069
Jan 2016,7424.374
Dec 2015,6750.581
Nov 2015,6209.795
Oct 2015,6196.344
Sep 2015,6223.522
Aug 2015,6739.705
Jul 2015,6845.539
Jun 2015,6369.717
May 2015,6109.325
Apr 2015,5991.719
Mar 2015,6906.48
Feb 2015,7166.819
Jan 2015,7690.223
Dec 2014,7187.762
Nov 2014,6685.824
Oct 2014,6321.508
Sep 2014,6203.618
Aug 2014,6673.547
Jul 2014,6629.102
Jun 2014,6185.75
May 2014,6104.665
Apr 2014,6085.947
Mar 2014,6999.826
Feb 2014,7054.671
Jan 2014,7990.17
Dec 2013,7504.287
Nov 2013,6665.607
Oct 2013,6285.172
Sep 2013,6217.522
Aug 2013,6647.971
Jul 2013,6688.925
Jun 2013,6168.874
May 2013,6072.54
Apr 2013,6082.158
Mar 2013,6924.384
Feb 2013,6643.998
Jan 2013,7424.481
Dec 2012,6896.578
Nov 2012,6471.007
Oct 2012,6245.864
Sep 2012,6029.025
Aug 2012,6754.97
Jul 2012,6796.015
Jun 2012,6253.226
May 2012,6132.532
Apr 2012,5849.788
Mar 2012,6226.285
Feb 2012,6600.072
Jan 2012,7154.031
Dec 2011,7040.238
Nov 2011,6361.818
Oct 2011,6189.72
Sep 2011,6162.883
Aug 2011,6885.488
Jul 2011,6810.309
Jun 2011,6357.636
May 2011,6126.799
Apr 2011,6100.416
Mar 2011,6824.449
Feb 2011,6706.053
Jan 2011,7784.334
Dec 2010,7715.756
Nov 2010,6446.029
Oct 2010,6186.52
Sep 2010,6325.495
Aug 2010,7009.618
Jul 2010,6896.831
Jun 2010,6511.094
May 2010,6240.443
Apr 2010,6081.993
Mar 2010,6823.947
Feb 2010,6898.547
Jan 2010,7682.04
Dec 2009,7401.443
Nov 2009,6181.27
Oct 2009,6224.038
Sep 2009,6002.825
Aug 2009,6572.917
Jul 2009,6391.662
Jun 2009,6109.359
May 2009,5896.898
Apr 2009,6058.923
Mar 2009,6721.197
Feb 2009,6655.451
Jan 2009,7727.555
Dec 2008,7411.479
Nov 2008,6594.119
Oct 2008,6568.989
Sep 2008,6108.692
Aug 2008,6846.559
Jul 2008,6980.764
Jun 2008,6624.818
May 2008,6546.849
Apr 2008,6623.43
Mar 2008,7310.752
Feb 2008,7422.909
Jan 2008,8072.823
Dec 2007,7776.84
Nov 2007,6890.633
Oct 2007,6813.597
Sep 2007,6744.125
Aug 2007,7501.986
Jul 2007,7152.507
Jun 2007,6804.989
May 2007,6732.752
Apr 2007,6746.171
Mar 2007,7303.285
Feb 2007,7571.352
Jan 2007,7844.37
Dec 2006,7508.107
Nov 2006,6868.614
Oct 2006,6927.718
Sep 2006,6611.834
Aug 2006,7437.998
Jul 2006,7300.528
Jun 2006,6824.672
May 2006,6684.503
Apr 2006,6530.608
Mar 2006,7368.696
Feb 2006,7010.485
Jan 2006,7476.294
Dec 2005,7918.215
Nov 2005,6794.477
Oct 2005,6664.448
Sep 2005,6625.501
Aug 2005,7419.854
Jul 2005,7273.66
Jun 2005,6919.971
May 2005,6713.735
Apr 2005,6621.098
Mar 2005,7557.965
Feb 2005,7158.027
Jan 2005,8021.922
Dec 2004,7882.068
Nov 2004,6950.825
Oct 2004,6824.857
Sep 2004,6665.496
Aug 2004,7105.175
Jul 2004,7127.269
Jun 2004,6744.751
May 2004,6771.687
Apr 2004,6697.566
Mar 2004,7268.952
Feb 2004,7595.587
Jan 2004,8102.79
Dec 2003,7689.76
Nov 2003,6758.659
Oct 2003,6715.069
Sep 2003,6504.75
Aug 2003,7167.396
Jul 2003,7018.936
Jun 2003,6428.141
May 2003,6460.827
Apr 2003,6568.447
Mar 2003,7256.077
Feb 2003,7357.833
Jan 2003,8046.425
Dec 2002,7628.869
Nov 2002,6915.657
Oct 2002,6726.323
Sep 2002,6556.582
Aug 2002,7132.633
Jul 2002,7158.051
Jun 2002,6663.007
May 2002,6618.178
Apr 2002,6659.671
Mar 2002,7246.039
Feb 2002,6783.122
Jan 2002,7573.512
Dec 2001,7103.838
Nov 2001,6494.244
Oct 2001,6676.417
Sep 2001,6346.62
Aug 2001,7140.586
Jul 2001,6981.154
Jun 2001,6488.036
May 2001,6547.307
Apr 2001,6626.61
Mar 2001,7367.766
Feb 2001,7030.609
Jan 2001,8061.703
Dec 2000,8062.714
Nov 2000,6864.846
Oct 2000,6744.78
Sep 2000,6636.143
Aug 2000,7326.846
Jul 2000,6976.392
Jun 2000,6789.057
May 2000,6795.506
Apr 2000,6491.964
Mar 2000,7078.144
Feb 2000,7228.959
Jan 2000,7699.115
Dec 1999,7444.786
Nov 1999,6499.876
Oct 1999,6672.958
Sep 1999,6484.508
Aug 1999,7114.222
Jul 1999,7073.817
Jun 1999,6576.807
May 1999,6424.465
Apr 1999,6596.49
Mar 1999,7194.077
Feb 1999,6677.587
Jan 1999,7632.072
Dec 1998,7259.372
Nov 1998,6450.324
Oct 1998,6519.299
Sep 1998,6523.44
Aug 1998,7045.219
Jul 1998,7058.207
Jun 1998,6589.915
May 1998,6426.254
Apr 1998,6459.256
Mar 1998,7018.279
Feb 1998,6575.103
Jan 1998,7409.605
Dec 1997,7478.266
Nov 1997,6682.059
Oct 1997,6599.14
Sep 1997,6343.287
Aug 1997,6693.31
Jul 1997,6869.487
Jun 1997,6306.775
May 1997,6340.144
Apr 1997,6443.72
Mar 1997,6823.806
Feb 1997,6690.368
Jan 1997,7573.435
Dec 1996,7205.119
Nov 1996,6682.284
Oct 1996,6513.192
Sep 1996,6053.401
Aug 1996,6616.867
Jul 1996,6497.429
Jun 1996,6226.135
May 1996,6277.456
Apr 1996,6271.911
Mar 1996,6975.461
Feb 1996,6939.568
Jan 1996,7505.267
Dec 1995,7192.976
Nov 1995,6456.577
Oct 1995,6088.775
Sep 1995,6045.688
Aug 1995,6679.294
Jul 1995,6366.147
Jun 1995,6070.111
May 1995,6040.018
Apr 1995,6044.486
Mar 1995,6638.041
Feb 1995,6566.212
Jan 1995,7033.831
Dec 1994,6851.359
Nov 1994,6080.048
Oct 1994,6055.281
Sep 1994,5862.06
Aug 1994,6349.825
Jul 1994,6225.044
Jun 1994,6116.219
May 1994,5877.052
Apr 1994,6004.323
Mar 1994,6610.41
Feb 1994,6737.431
Jan 1994,7437.173
Dec 1993,6934.461
Nov 1993,6299.427
Oct 1993,6041.536
Sep 1993,5821.826
Aug 1993,6234.54
Jul 1993,6219.535
Jun 1993,5784.78
May 1993,5581.803
Apr 1993,5921.813
Mar 1993,6776.564
Feb 1993,6400.754
Jan 1993,6720.52
Dec 1992,6886.585
Nov 1992,6045.343
Oct 1992,5914.168
Sep 1992,5687.402
Aug 1992,5919.789
Jul 1992,6080.8
Jun 1992,5679.652
May 1992,5763.121
Apr 1992,5952.141
Mar 1992,6386.482
Feb 1992,6239.055
Jan 1992,6841.16
Dec 1991,6591.96
Nov 1991,6051.732
Oct 1991,5887.912
Sep 1991,5619.275
Aug 1991,5983.933
Jul 1991,5959.43
Jun 1991,5616.941
May 1991,5622.945
Apr 1991,5606.823
Mar 1991,6105.96
Feb 1991,5897.465
Jan 1991,6935.99
Dec 1990,6469.021
Nov 1990,5836.888
Oct 1990,5887.954
Sep 1990,5655.51
Aug 1990,6193.296
Jul 1990,5965.91
Jun 1990,5766.948
May 1990,5771.311
Apr 1990,5834.921
Mar 1990,6257.514
Feb 1990,5973.465
Jan 1990,6719.567
Dec 1989,7179.212
Nov 1989,5966
Oct 1989,5821.916
Sep 1989,5518.993
Aug 1989,5930.978
Jul 1989,5773.395
Jun 1989,5690.979
May 1989,5666.641
Apr 1989,5776.316
Mar 1989,6591.422
Feb 1989,6355.973
Jan 1989,6639.249
Dec 1988,6600.782
Nov 1988,5833.846
Oct 1988,5709.352
Sep 1988,5419.76
Aug 1988,6022.845
Jul 1988,5767.758
Jun 1988,5581.758
May 1988,5470.048
Apr 1988,5564.474
Mar 1988,6355.537
Feb 1988,6406.177
Jan 1988,6824.735
Dec 1987,6357.013
Nov 1987,5522.064
Oct 1987,5531.547
Sep 1987,5265.011
Aug 1987,5622.313
Jul 1987,5728.689
Jun 1987,5421.268
May 1987,5323.514
Apr 1987,5474.667
Mar 1987,5867.615
Feb 1987,5882.405
Jan 1987,6524.484
Dec 1986,6070.031
Nov 1986,5251.249
Oct 1986,5168.388
Sep 1986,4951.73
Aug 1986,5335.374
Jul 1986,5454.855
Jun 1986,5151.636
May 1986,5210.841
Apr 1986,5243.367
Mar 1986,5887.933
Feb 1986,5789.734
Jan 1986,6518.143
Dec 1985,6320.084
Nov 1985,5232.38
Oct 1985,5212.859
Sep 1985,4930.3
Aug 1985,5401.081
Jul 1985,5313.969
Jun 1985,5038.284
May 1985,5151.146
Apr 1985,5307.217
Mar 1985,5715.546
Feb 1985,6037.44
Jan 1985,6432.838
Dec 1984,5793.98
Nov 1984,5341.201
Oct 1984,5204.14
Sep 1984,4966.764
Aug 1984,5469.122
Jul 1984,5294.181
Jun 1984,5193.507
May 1984,5291.526
Apr 1984,5436.676
Mar 1984,5978.784
Feb 1984,5775.436
Jan 1984,6760.673
Dec 1983,5982.28
Nov 1983,5149.782
Oct 1983,4938.032
Sep 1983,4943.27
Aug 1983,5307.915
Jul 1983,5106.113
Jun 1983,4840.644
May 1983,4867.775
Apr 1983,5059.71
Mar 1983,5593.672
Feb 1983,5295.196
Jan 1983,6067.469
Dec 1982,5660.942
Nov 1982,5245.118
Oct 1982,5021.794
Sep 1982,4827.853
Aug 1982,5051.959
Jul 1982,5032.979
Jun 1982,4788.247
May 1982,4834.371
Apr 1982,5280.252
Mar 1982,5745.167
Feb 1982,5754.756
Jan 1982,6645.176
Dec 1981,6319.064
Nov 1981,5463.401
Oct 1981,5494.304
Sep 1981,5139.17
Aug 1981,5355.686
Jul 1981,5456.877
Jun 1981,5259.835
May 1981,5236.148
Apr 1981,5204.302
Mar 1981,5914.419
Feb 1981,5814.64
Jan 1981,6909.084
Dec 1980,6671.623
Nov 1980,5779.421
Oct 1980,5644.677
Sep 1980,5309.535
Aug 1980,5365.712
Jul 1980,5432.016
Jun 1980,5172.393
May 1980,5287.327
Apr 1980,5474.39
Mar 1980,6331.618
Feb 1980,6486.873
Jan 1980,6868.959
Dec 1979,6686.643
Nov 1979,6052.873
Oct 1979,5915.754
Sep 1979,5434.484
Aug 1979,5818.398
Jul 1979,5623.614
Jun 1979,5524.63
May 1979,5692.927
Apr 1979,5639.049
Mar 1979,6426.585
Feb 1979,6735.799
Jan 1979,7340.01
Dec 1978,6788.143
Nov 1978,6032.112
Oct 1978,5791.835
Sep 1978,5450.619
Aug 1978,5805.339
Jul 1978,5632.946
Jun 1978,5472.067
May 1978,5636.732
Apr 1978,5541.304
Mar 1978,6284.582
Feb 1978,6419.735
Jan 1978,6997.622
Dec 1977,6784.682
Nov 1977,5904.092
Oct 1977,5724.553
Sep 1977,5539.17
Aug 1977,5718.151
Jul 1977,5622.395
Jun 1977,5516.109
May 1977,5417.081
Apr 1977,5412.96
Mar 1977,5980.978
Feb 1977,6137.935
Jan 1977,7233.5
Dec 1976,7064.946
Nov 1976,6200.877
Oct 1976,5684.372
Sep 1976,5192.249
Aug 1976,5370.267
Jul 1976,5408.099
Jun 1976,5239.405
May 1976,5246.389
Apr 1976,5337.573
Mar 1976,5810.707
Feb 1976,5838.762
Jan 1976,6713.023
Dec 1975,6340.42
Nov 1975,5312.323
Oct 1975,5380.083
Sep 1975,4999.057
Aug 1975,5202.308
Jul 1975,5102.315
Jun 1975,4884.411
May 1975,4919.802
Apr 1975,5246.77
Mar 1975,5797.083
Feb 1975,5661.413
Jan 1975,6510.963
Dec 1974,6316.93
Nov 1974,5760.445
Oct 1974,5716.331
Sep 1974,5233.464
Aug 1974,5490.83
Jul 1974,5460.689
Jun 1974,5152.896
May 1974,5362.567
Apr 1974,5358.297
Mar 1974,5848.733
Feb 1974,5823.097
Jan 1974,6380.707
Dec 1973,6391.312
Nov 1973,6091.283
Oct 1973,5767.893
Sep 1973,5379.314
