Total Primary Energy Consumption Annual
https://www.eia.gov/opendata/qb.php?category=711238&sdid=TOTAL.TETCBUS.A
08:48:55 GMT+0100 (GMT 夏令时)
Source: U.S. Energy Information Administration
Year,Series ID: TOTAL.TETCBUS.A Trillion Btu
2018,101268.139
2017,97806.685
2016,97443.876
2015,97483.563
2014,98381.273
2013,97218.442
2012,94477.46
2011,96948.799
2010,97607.698
2009,94022.753
2008,98824.954
2007,100970.692
2006,99464.227
2005,100167.662
2004,100073.039
2003,97897.937
2002,97604.724
2001,96128.814
2000,98776.235
1999,96614.542
1998,94981.588
1997,94571.079
1996,94000.312
1995,90990.808
1994,89040.174
1993,87324.592
1992,85782.166
1991,84437.217
1990,84484.553
1989,84785.325
1988,82709.172
1987,79054.456
1986,76647.005
1985,76392.385
1984,76631.701
1983,72970.566
1982,73099.185
1981,76105.776
1980,78066.668
1979,80858.584
1978,79950.406
1977,77961.33
1976,75974.826
1975,71964.553
1974,73962.369
1973,75683.69
1972,72687.868
1971,69282.843
1970,67838.325
1969,65614.021
1968,62414.508
1967,58904.522
1966,57014.332
1965,54015.002
1964,51814.788
1963,49644.195
1962,47826.437
1961,45737.836
1960,45086.455
1959,43465.721
1958,41645.027
1957,41787.186
1956,41754.252
1955,40207.971
1954,36639.382
1953,37664.468
1952,36747.824
1951,36974.03
1950,34615.768
1949,31981.503
