Total Primary Energy Consumption Monthly
https://www.eia.gov/opendata/qb.php?category=711238&sdid=TOTAL.TETCBUS.M
08:49:08 GMT+0100 (GMT 夏令时)
Source: U.S. Energy Information Administration
Month,Series ID: TOTAL.TETCBUS.M Trillion Btu
Dec 2018,9058.102
Nov 2018,8484.889
Oct 2018,8102.104
Sep 2018,7859.481
Aug 2018,8693.985
Jul 2018,8607.584
Jun 2018,8143.591
May 2018,8019.581
Apr 2018,7883.484
Mar 2018,8683.35
Feb 2018,8076.741
Jan 2018,9655.249
Dec 2017,9228.656
Nov 2017,8129.372
Oct 2017,7838.066
Sep 2017,7629.575
Aug 2017,8297.436
Jul 2017,8432.43
Jun 2017,7964.186
May 2017,7799.752
Apr 2017,7452.004
Mar 2017,8430.005
Feb 2017,7622.98
Jan 2017,8982.226
Dec 2016,9080.134
Nov 2016,7713.12
Oct 2016,7651.138
Sep 2016,7745.309
Aug 2016,8537.361
Jul 2016,8468.979
Jun 2016,7934.676
May 2016,7581.554
Apr 2016,7451.926
Mar 2016,7985.663
Feb 2016,8231.365
Jan 2016,9062.654
Dec 2015,8373.274
Nov 2015,7681.584
Oct 2015,7621.391
Sep 2015,7689.166
Aug 2015,8316.221
Jul 2015,8433.73
Jun 2015,7902.419
May 2015,7647.878
Apr 2015,7470.211
Mar 2015,8434.973
Feb 2015,8612.688
Jan 2015,9300.032
Dec 2014,8797.308
Nov 2014,8198.002
Oct 2014,7762.375
Sep 2014,7649.559
Aug 2014,8207.918
Jul 2014,8230.985
Jun 2014,7779.302
May 2014,7646.359
Apr 2014,7558.127
Mar 2014,8525.719
Feb 2014,8431.741
Jan 2014,9593.884
Dec 2013,9068.347
Nov 2013,8127.669
Oct 2013,7714.237
Sep 2013,7635.619
Aug 2013,8170.581
Jul 2013,8270.491
Jun 2013,7719.693
May 2013,7616.574
Apr 2013,7519.205
Mar 2013,8379.17
Feb 2013,8014.712
Jan 2013,8982.147
Dec 2012,8393.226
Nov 2012,7765.489
Oct 2012,7572.303
Sep 2012,7367.771
Aug 2012,8227.882
Jul 2012,8290.541
Jun 2012,7728.648
May 2012,7607.102
Apr 2012,7214.112
Mar 2012,7672.881
Feb 2012,7962.139
Jan 2012,8675.368
Dec 2011,8573.155
Nov 2011,7780.796
Oct 2011,7572.285
Sep 2011,7554.499
Aug 2011,8401.462
Jul 2011,8378.587
Jun 2011,7887.462
May 2011,7574.072
Apr 2011,7493.644
Mar 2011,8335.981
Feb 2011,8102.803
Jan 2011,9294.055
Dec 2010,9228.2
Nov 2010,7793.033
Oct 2010,7502.302
Sep 2010,7690.034
Aug 2010,8440.264
Jul 2010,8375.963
Jun 2010,8004.489
May 2010,7672.654
Apr 2010,7365.265
Mar 2010,8197.243
Feb 2010,8208.844
Jan 2010,9129.408
Dec 2009,8838.33
Nov 2009,7445.21
Oct 2009,7471.041
Sep 2009,7270.23
Aug 2009,7962.116
Jul 2009,7814.073
Jun 2009,7537.014
May 2009,7287.544
Apr 2009,7341.605
Mar 2009,8051.929
Feb 2009,7872.181
Jan 2009,9131.48
Dec 2008,8798.701
Nov 2008,7810.301
Oct 2008,7784.983
Sep 2008,7352.76
Aug 2008,8217.76
Jul 2008,8418.132
Jun 2008,8043.044
May 2008,7897.137
Apr 2008,7838.339
Mar 2008,8591.288
Feb 2008,8655.698
Jan 2008,9416.811
Dec 2007,9088.554
Nov 2007,8081.343
Oct 2007,7971.07
Sep 2007,7940.003
Aug 2007,8819.221
Jul 2007,8489.769
Jun 2007,8096.704
May 2007,8020.219
Apr 2007,7922.601
Mar 2007,8560.962
Feb 2007,8756.146
Jan 2007,9224.099
Dec 2006,8799.524
Nov 2006,8034.39
Oct 2006,8025.711
Sep 2006,7791.252
Aug 2006,8737.089
Jul 2006,8638.191
Jun 2006,8151.424
May 2006,7962.577
Apr 2006,7715.794
Mar 2006,8590.968
Feb 2006,8196.243
Jan 2006,8821.064
Dec 2005,9203.614
Nov 2005,7944.982
Oct 2005,7786.96
Sep 2005,7792.931
Aug 2005,8694.069
Jul 2005,8587.417
Jun 2005,8177.87
May 2005,7944.425
Apr 2005,7720.125
Mar 2005,8732.272
Feb 2005,8289.366
Jan 2005,9293.633
Dec 2004,9161.792
Nov 2004,8056.203
Oct 2004,7954.67
Sep 2004,7836.495
Aug 2004,8360.387
Jul 2004,8411.707
Jun 2004,7987.726
May 2004,7972.415
Apr 2004,7798.772
Mar 2004,8436.524
Feb 2004,8739.588
Jan 2004,9356.761
Dec 2003,8931.788
Nov 2003,7840.971
Oct 2003,7787.892
Sep 2003,7611.482
Aug 2003,8396.654
Jul 2003,8276.555
Jun 2003,7646.582
May 2003,7668.133
Apr 2003,7672.871
Mar 2003,8388.085
Feb 2003,8436.902
Jan 2003,9240.026
Dec 2002,8838.275
Nov 2002,8019.291
Oct 2002,7807.859
Sep 2002,7666.385
Aug 2002,8351.015
Jul 2002,8431.411
Jun 2002,7895.25
May 2002,7805.742
Apr 2002,7763.628
Mar 2002,8366.013
Feb 2002,7862.335
Jan 2002,8797.524
Dec 2001,8265.421
Nov 2001,7550.214
