Total Renewable Energy Consumption Annual
https://www.eia.gov/opendata/qb.php?category=711238&sdid=TOTAL.RETCBUS.A
09:04:31 GMT+0100 (GMT 夏令时)
Source: U.S. Energy Information Administration
Year,Series ID: TOTAL.RETCBUS.A Trillion Btu
2018,11514.561
2017,11178.824
2016,10366.469
2015,9719.404
2014,9739.755
2013,9450.624
2012,8845.007
2011,9202.86
2010,8266.312
2009,7607.8
2008,7174.295
2007,6522.865
2006,6636.694
2005,6233.436
2004,6074.646
2003,5944.094
2002,5726.059
2001,5159.918
2000,6104.194
1999,6513.712
1998,6491.266
1997,7014.096
1996,7012.37
1995,6559.348
1994,5987.123
1993,6081.619
1992,5820.541
1991,6067.771
1990,6040.012
1989,6234.647
1988,5456.754
1987,5621.807
1986,6111.14
1985,6084.017
1984,6437.864
1983,6495.612
1982,5979.637
1981,5413.688
1980,5428.342
1979,5122.854
1978,5005.44
1977,4208.966
1976,4727.151
1975,4687.12
1974,4741.852
1973,4410.938
1972,4382.009
1971,4262.213
1970,4070.021
1969,4094.892
1968,3772.656
1967,3690.213
1966,3432.462
1965,3395.816
1964,3225.248
1963,3096.431
1962,3117.444
1961,2952.226
1960,2928.204
1959,2901.339
1958,2915.09
1957,2849.194
1956,2850.582
1955,2783.987
1954,2754.099
1953,2831.46
1952,2940.181
1951,2958.464
1950,2977.718
1949,2973.984
