Total Renewable Energy Consumption Monthly
https://www.eia.gov/opendata/qb.php?category=711238&sdid=TOTAL.RETCBUS.M
09:04:25 GMT+0100 (GMT 夏令时)
Source: U.S. Energy Information Administration
Month,Series ID: TOTAL.RETCBUS.M Trillion Btu
Dec 2018,952.143
Nov 2018,908.231
Oct 2018,893.883
Sep 2018,854.169
Aug 2018,942.552
Jul 2018,929.336
Jun 2018,1035.571
May 2018,1052.949
Apr 2018,1016.137
Mar 2018,1017.73
Feb 2018,923.542
Jan 2018,988.316
Dec 2017,939.791
Nov 2017,904.719
Oct 2017,913.396
Sep 2017,842.234
Aug 2017,869.088
Jul 2017,926.459
Jun 2017,991.342
May 2017,1033.845
Apr 2017,992.637
Mar 2017,1009.429
Feb 2017,852.281
Jan 2017,903.606
Dec 2016,934.645
Nov 2016,833.124
Oct 2016,831.174
Sep 2016,786.894
Aug 2016,822.995
Jul 2016,872.062
Jun 2016,853.108
May 2016,899.258
Apr 2016,886.82
Mar 2016,932.449
Feb 2016,855.134
Jan 2016,858.813
Dec 2015,877.061
Nov 2015,823.849
Oct 2015,776.024
Sep 2015,750.295
Aug 2015,796.98
Jul 2015,820.04
Jun 2015,795.425
May 2015,829.642
Apr 2015,832.988
Mar 2015,834.054
Feb 2015,767.795
Jan 2015,815.279
Dec 2014,827.607
Nov 2014,814.814
Oct 2014,773.235
Sep 2014,721.622
Aug 2014,770.595
Jul 2014,831.485
Jun 2014,865.717
May 2014,867.756
Apr 2014,870.67
Mar 2014,860.839
Feb 2014,711.2
Jan 2014,824.23
Dec 2013,804.721
Nov 2013,767.22
Oct 2013,754.023
Sep 2013,713.734
Aug 2013,756.174
Jul 2013,824.466
Jun 2013,837.882
May 2013,870.224
Apr 2013,830.323
Mar 2013,781.264
Feb 2013,713.786
Jan 2013,796.799
Dec 2012,766.609
Nov 2012,686.9
Oct 2012,687.897
Sep 2012,649.081
Aug 2012,724.796
Jul 2012,750.785
Jun 2012,778.627
May 2012,809.272
Apr 2012,766.094
Mar 2012,789.48
Feb 2012,683.564
Jan 2012,751.884
Dec 2011,769.659
Nov 2011,736.335
Oct 2011,710.299
Sep 2011,681.806
Aug 2011,753.877
Jul 2011,794.992
Jun 2011,836.036
May 2011,838.332
Apr 2011,814.952
Mar 2011,815.979
Feb 2011,711.223
Jan 2011,739.369
Dec 2010,733.452
Nov 2010,689.424
Oct 2010,658.435
Sep 2010,637.695
Aug 2010,676.348
Jul 2010,717.896
Jun 2010,770.994
May 2010,730.984
Apr 2010,672.223
Mar 2010,687.329
Feb 2010,616.791
Jan 2010,674.748
Dec 2009,686.246
Nov 2009,637.443
Oct 2009,628.72
Sep 2009,569.165
Aug 2009,618.324
Jul 2009,645.52
Jun 2009,687.708
May 2009,697.338
Apr 2009,655.169
Mar 2009,623.224
Feb 2009,536.944
Jan 2009,622.005
Dec 2008,617.999
Nov 2008,549.271
