Wind Energy Consumption per Production Monthly
https://www.eia.gov/opendata/qb.php?category=711240&sdid=TOTAL.WYTCBUS.M
09:58:21 GMT+0100 (GMT 夏令时)
Source: U.S. Energy Information Administration
Month,Series ID: TOTAL.WYTCBUS.M Trillion Btu
Dec 2018,228.71
Nov 2018,206.896
Oct 2018,194.826
Sep 2018,165.619
Aug 2018,179.934
Jul 2018,147.533
Jun 2018,224.581
May 2018,217.452
Apr 2018,246.749
Mar 2018,251.36
Feb 2018,221.994
Jan 2018,247.478
Dec 2017,226.411
Nov 2017,221.863
Oct 2017,233.141
Sep 2017,164.5
Aug 2017,125.491
Jul 2017,147.044
Jun 2017,182.501
May 2017,206.832
Apr 2017,226.762
Mar 2017,230.26
Feb 2017,195.296
Jan 2017,182.789
Dec 2016,213.679
Nov 2016,179.153
Oct 2016,187.736
Sep 2016,151.438
Aug 2016,125.457
Jul 2016,162.653
Jun 2016,150.513
May 2016,174.004
Apr 2016,192.019
Mar 2016,202.545
Feb 2016,185.916
Jan 2016,170.482
Dec 2015,187.297
Nov 2015,183.414
Oct 2015,152.646
Sep 2015,130.201
Aug 2015,121.893
Jul 2015,127.442
Jun 2015,125.073
May 2015,159.833
Apr 2015,166.504
Mar 2015,142.655
Feb 2015,139.054
Jan 2015,141.296
Dec 2014,139.904
Nov 2014,179.424
Oct 2014,137.97
Sep 2014,109.553
Aug 2014,96.722
Jul 2014,115.902
Jun 2014,150.247
May 2014,148.369
Apr 2014,177.224
Mar 2014,168.668
Feb 2014,133.222
Jan 2014,170.336
Dec 2013,133.26
Nov 2013,150.779
Oct 2013,130.092
Sep 2013,111.382
Aug 2013,91.917
Jul 2013,105.844
Jun 2013,131.171
May 2013,154.933
Apr 2013,166.741
Mar 2013,150.325
Feb 2013,134.295
Jan 2013,140.62
Dec 2012,138.215
Nov 2012,110.848
Oct 2012,120.241
Sep 2012,83.642
Aug 2012,80.59
Jul 2012,83.946
Jun 2012,113.928
May 2012,119.336
Apr 2012,120.941
Mar 2012,133.476
Feb 2012,105.171
Jan 2012,129.726
Dec 2011,103.532
Nov 2011,120.853
Oct 2011,102.265
Sep 2011,66.739
Aug 2011,72.613
Jul 2011,72.76
Jun 2011,106.731
May 2011,114.378
Apr 2011,120.689
Mar 2011,102.452
Feb 2011,101.547
Jan 2011,83.077
Dec 2010,88.383
Nov 2010,95.098
Oct 2010,77.5
Sep 2010,69.321
Aug 2010,65.227
Jul 2010,65.598
Jun 2010,78.526
May 2010,84.853
Apr 2010,95.262
Mar 2010,83.795
Feb 2010,52.993
Jan 2010,66.871
Dec 2009,67.403
Nov 2009,67.102
Oct 2009,66.501
Sep 2009,45.391
Aug 2009,53.333
Jul 2009,48.36
Jun 2009,54.65
May 2009,61.117
Apr 2009,72.787
Mar 2009,69.287
Feb 2009,57.117
Jan 2009,58.08
