Total Energy Consumed by the Commercial Sector Annual
https://www.eia.gov/opendata/qb.php?category=711249&sdid=TOTAL.TECCBUS.A
10:09:59 GMT+0100 (GMT 夏令时)
Source: U.S. Energy Information Administration
Year,Series ID: TOTAL.TECCBUS.A Trillion Btu
2018,18630.846
2017,17897.51
2016,18030.223
2015,18156.728
2014,18264.465
2013,17929.445
2012,17419.622
2011,17980.314
2010,18057.978
2009,17887.132
2008,18401.921
2007,18252.717
2006,17707.092
2005,17853.346
2004,17655.396
2003,17346.035
2002,17345.646
2001,17136.684
2000,17175.261
1999,16376.21
1998,15967.423
1997,15681.126
1996,15171.864
1995,14689.872
1994,14097.25
1993,13816.864
1992,13441.084
1991,13499.968
1990,13317.336
1989,13196.288
1988,12578.091
1987,11946.009
1986,11606.106
1985,11451.231
1984,11443.89
1983,10938.376
1982,10860.337
1981,10615.891
1980,10578.258
1979,10648.024
1978,10511.88
1977,10207.599
1976,10063.334
1975,9492.492
1974,9393.324
1973,9542.957
1972,9183.416
1971,8720.954
1970,8346.295
1969,7833.219
1968,7329.032
1967,6899.205
1966,6324.047
1965,5845.423
1964,5465.993
1963,5250.646
1962,5036.386
1961,4727.663
1960,4609.4
1959,4372.186
1958,4119.156
1957,3960.787
1956,4022.859
1955,3895.14
1954,3732.921
1953,3770.982
1952,3873.385
1951,3873.226
1950,3893.298
1949,3668.816
