Total Energy Consumed by the Commercial Sector Monthly
https://www.eia.gov/opendata/qb.php?category=711249&sdid=TOTAL.TECCBUS.M
10:10:03 GMT+0100 (GMT 夏令时)
Source: U.S. Energy Information Administration
Month,Series ID: TOTAL.TECCBUS.M Trillion Btu
Dec 2018,1699.436
Nov 2018,1583.43
Oct 2018,1467.368
Sep 2018,1420.298
Aug 2018,1553.577
Jul 2018,1555.014
Jun 2018,1471.859
May 2018,1434.256
Apr 2018,1435.205
Mar 2018,1615.01
Feb 2018,1538.114
Jan 2018,1856.557
Dec 2017,1756.663
Nov 2017,1494.662
Oct 2017,1413.389
Sep 2017,1376.262
Aug 2017,1484.105
Jul 2017,1527.734
Jun 2017,1435.506
May 2017,1386.13
Apr 2017,1322.095
Mar 2017,1559.668
Feb 2017,1432.474
Jan 2017,1706.374
Dec 2016,1737.632
Nov 2016,1426.912
Oct 2016,1397.126
Sep 2016,1420.764
Aug 2016,1568.878
Jul 2016,1561.257
Jun 2016,1464.233
May 2016,1376.173
Apr 2016,1345.719
Mar 2016,1438.306
Feb 2016,1538.569
Jan 2016,1751.449
Dec 2015,1554.28
Nov 2015,1453.37
Oct 2015,1406.791
Sep 2015,1414.045
Aug 2015,1519.911
Jul 2015,1543.108
Jun 2015,1451.809
May 2015,1390.859
Apr 2015,1352.369
Mar 2015,1558.619
Feb 2015,1706.192
Jan 2015,1803.365
Dec 2014,1629.453
Nov 2014,1541.477
Oct 2014,1400.223
Sep 2014,1391.78
Aug 2014,1493.383
Jul 2014,1499.594
Jun 2014,1446.674
May 2014,1395.049
Apr 2014,1348.026
Mar 2014,1620.751
Feb 2014,1629.345
Jan 2014,1866.644
Dec 2013,1704.033
Nov 2013,1504.026
Oct 2013,1392.066
Sep 2013,1377.872
Aug 2013,1502.145
Jul 2013,1512.74
Jun 2013,1423.788
May 2013,1370.558
Apr 2013,1352.715
Mar 2013,1556.668
Feb 2013,1538.467
Jan 2013,1693.875
Dec 2012,1578.832
Nov 2012,1434.107
Oct 2012,1390.354
Sep 2012,1357.954
Aug 2012,1510.498
Jul 2012,1541.923
Jun 2012,1427.436
May 2012,1387.625
Apr 2012,1294.988
Mar 2012,1379.909
Feb 2012,1483.397
Jan 2012,1630.153
Dec 2011,1618.441
Nov 2011,1433.605
Oct 2011,1399.013
Sep 2011,1378.995
Aug 2011,1553.393
Jul 2011,1573.757
Jun 2011,1461.116
May 2011,1381.586
Apr 2011,1350.382
Mar 2011,1538.086
Feb 2011,1536.271
Jan 2011,1757.206
Dec 2010,1756.889
Nov 2010,1448.958
Oct 2010,1362.825
Sep 2010,1390.091
Aug 2010,1546.704
Jul 2010,1545.041
Jun 2010,1499.888
May 2010,1408.772
Apr 2010,1305.673
Mar 2010,1463.387
Feb 2010,1581.875
Jan 2010,1748.074
Dec 2009,1717.144
Nov 2009,1378.446
Oct 2009,1383.915
Sep 2009,1357.296
Aug 2009,1505.142
Jul 2009,1475.377
Jun 2009,1454.171
May 2009,1382.405
Apr 2009,1374.921
Mar 2009,1530.201
Feb 2009,1525.312
Jan 2009,1803.94
Dec 2008,1698.333
Nov 2008,1460.377
Oct 2008,1420.703
Sep 2008,1395.42
Aug 2008,1517.827
Jul 2008,1580.383
Jun 2008,1514.621
May 2008,1424.535
Apr 2008,1406.385
Mar 2008,1574.592
Feb 2008,1647.495
Jan 2008,1761.665
Dec 2007,1677.287
Nov 2007,1456.071
Oct 2007,1422.802
Sep 2007,1407.894
Aug 2007,1615.819
Jul 2007,1523.694
Jun 2007,1469.83
May 2007,1412.797
Apr 2007,1404.713
Mar 2007,1538.654
Feb 2007,1624.888
Jan 2007,1697.007
Dec 2006,1581.929
Nov 2006,1426.458
Oct 2006,1415.596
Sep 2006,1354.104
Aug 2006,1556.056
Jul 2006,1561.052
Jun 2006,1463.668
May 2006,1413.197
Apr 2006,1333.455
Mar 2006,1522.563
Feb 2006,1506.853
Jan 2006,1573.764
Dec 2005,1680.37
Nov 2005,1401.402
Oct 2005,1371.659
Sep 2005,1400.384
Aug 2005,1554.915
Jul 2005,1548.38
Jun 2005,1473.674
May 2005,1371.495
Apr 2005,1326.291
Mar 2005,1542.358
Feb 2005,1491.857
Jan 2005,1689.914
Dec 2004,1675.012
Nov 2004,1399.999
Oct 2004,1364.401
Sep 2004,1370.281
Aug 2004,1452.121
Jul 2004,1477.994
Jun 2004,1392.852
May 2004,1398.673
Apr 2004,1338.349
Mar 2004,1476.326
Feb 2004,1588.111
Jan 2004,1722.61
Dec 2003,1587.143
Nov 2003,1370.757
Oct 2003,1338.775
Sep 2003,1314.184
Aug 2003,1478.503
Jul 2003,1475.994
Jun 2003,1349.899
May 2003,1333.013
Apr 2003,1323.797
Mar 2003,1497.718
Feb 2003,1545.424
Jan 2003,1733.937
Dec 2002,1615.221
Nov 2002,1428.221
Oct 2002,1397.943
Sep 2002,1364.534
Aug 2002,1466.508
Jul 2002,1496.6
Jun 2002,1398.815
May 2002,1354.557
Apr 2002,1349.533
Mar 2002,1475.184
Feb 2002,1424.002
Jan 2002,1574.832
Dec 2001,1518.444
Nov 2001,1321.589
Oct 2001,1339.015
Sep 2001,1319.718
Aug 2001,1500.509
Jul 2001,1469.326
Jun 2001,1389.708
May 2001,1326.464
Apr 2001,1309.959
Mar 2001,1504.432
Feb 2001,1457.394
Jan 2001,1686.885
Dec 2000,1624.956
Nov 2000,1376.89
Oct 2000,1281.194
Sep 2000,1294.634
Aug 2000,1496.039
Jul 2000,1429.449
Jun 2000,1389.741
May 2000,1395.187
Apr 2000,1315.251
Mar 2000,1462.63
Feb 2000,1489.012
Jan 2000,1621.319
Dec 1999,1446.719
Nov 1999,1250.142
Oct 1999,1248.231
Sep 1999,1240.099
Aug 1999,1409.92
Jul 1999,1463.588
Jun 1999,1336.753
May 1999,1273.652
Apr 1999,1278.823
Mar 1999,1449.165
Feb 1999,1402.676
Jan 1999,1575.929
Dec 1998,1432.059
Nov 1998,1250.643
Oct 1998,1221.419
Sep 1998,1281.917
Aug 1998,1397.241
Jul 1998,1405.996
Jun 1998,1318.049
May 1998,1265.752
Apr 1998,1206.86
Mar 1998,1385.493
Feb 1998,1316.148
Jan 1998,1486.862
Dec 1997,1464.773
Nov 1997,1281.727
Oct 1997,1230.443
Sep 1997,1222.391
Aug 1997,1304.216
Jul 1997,1369.899
Jun 1997,1241.795
May 1997,1187.315
Apr 1997,1196.159
Mar 1997,1329.042
Feb 1997,1330.49
Jan 1997,1526.824
Dec 1996,1411.29
Nov 1996,1263.493
Oct 1996,1150.561
Sep 1996,1128.422
Aug 1996,1254.85
Jul 1996,1246.568
Jun 1996,1187.622
May 1996,1176.776
Apr 1996,1164.671
Mar 1996,1333.549
Feb 1996,1375.362
Jan 1996,1483.06
Dec 1995,1423.768
Nov 1995,1231.782
Oct 1995,1125.169
Sep 1995,1100.241
Aug 1995,1284.168
Jul 1995,1260.304
Jun 1995,1137.741
May 1995,1103.469
Apr 1995,1116.77
Mar 1995,1246.913
Feb 1995,1282.259
Jan 1995,1378.951
Dec 1994,1276.56
Nov 1994,1115.694
Oct 1994,1062.602
Sep 1994,1047.273
Aug 1994,1168.778
Jul 1994,1184.23
Jun 1994,1155.107
May 1994,1049.893
Apr 1994,1073.519
Mar 1994,1234.254
Feb 1994,1288.997
Jan 1994,1443.082
Dec 1993,1284.759
Nov 1993,1114.087
Oct 1993,1038.563
Sep 1993,1032.165
Aug 1993,1164.236
Jul 1993,1175.507
Jun 1993,1087.079
May 1993,1016.127
Apr 1993,1070.676
Mar 1993,1257.155
Feb 1993,1243.866
Jan 1993,1333.339
Dec 1992,1311.462
Nov 1992,1105.64
Oct 1992,1024.908
Sep 1992,1038.574
Aug 1992,1079.479
Jul 1992,1124.119
Jun 1992,1037.381
May 1992,1014.124
Apr 1992,1052.211
Mar 1992,1160.68
Feb 1992,1179.044
Jan 1992,1314.782
Dec 1991,1248.307
Nov 1991,1103.721
Oct 1991,1036.452
Sep 1991,1018.901
Aug 1991,1122.28
Jul 1991,1146.986
Jun 1991,1070.148
May 1991,1055.351
Apr 1991,1026.76
Mar 1991,1153.489
Feb 1991,1152.726
Jan 1991,1366.764
Dec 1990,1241.668
Nov 1990,1054.842
Oct 1990,1030.22
Sep 1990,1034.172
Aug 1990,1136.629
Jul 1990,1130.331
Jun 1990,1072.306
May 1990,1019.43
Apr 1990,1041.2
Mar 1990,1150.566
Feb 1990,1140.222
Jan 1990,1270.04
Dec 1989,1367.195
Nov 1989,1070.559
Oct 1989,996.054
Sep 1989,979.483
Aug 1989,1077.756
Jul 1989,1074.242
Jun 1989,1013.791
May 1989,989.677
Apr 1989,1012.14
Mar 1989,1188.077
Feb 1989,1193.119
Jan 1989,1235.342
Dec 1988,1172.96
Nov 1988,1000.426
Oct 1988,949.334
Sep 1988,924.294
Aug 1988,1064.653
Jul 1988,1044.33
Jun 1988,973.082
May 1988,923.512
Apr 1988,951.389
Mar 1988,1107.737
Feb 1988,1181.152
Jan 1988,1286.666
Dec 1987,1135.19
Nov 1987,960.669
Oct 1987,922.516
Sep 1987,891.913
Aug 1987,962.391
Jul 1987,988.738
Jun 1987,924.903
May 1987,900.659
Apr 1987,913.464
Mar 1987,1054.327
Feb 1987,1086.185
Jan 1987,1206.352
Dec 1986,1110.799
Nov 1986,936.285
Oct 1986,868.027
Sep 1986,867.448
Aug 1986,912.615
Jul 1986,968.962
Jun 1986,901.532
May 1986,861.909
Apr 1986,871.68
Mar 1986,1017.71
Feb 1986,1084.682
Jan 1986,1208.938
Dec 1985,1168.883
Nov 1985,912.821
Oct 1985,859.413
Sep 1985,839.351
Aug 1985,907.194
Jul 1985,912.32
Jun 1985,839.208
May 1985,836.259
Apr 1985,868.993
Mar 1985,994.251
Feb 1985,1127.949
Jan 1985,1187.349
Dec 1984,1052.454
Nov 1984,915.949
Oct 1984,847.023
Sep 1984,833.174
Aug 1984,912.823
Jul 1984,894.979
Jun 1984,856.591
May 1984,855.432
Apr 1984,903.717
Mar 1984,1056.81
Feb 1984,1054.985
Jan 1984,1261.425
Dec 1983,1089.032
Nov 1983,867.582
Oct 1983,800.678
Sep 1983,802.188
Aug 1983,893.428
Jul 1983,876.245
Jun 1983,798.325
May 1983,784.674
Apr 1983,874.034
Mar 1983,989.125
Feb 1983,992.963
Jan 1983,1170.237
Dec 1982,1018.715
Nov 1982,860.49
Oct 1982,793.597
Sep 1982,803.278
Aug 1982,830.961
Jul 1982,842.77
Jun 1982,775.948
May 1982,783.439
Apr 1982,879.979
Mar 1982,1001.867
Feb 1982,1058.109
Jan 1982,1213.657
Dec 1981,1054.628
Nov 1981,861.946
Oct 1981,817.339
Sep 1981,761.759
Aug 1981,818.557
Jul 1981,833.334
Jun 1981,804.96
May 1981,767.594
Apr 1981,778.621
Mar 1981,929.019
Feb 1981,1001.534
Jan 1981,1189.09
Dec 1980,1071.372
Nov 1980,878.078
Oct 1980,784.572
Sep 1980,756.043
Aug 1980,804.422
Jul 1980,821.063
Jun 1980,765.708
May 1980,750.53
Apr 1980,799.022
Mar 1980,986.711
Feb 1980,1061.492
Jan 1980,1102.43
Dec 1979,1009.706
Nov 1979,855.849
Oct 1979,779.738
Sep 1979,727.181
Aug 1979,788.034
Jul 1979,780.939
Jun 1979,750.387
May 1979,765.782
Apr 1979,829.144
Mar 1979,995.691
Feb 1979,1148.996
Jan 1979,1217.848
Dec 1978,1035.578
Nov 1978,839.772
Oct 1978,763.629
Sep 1978,748.418
Aug 1978,806.325
Jul 1978,793.815
Jun 1978,763.584
May 1978,765.406
Apr 1978,775.855
Mar 1978,1007.467
Feb 1978,1081.65
Jan 1978,1130.769
Dec 1977,1033.847
Nov 1977,809.447
Oct 1977,736.815
Sep 1977,721.805
Aug 1977,771.813
Jul 1977,785.466
Jun 1977,741.922
May 1977,734.629
Apr 1977,752.308
Mar 1977,878.851
Feb 1977,1018.84
Jan 1977,1223.633
Dec 1976,1093.165
Nov 1976,897.928
Oct 1976,733.104
Sep 1976,685.272
Aug 1976,736.425
Jul 1976,745.448
Jun 1976,724.307
May 1976,715.556
Apr 1976,753.23
Mar 1976,890.242
Feb 1976,971.029
Jan 1976,1118.587
Dec 1975,962.577
Nov 1975,737.377
Oct 1975,692.031
Sep 1975,657.008
Aug 1975,717.022
Jul 1975,715.817
Jun 1975,686.931
May 1975,698.717
Apr 1975,823.414
Mar 1975,892.445
Feb 1975,920.136
Jan 1975,990.791
Dec 1974,969.399
Nov 1974,773.723
Oct 1974,706.494
Sep 1974,645.205
Aug 1974,688.995
Jul 1974,703.241
Jun 1974,655.169
May 1974,688.286
Apr 1974,754.176
Mar 1974,863.512
Feb 1974,907.821
Jan 1974,1039.088
Dec 1973,914.274
Nov 1973,800.97
Oct 1973,693.462
Sep 1973,651.041
Aug 1973,706.301
Jul 1973,693.949
Jun 1973,687.473
May 1973,696.114
Apr 1973,735.461
Mar 1973,884.437
Feb 1973,1001.92
Jan 1973,1079.31
