Total Energy Consumed by the Residential Sector Annual
https://www.eia.gov/opendata/qb.php?category=711249&sdid=TOTAL.TERCBUS.A
10:09:25 GMT+0100 (GMT 夏令时)
Source: U.S. Energy Information Administration
Year,Series ID: TOTAL.TERCBUS.A Trillion Btu
2018,21651.532
2017,19897.127
2016,20179.77
2015,20615.936
2014,21444.465
2013,21051.185
2012,19869.589
2011,21381.247
2010,21894.159
2009,21081.368
2008,21667.627
2007,21518.992
2006,20670.321
2005,21612.646
2004,21081.388
2003,21119.32
2002,20785.794
2001,20037.592
2000,20421.041
1999,19553.511
1998,18951.919
1997,18962.255
1996,19501.836
1995,18516.656
1994,18110.261
1993,18211.592
1992,17354.77
1991,17419.327
1990,16940.06
1989,17789.714
1988,17132.613
1987,16263.214
1986,15975.109
1985,16041.334
1984,15959.563
1983,15425.021
1982,15530.937
1981,15261.544
1980,15753.38
1979,15812.724
1978,16132.287
1977,15661.713
1976,15410.259
1975,14813.4
1974,14654.336
1973,14897.351
1972,14857.045
1971,14246.2
1970,13765.758
1969,13169.156
1968,12336.29
1967,11639.275
1966,11168.63
1965,10639.387
1964,10240.574
1963,9988.479
1962,9782.42
1961,9286.024
1960,9039.418
1959,8411.866
1958,8200.674
1957,7712
1956,7662.725
1955,7277.988
1954,6846.058
1953,6558.748
1952,6560.243
1951,6380.193
1950,5988.553
1949,5599.25
