Total Energy Consumed by the Residential Sector Monthly
https://www.eia.gov/opendata/qb.php?category=711249&sdid=TOTAL.TERCBUS.M
10:09:35 GMT+0100 (GMT 夏令时)
Source: U.S. Energy Information Administration
Month,Series ID: TOTAL.TERCBUS.M Trillion Btu
Dec 2018,2225.755
Nov 2018,1844.311
Oct 2018,1447.895
Sep 2018,1498.172
Aug 2018,1736.625
Jul 2018,1794.382
Jun 2018,1572.633
May 2018,1388.666
Apr 2018,1550.569
Mar 2018,1905.49
Feb 2018,1973.816
Jan 2018,2712.568
Dec 2017,2280.574
Nov 2017,1617.361
Oct 2017,1349.49
Sep 2017,1379.017
Aug 2017,1614.564
Jul 2017,1744.773
Jun 2017,1482.505
May 2017,1324.512
Apr 2017,1310.63
Mar 2017,1773.112
Feb 2017,1708.489
Jan 2017,2315.662
Dec 2016,2239.664
Nov 2016,1446.099
Oct 2016,1318.845
Sep 2016,1477.414
Aug 2016,1770.772
Jul 2016,1816.872
Jun 2016,1528.532
May 2016,1289.397
Apr 2016,1341.057
Mar 2016,1582.172
Feb 2016,1984.684
Jan 2016,2391.909
Dec 2015,1910.5
Nov 2015,1519.155
Oct 2015,1335.532
Sep 2015,1452.441
Aug 2015,1687.662
Jul 2015,1735.631
Jun 2015,1486.41
May 2015,1303.298
Apr 2015,1343.708
Mar 2015,1955.234
Feb 2015,2342.954
Jan 2015,2548.5
Dec 2014,2147.585
Nov 2014,1761.858
Oct 2014,1343.638
Sep 2014,1449.635
Aug 2014,1641.032
Jul 2014,1667.379
Jun 2014,1497.498
May 2014,1349.588
Apr 2014,1424.138
Mar 2014,2065.689
Feb 2014,2323.24
Jan 2014,2776.908
Dec 2013,2380.846
Nov 2013,1695.382
Oct 2013,1349.648
Sep 2013,1453.064
Aug 2013,1655.433
Jul 2013,1730.235
Jun 2013,1485.63
May 2013,1322.754
Apr 2013,1486.952
Mar 2013,1996.393
Feb 2013,2066.288
Jan 2013,2430.249
Dec 2012,2031.055
Nov 2012,1620.768
Oct 2012,1334.963
Sep 2012,1411.277
Aug 2012,1741.866
Jul 2012,1854.766
Jun 2012,1524.505
May 2012,1352.466
Apr 2012,1288.849
Mar 2012,1550.587
Feb 2012,1902.852
Jan 2012,2261.989
Dec 2011,2116.317
Nov 2011,1576.603
Oct 2011,1344.102
Sep 2011,1473.041
Aug 2011,1848.997
Jul 2011,1911.179
Jun 2011,1605.869
May 2011,1377.458
Apr 2011,1452.361
Mar 2011,1854.167
Feb 2011,2153.929
Jan 2011,2666.381
Dec 2010,2475.684
Nov 2010,1598.849
Oct 2010,1334.183
Sep 2010,1499.153
Aug 2010,1860.383
Jul 2010,1893.882
Jun 2010,1663.667
May 2010,1390.273
Apr 2010,1351.194
Mar 2010,1888.804
Feb 2010,2249.194
Jan 2010,2689.257
Dec 2009,2315.703
Nov 2009,1521.628
Oct 2009,1412.042
Sep 2009,1417.839
Aug 2009,1712.159
Jul 2009,1705.747
Jun 2009,1521.788
May 2009,1367.691
Apr 2009,1504.33
Mar 2009,1896.179
Feb 2009,2099.36
Jan 2009,2608.652
Dec 2008,2349.998
Nov 2008,1629.656
Oct 2008,1375.96
Sep 2008,1439.599
Aug 2008,1731.061
Jul 2008,1812.691
Jun 2008,1622.87
May 2008,1385.156
Apr 2008,1523.56
Mar 2008,1991.719
Feb 2008,2262.703
Jan 2008,2544.298
Dec 2007,2231.842
Nov 2007,1594.15
Oct 2007,1400.858
Sep 2007,1564.356
Aug 2007,1885.484
Jul 2007,1749.418
Jun 2007,1538.861
May 2007,1392.517
Apr 2007,1510.795
Mar 2007,1924.626
Feb 2007,2359.35
Jan 2007,2369.767
Dec 2006,2049.807
Nov 2006,1583.766
Oct 2006,1398.74
Sep 2006,1427.789
Aug 2006,1842.57
Jul 2006,1858.418
Jun 2006,1565.753
May 2006,1385.742
Apr 2006,1459.097
Mar 2006,1924.314
Feb 2006,2001.033
Jan 2006,2172.18
Dec 2005,2320.494
Nov 2005,1550.589
Oct 2005,1429.713
Sep 2005,1567.292
Aug 2005,1867.102
Jul 2005,1869.966
Jun 2005,1593.954
May 2005,1385.324
Apr 2005,1462.781
Mar 2005,1997.098
Feb 2005,2075.178
Jan 2005,2494.866
Dec 2004,2237.627
Nov 2004,1565.647
Oct 2004,1391.775
Sep 2004,1464.607
Aug 2004,1649.098
Jul 2004,1697.953
Jun 2004,1517.292
May 2004,1395.149
Apr 2004,1457.74
Mar 2004,1840.014
Feb 2004,2266.846
Jan 2004,2596.092
Dec 2003,2209.085
Nov 2003,1543.616
Oct 2003,1366.602
Sep 2003,1463.506
Aug 2003,1737.115
Jul 2003,1711.138
Jun 2003,1428.221
May 2003,1385.594
Apr 2003,1489.746
Mar 2003,1956.303
Feb 2003,2253.935
Jan 2003,2568.58
Dec 2002,2205.682
Nov 2002,1642.827
Oct 2002,1422.738
Sep 2002,1486.413
Aug 2002,1733.821
Jul 2002,1768.537
Jun 2002,1517.187
May 2002,1386.234
Apr 2002,1507.436
Mar 2002,1904.414
Feb 2002,1915.636
Jan 2002,2293.562
Dec 2001,1899.668
Nov 2001,1416.505
Oct 2001,1330.913
Sep 2001,1369.803
Aug 2001,1711.555
Jul 2001,1643.544
Jun 2001,1413.452
May 2001,1282.632
Apr 2001,1466.15
Mar 2001,1915.611
Feb 2001,2014.719
Jan 2001,2566.678
Dec 2000,2389.091
Nov 2000,1580.542
Oct 2000,1326.809
Sep 2000,1412.7
Aug 2000,1679.841
Jul 2000,1627.582
Jun 2000,1481.236
May 2000,1381.628
Apr 2000,1429.03
Mar 2000,1707.398
Feb 2000,2050.595
Jan 2000,2347.879
Dec 1999,1912.211
Nov 1999,1386.027
Oct 1999,1281.494
Sep 1999,1364.217
Aug 1999,1675.504
Jul 1999,1711.605
Jun 1999,1411.658
May 1999,1288.428
Apr 1999,1450.178
Mar 1999,1879.336
Feb 1999,1829.531
Jan 1999,2368.786
Dec 1998,1833.041
Nov 1998,1372.225
Oct 1998,1282.377
Sep 1998,1393.639
Aug 1998,1616.22
Jul 1998,1679.462
Jun 1998,1439.549
May 1998,1286.09
Apr 1998,1362.054
Mar 1998,1793.397
Feb 1998,1770.686
Jan 1998,2130.876
Dec 1997,2008.955
Nov 1997,1543.166
Oct 1997,1297.096
Sep 1997,1299.844
Aug 1997,1485.087
Jul 1997,1556.227
Jun 1997,1268.436
May 1997,1243.872
Apr 1997,1388.353
Mar 1997,1693.385
Feb 1997,1880.265
Jan 1997,2297.663
Dec 1996,2003.324
Nov 1996,1585.844
Oct 1996,1251.343
Sep 1996,1265.879
Aug 1996,1472.285
Jul 1996,1498.558
Jun 1996,1352.374
May 1996,1307.598
Apr 1996,1457.257
Mar 1996,1867.533
Feb 1996,2074.385
Jan 1996,2360.113
Dec 1995,2025.096
Nov 1995,1525.024
Oct 1995,1193.992
Sep 1995,1264.351
Aug 1995,1593.848
Jul 1995,1494.524
Jun 1995,1256.587
May 1995,1216.793
Apr 1995,1337.888
Mar 1995,1659.635
Feb 1995,1867.027
Jan 1995,2087.71
Dec 1994,1802.854
Nov 1994,1353.297
Oct 1994,1169.459
Sep 1994,1178.574
Aug 1994,1371.345
Jul 1994,1441.037
Jun 1994,1280.656
May 1994,1168.493
Apr 1994,1308.67
Mar 1994,1708.91
Feb 1994,1982.767
Jan 1994,2341.904
Dec 1993,1900.925
Nov 1993,1448.114
Oct 1993,1188.637
Sep 1993,1230.303
Aug 1993,1455.698
Jul 1993,1467.885
Jun 1993,1210.467
May 1993,1122.324
Apr 1993,1381.568
Mar 1993,1840.296
Feb 1993,1869.897
Jan 1993,2097.492
Dec 1992,1945.773
Nov 1992,1411.944
Oct 1992,1177.479
Sep 1992,1175.695
Aug 1992,1270.478
Jul 1992,1326.188
Jun 1992,1136.537
May 1992,1144.439
Apr 1992,1356.808
Mar 1992,1598.684
Feb 1992,1768.798
Jan 1992,2043.664
Dec 1991,1797.721
Nov 1991,1436.683
Oct 1991,1163.822
Sep 1991,1184.323
Aug 1991,1341.414
Jul 1991,1389.099
Jun 1991,1229.184
May 1991,1183.085
Apr 1991,1269.986
Mar 1991,1599.772
Feb 1991,1686.339
Jan 1991,2137.647
Dec 1990,1751.413
Nov 1990,1291.366
Oct 1990,1160.903
Sep 1990,1214.831
Aug 1990,1323.485
Jul 1990,1335.105
Jun 1990,1195.523
May 1990,1143.17
Apr 1990,1299.575
Mar 1990,1558.741
Feb 1990,1639.671
Jan 1990,2018.086
Dec 1989,2118.194
Nov 1989,1382.059
Oct 1989,1183.524
Sep 1989,1181.204
Aug 1989,1320.175
Jul 1989,1320.879
Jun 1989,1175.322
May 1989,1174.911
Apr 1989,1340.074
Mar 1989,1771.925
Feb 1989,1848.448
Jan 1989,1973.644
Dec 1988,1765.873
Nov 1988,1317.127
Oct 1988,1134.134
Sep 1988,1116.235
Aug 1988,1373.343
Jul 1988,1312.656
Jun 1988,1121.331
May 1988,1108.817
Apr 1988,1260.376
Mar 1988,1630.123
Feb 1988,1859.792
Jan 1988,2133.93
Dec 1987,1686.844
Nov 1987,1243.133
Oct 1987,1104.985
Sep 1987,1079.85
