BUILDING ADDRESS,BUILDING ID,CARBON DIOXIDE EMISSIONS (Metric Ton CO2e),COMPLIANCE STATUS,% DIFFERENCE FROM NATIONAL MEDIAN SOURCE EUI,% DIFFERENCE FROM NATIONAL MEDIAN SITE EUI,ENERGY STAR SCORE,ENERGY STAR CERTIFICATION - ELIGIBILITY,ENERGY STAR CERTIFICATION - LAST APPROVAL DATE,ENERGY STAR CERTIFICATION - YEAR(S) CERTIFIED,ENTITY RESPONSIBLE FOR BENCHMARK,GROSS BUILDING FLOOR AREA (ft²),INDOOR WATER USE (kgal),INDOOR WATER USE INTENSITY (gal/ft²),NUMBER OF BUILDINGS,OCCUPANCY,OUTDOOR WATER USE (kgal),POSTAL CODE,PROGRAM YEAR,PROPERTY TYPE,SITE ENERGY USE INTENSITY (EUI) (kBtu/ft²),Source EUI (kBtu/ft²),TOTAL WATER USE (kgal),WEATHER NORMALIZED SITE ENERGY USE INTENSITY (EUI) (kBtu/ft²),WEATHER NORMALIZED SOURCE ENERGY USE INTENSITY (EUI) (kBtu/ft²),YEAR BUILT
7885 NELSON RD,4.28E+11,129.4,COMPLIED,-39.1,-39.1,77,No,Not Available,Not Available,DSS HOLDINGS LLC,148000,Not Available,Not Available,1,95,Not Available,91402,2016,Distribution Center,15.6,20.9,2009.3,15.6,20.9,1992
221 S FIGUEROA ST,4.85E+11,664.2,COMPLIED,-31.2,-31.2,82,No,01/03/2017,"2017, 2015",Rising Realty Partners,130237,Not Available,Not Available,1,95,Not Available,90012,2016,Office,59.5,183,Not Available,59.8,183,1979
21751 W VICTORY BLVD,3.79E+11,55.4,COMPLIED,-86.7,-86.7,100,No,Not Available,Not Available,GBWorks,120000,19.1,0.16,1,0,Not Available,91303,2016,Retail Store,6.6,18.4,19.1,6.6,18.4,1964
616 S ST PAUL AVE,4.83E+11,36.2,COMPLIED,-96.7,-96.7,Not Available,No,Not Available,Not Available,GHP Management,254608,Not Available,Not Available,1,100,Not Available,90017,2016,Mixed Use Property,2.4,4,10852.1,2.4,4,2011
2700 COLORADO BLVD,4.94E+11,348.1,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"CBRE, Inc.",460000,Not Available,Not Available,1,90,Not Available,90041,2016,Enclosed Mall,10.7,30.1,124.4,10.7,30.1,1973
8730 W ALDEN DR,4.47E+11,2222.4,COMPLIED,305.4,305.4,1,No,Not Available,Not Available,Cedars-Sinai,98618,Not Available,Not Available,1,95,Not Available,90048,2016,Medical Office,334.1,791.3,2998.4,326.6,767.6,1990
1023 S BROADWAY,4.83E+11,4220.5,COMPLIED,94,94,8,No,Not Available,Not Available,"Vert Energy Group, Inc.",240678,Not Available,Not Available,1,100,Not Available,90015,2016,Office,330.1,346.8,958.8,Not Available,Not Available,1925
139 GEORGE BURNS RD,4.46E+11,833.6,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Cedars-Sinai,643985,Not Available,Not Available,1,0,Not Available,90048,2016,Parking,17.1,53.6,4559.6,17.1,53.6,1990
6300 W 3RD ST,4.53E+11,294.1,COMPLIED,-32.1,-32.1,76,No,Not Available,Not Available,"Vert Energy Group, Inc.",126700,751.8,5.93,1,100,Not Available,90036,2016,Office,33.1,91.4,751.8,33.2,91.4,1999
8500 BURTON WAY,T00000000283,203.7,COMPLIED,-85.3,-85.3,100,No,Not Available,Not Available,Regatta Solutions,149364,Not Available,Not Available,1,100,Not Available,90048,2016,Multifamily Housing,25.7,27,3590.6,25.7,27,2014
3575 CAHUENGA BLVD WEST,4.53E+11,594.7,COMPLIED,-9.5,-9.5,57,No,Not Available,Not Available,Jamison Services,143300,2713.9,18.94,1,65,Not Available,90068,2016,Office,59.4,162.8,2713.9,59.4,162.8,1983
701 S BROADWAY,4.85E+11,171.3,COMPLIED,-93.2,-93.2,Not Available,No,Not Available,Not Available,"Golden Hills Properties, LLC",174000,Not Available,Not Available,1,80,Not Available,90014,2016,Mixed Use Property,14,39.1,4030.5,13.9,39,1924
233 S BEAUDRY AVE,4.84E+11,Not Available,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"Golden Hills Properties, LLC",150000,Not Available,Not Available,1,0,Not Available,90012,2016,Office,Not Available,Not Available,Not Available,Not Available,Not Available,1985
9408 OWENSMOUTH AVE,3.80E+11,0,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Natel Engineering Company Inc,80000,Not Available,Not Available,1,50,Not Available,91311,2016,Manufacturing/Industrial Plant,Not Available,Not Available,Not Available,Not Available,Not Available,1985
700 S BROADWAY,4.85E+11,Not Available,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"Golden Hills Properties, LLC",106000,Not Available,Not Available,1,100,Not Available,90014,2016,Mixed Use Property,Not Available,Not Available,783.9,Not Available,Not Available,1992
114444 W OLYMPIC BLVD,4.27E+11,30.5,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Leading Edge Consulting Services LLC,204763,Not Available,Not Available,1,100,Not Available,90064,2016,Parking,2,6.2,95.8,2,6.2,1984
300 S DOHENY DR,4.44E+11,1828.9,COMPLIED,33.8,33.8,19,No,Not Available,Not Available,Four Seasons Hotel,250000,Not Available,Not Available,1,75,Not Available,90048,2016,Hotel,96.8,301.5,21968.8,97.5,303.6,1986
9341 SHIRLEY AVE,3.93E+11,81.1,COMPLIED,-11.7,-11.7,Not Available,No,Not Available,Not Available,Public Storage,69845,153,2.19,1,100,Not Available,91324,2016,Self-Storage Facility,13.4,42,153,12.2,38.5,1986
28000 S WESTERN AVE,4.68E+11,78.1,COMPLIED,-85.1,-85.1,Not Available,No,Not Available,Not Available,Seaport Homes,169947,Not Available,Not Available,1,100,Not Available,90732,2016,Multifamily Housing,6.1,19,5989.2,6.1,19,2008
801 N GOWER ST,4.64E+11,72.3,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Paramount Studios,246646,Not Available,Not Available,1,80,Not Available,90038,2016,Parking,3.4,10.6,131.4,3.4,10.6,1987
14200 ARMINTA ST,4.28E+11,7612.1,COMPLIED,525.2,525.2,1,No,Not Available,Not Available,Powell Plaza Associates,204387,Not Available,Not Available,1,100,Not Available,91402,2016,Refrigerated Warehouse,491.1,1542,25529.5,491.1,1542,2006
12775 W MILLENIUM BLVD,4.35E+11,569.3,COMPLIED,56.6,56.6,Not Available,No,Not Available,Not Available,Invesco,116386,Not Available,Not Available,1,90,Not Available,90094,2016,Multifamily Housing,65.1,200.3,5281.9,65.1,200.3,2015
2175 W JOHN S GIBSON BLVD,4.74E+11,64.1,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,ece_cola_gsd,98679,Not Available,Not Available,1,100,Not Available,90731,2016,Parking,9.2,24.4,629.5,9.3,24.2,1990
2250 ALCAZAR ST,5.01E+11,1239.6,COMPLIED,122.4,122.4,Not Available,No,Not Available,Not Available,University of Southern California,91666,4286.5,46.76,1,100,Not Available,90089,2016,Laboratory,252.9,273.8,4286.5,252.9,273.8,1951
10836 ROYCROFT ST,4.51E+11,351.1,COMPLIED,-32.6,-32.6,93,No,Not Available,Not Available,"GK Management Co., Inc.",125319,Not Available,Not Available,1,100,Not Available,91352,2016,Multifamily Housing,45.3,83.8,13877.9,47.8,86.4,1969
601 N LATIMER RD,4.06E+11,Not Available,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"City of Los Angeles, Recreation and Parks",14000,Not Available,Not Available,1,100,Not Available,90402,2016,Other - Recreation,Not Available,Not Available,3341.5,Not Available,Not Available,1960
11771 MONTANA AVE,4.20E+11,113.2,COMPLIED,-30.4,-30.4,94,No,Not Available,Not Available,Brody,110269,Not Available,Not Available,1,100,Not Available,90049,2016,Multifamily Housing,13.6,42.6,2350.4,13.6,42.6,2010
