the_geom,lng,year_built,electricity_use_grid_purchase_and_generated_from_onsite_renewab,energy_star_score,portfolio_manager_id,water_use_all_water_sources_kgal,district_steam_use_kbtu,site_eui_kbtu_ft2,philadelphia_building_id,property_name,the_geom_webmercator,geom_address,fuel_oil_2_use_kbtu,number_of_buildings,property_floor_area_buildings_and_parking_ft,postal_code,natural_gas_use_kbtu,notes,total_ghg_emissions_mtco2e,primary_property_type_epa_calculated,lat,source_eui_kbtu_ft2
0101000020E61000002CBA8FB8D4CA52C0C82FAB660CFE4340,-75.169233456,1940,2146869.3,25,3330868,1604.5,Not Available,94,784321800,Douglas F,0101000020110F0000CF45AA32AEEB5FC1FC0D24BCBB8D5241,2118 W NORRIS ST,Not Available,1,109651,19121,8157192.2,,704.8,K-12 School,39.98475345,139.6
0101000020E610000080FC0401C6CB52C0A0BF7A90E9F94340,-75.183960204,1917,3916010.4,73,3443035,2900.9,1299111.2,67.8,773717200,30th St.,0101000020110F000048569B0A48ED5FC18C793D5C26895241,120 S. 30th St.,Not Available,1,79200,19104,155304.3,,619.1,Office,39.9524403190001,177
0101000020E6100000DC15D69AE1CA52C068520C2805F94340,-75.170019826,1905,13312010.1,1,3512105,262,Not Available,225.2,772614900,20625,0101000020110F00001DE91D15C4EB5FC17592425129885241,423 S 17TH ST,0,1,59101,19146,Not Available,,1685.8,Office,39.945469862,707.3
0101000020E6100000B09CFBE0B9BF52C0F07C5E429C0E4440,-74.995720144,1950,192780.4,100,3892836,28.4,Not Available,3,884233835,2191 Hornig Rd,0101000020110F0000FFDE3258D1D85FC187F5B9CD1BA05241,2191 Hornig Rd,Not Available,1,64638,19116,0,,24.4,Office,40.114143654,9.4
0101000020E610000054D00AC543CA52C09851DFDEA7F94340,-75.160386334,1925,2756896,44,3759390,985.2,558808.5,69.5,883311000,1207 Chestnut,0101000020110F0000A048CFFBB7EA5FC137A61794DD885241,1207-09 Chestnut Street,Not Available,1,51676,19107,274307.8,,413.2,Office,39.950435504,186.1
0101000020E6100000707C36703CCA52C0881B8883C9F94340,-75.159938863,1896,,Not Available,3578915,2349.3,Not Available,,883017910,21 S. 12th St.,0101000020110F0000F27AD387ABEA5FC101E9F2D902895241,21 S. 12th St.,Not Available,1,105890,19107,Not Available,,0,Office,39.9514622130001,
0101000020E6100000905FC5FD55C752C0F8C6AB4112004440,-75.114623492,1951,1027837.7,Not Available,1273633,0.2,Not Available,100.4,775618005,PECO G and Luzerne Service Center,0101000020110F0000AA37D968BEE55FC1653187CFF98F5241,400 G Street,Not Available,1,22230,19124,1204816,,194.1,Other,40.0005571450001,202.1
0101000020E610000004AAF56727D052C038EC7F6C11FD4340,-75.2524051569999,2006,2694989.4,24,3962332,1237.5,Not Available,77.1,771517200,6th St.,0101000020110F0000FD3013DBB8F45FC1521AF98EA58C5241,910 N 6th St.,Not Available,1,55000,19123,1545131.1,,423.3,K-12 School,39.9770942330001,183.4
0101000020E6100000B8F5883BB8CA52C040DA03701DF64340,-75.167494663,1963,,Not Available,4104890,,Not Available,,771514000,Our Lady of Hope,0101000020110F0000B6D0B9CE7DEB5FC170873290F1845241,1248 Jackson St,Not Available,1,55831,19148,Not Available,,,K-12 School,39.922773363,
0101000020E6100000140F4FAC3CCC52C058790787BD014440,-75.1912031909999,1937,1272773.6,18,3339033,323.3,Not Available,113.7,784249400,Mifflin,0101000020110F0000F002E39C11EE5FC167015591D3915241,3624 CONRAD ST,0,1,62100,19129,5790699.9,,468.5,K-12 School,40.0135964190001,162.3
0101000020E610000010322F3EE7CD52C0487CBE38C1FA4340,-75.2172389469999,1920,,Not Available,3773373,,Not Available,,884247008,FORMAN MILLS 106,0101000020110F000007DD422FE6F05FC1B8510E4D158A5241,4806 Market Steet,Not Available,1,52656,19139,Not Available,,0,Retail Store,39.9590216570001,
0101000020E6100000A4421D0591CC52C0D898EC196EFA4340,-75.1963513169999,2008,31815535.2,1,3479994,5014.8,Not Available,204.3,,3711 Market St.,0101000020110F0000219170E2A0EE5FC107B22C34B9895241,3711 Market St,Not Available,1,155715,19104,Not Available,,4029,Office,39.9564850240001,641.6
0101000020E6100000842FD4E024CE52C068FB05C513F84340,-75.221000869,1971,2430318.8,28,3330857,1646.8,Not Available,75.5,783257800,Heston,0101000020110F0000556BE0E04EF15FC1033580EC1D875241,1621 N 54TH ST,Not Available,1,81640,19131,3737475,,506.2,K-12 School,39.938103321,141.5
0101000020E6100000384FF8496EC552C0C831219F7D024440,-75.084856503,1905,8907872.2,5,3512110,669,Not Available,127.5,778651005,20656,0101000020110F0000503480FF81E25FC1C25F3B97A8925241,4808 LEIPER ST,1276512.4,1,79883,19124,Not Available,,1222.8,Office,40.019458667,366.3
0101000020E610000098CFE914CCC952C030429AE61AF94340,-75.153081158,1910,10204067.1,11,3673215,6404.6,9132222.5,188,771005500,Farm Journal,0101000020110F0000B1AB77AEECE95FC17E50E96741885241,230 S. 7th St,Not Available,1,102855,19107,Not Available,,2100.8,Medical Office,39.9461334470001,418.3
0101000020E6100000646DCF038ACC52C0D0DE176C6AFA4340,-75.19592376,1975,18921952.3,47,3326513,1694.4,Not Available,84.9,,3624 Market St,0101000020110F0000181555FC94EE5FC19CFAA520B5895241,3624 Market St.,Not Available,1,225688,19124,233972.8,,2408.6,Office,39.956372749,264.3
0101000020E6100000A43A14A06EC952C0D8EF9555A5F94340,-75.1473770329999,1971,10736567.7,60,2990373,2704.8,Not Available,81.1,883012000,400 Market,0101000020110F0000A597BAEF4DE95FC168FFC2C4DA885241,400 Market St.,Not Available,1,201897,19106,4386108.7,,1592.4,Office,39.950358103,205.6
0101000020E61000009814C8E773C952C0401E2C9674F94340,-75.147699304,1989,8651852.8,27,3635927,9694.7,Not Available,99.9,883711500,omni hotel,0101000020110F0000994EBBE756E95FC12C3D3FC3A4885241,401 chestnut street,Not Available,1,112380,19106,2573056.1,,1232.2,Hotel,39.9488704410001,265.8
0101000020E6100000F8D93713ADCA52C0C882D13816FA4340,-75.166813664,1964,27934944.8,76,1650661,5693.9,18699208,85.9,883056000,Four Penn Center,0101000020110F0000AFF9FBDA6AEB5FC183EA62D657895241,1600 JFK Blvd,Not Available,1,543134,19103,Not Available,,9876.2,Office,39.9538031600001,202.9
0101000020E6100000EC6FF9DD2EC552C0D072448420014440,-75.08098554,1900,635369,Not Available,3876056,155.8,Not Available,15.7,884090500,Globe Dye Works,0101000020110F00002F4A074516E25FC12636C77625915241,4520 Worth St,Not Available,1,129025,19124,1386463.6,,154.1,Other,40.00880483,26.7
0101000020E61000002878BD73C9C852C038CAF581E7014440,-75.1372956609999,1916,961111.6,31,3330962,873.2,Not Available,86.4,785558600,McClure,0101000020110F00003434865F35E85FC1F341C11E02925241,4134 N 6TH ST,Not Available,1,57500,19140,4009269.7,,334.5,K-12 School,40.0148775530001,125.7
0101000020E610000090761F57B5CC52C000A07AA642FA4340,-75.198568135,1905,9321648.8,3,3512081,151,Not Available,142.1,773620005,20594,0101000020110F000067000B94DEEE5FC153A6C50F89895241,3810 CHESTNUT ST,1360390.1,1,75176,19104,Not Available,,1281.5,Office,39.955159006,407.6
0101000020E6100000B8C82D7B6CCA52C0E859992836F54340,-75.162871165,1924,1039178.2,50,3330815,670.2,Not Available,98,781609400,Fell,0101000020110F00003684DB22FDEA5FC16ABC6D73F1835241,900 W OREGON AVE,Not Available,1,61000,19148,4937306.8,,393.6,K-12 School,39.915715289,138.5
0101000020E6100000D0F3EAF383CE52C0D883495E0EFA4340,-75.2268037599999,1963,1029527,65,3330793,255.6,Not Available,54.1,783732400,Huey,0101000020110F0000B2B5445FF0F15FC10EEDDA224F895241,5200 PINE ST,3741594.1,1,88183,19143,1940.8,,408.2,K-12 School,39.9535634860001,79.5
0101000020E6100000C048994E77CC52C0C0C826C1A7FB4340,-75.1947819229999,1916,1427580.8,21,3330796,689.1,Not Available,71,783631400,McMichael,0101000020110F0000FEEB5F3575EE5FC19EB2ABBF148B5241,3543 FAIRMOUNT AVE,5507703.3,1,100000,19104,164288.8,,598.2,K-12 School,39.966056961,102.2
0101000020E610000088F7D783ADCF52C0A062A7553DFD4340,-75.244965516,1963,1136897.8,47,3599558,1461.1,Not Available,67.4,782813600,Boone,0101000020110F0000B070BECFE9F35FC17896CA39D68C5241,W Jefferson St,0,1,56265,19121,2653339.2,,284.8,K-12 School,39.9784342830001,113
0101000020E610000098D7AE5C31C952C0F0501EC763F94340,-75.14363782,1923,3308816,32,3946509,6173.5,Not Available,114.8,883300500,Corn Exchange,0101000020110F0000470AE7DFE5E85FC1EB541C2492885241,123 Chestnut St,Not Available,1,50704,19123,2512635.5,,552.4,Office,39.9483574770001,256.9
