natural_gas_use_kbtu,portfolio_manager_id,postal_code,property_name,source_eui_kbtu_ft,total_ghg_emissions_mtco2e,district_steam_use_kbtu,site_eui_kbtu_ft,primary_property_type_epa_calculated,number_of_buildings,energy_star_score,location_1_address,year_built,fuel_oil_2_use_kbtu,property_floor_area_buildings_and_parking_ft,water_use_all_water_sources_kgal,electricity_use_kbtu,notes,philadelphia_building_id
"5,108,484.20",3330960,19120,Lowell,245.2,651,Not Available,136.5,K-12 School,1,11,450 W NEDRO AVE,1914,Not Available,58200,1493.90,2836085.40,,785548000
"6,566,999.70",3952012,19116,10814 NE AVENUE,35.6,715.1,Not Available,21.4,Other - Services,1,Not Available,10814 NE AVENUE,1979,Not Available,217560,245.5,2736515.40,,884240500
"243,912.00",3989966,19124,Juniata,34.1,88.9,Not Available,13.6,Self-Storage Facility,1,Not Available,"4123 ""G"" St.",2005,Not Available,59850,19.7,567623.40,,884114205
"5,401,817.60",3330939,19143,Dobson,146.5,373,Not Available,115.1,K-12 School,1,12,4667 UMBRIA,1930,Not Available,52500,379.5,643237.40,,784463600
"78,090.40",3330927,19128,Levering,121.5,546.1,Not Available,97.6,K-12 School,1,54,6000 RIDGE AVE,1929,"5,955,528.10",69475,284.1,747159.80,,784378000
"6,296,429.80",3330786,19143,Comegys,145.8,491.7,Not Available,105.8,K-12 School,1,4,5001 GREENWAY AVE,1911,Not Available,70644,463.5,1174883.30,,783183400
"8,485,597.60",3330783,19143,Bryant,128.9,588.7,Not Available,101,K-12 School,1,22,6001 CEDAR AVE,1904,Not Available,94235,694.5,1030560.50,,783087800
"94,435.00",3569714,19147,1163-65 S. BROAD STREET,167.2,373.2,Not Available,54.4,Office,1,71,1163-65 S. BROAD STREET,2012,Not Available,52258,115.7,2750358.90,,883359300
Not Available,3963826,19106,Archworks Philadelphia,159.3,362.6,Not Available,50.7,Office,1,76,117-31 N 8th Street,1920,Not Available,53400,1655.00,2708831.20,,883013200
Not Available,3633488,19153,Pacifico Ford,148.5,348.3,Not Available,47.3,Automobile Dealership,1,Not Available,6701 Essingtion ave,1970,Not Available,55000,196.7,2601786.10,,882167505
"3,309,558.30",2858208,19102,Anderson Hall,141,858.1,Not Available,60.9,College/University,1,Not Available,329-35 South Broad Street,1916,Not Available,138123,775.3,5097261.90,,771500000
"398,637.70",2917145,19107,Terra Hall,173,2143.20,"7,888,006.40",73.8,College/University,1,Not Available,201-11 South Broad Street,1911,Not Available,273901,5663.10,11939618.40,,772505410
"3,918,224.70",2851911,19147,Gershman Hall,161.8,550,Not Available,86.3,College/University,1,Not Available,401-11 South Broad Street,1923,Not Available,75000,794.5,2553948.20,,771637200
"18,777,337.20",3619585,19144,Philadelphia University,200.2,5843.70,Not Available,92.3,College/University,19,Not Available,4201 Henry Ave,1960,"8,351,166.30",635839,26527.40,31573389.00,,775501010
"13,603,595.10",3762530,19104,"7,7A-Bossone / Commonwealth",373.8,3024.10,"6,614,051.70",193.5,College/University,2,Not Available,3118-38 Market Street,2004,Not Available,176360,6220.00,13912706.40,,774526000
"1,058,029.40",3762531,19104,8-Creese,332.8,979.9,"3,597,734.00",151.2,College/University,1,Not Available,3200-3246 Chestnut Street,1962,Not Available,64611,,5115696.90,,774517051
"1,417,458.50",3762532,19104,"9B,9A,9C-MacAlister /Mandell / Handschumacher",305.8,2329.80,"9,299,550.00",137.4,College/University,1,Not Available,3250-60 Chestnut Street,1973,Not Available,167003,9490.80,12228921.90,,774517200
821.4,3762535,19104,13-Nesbitt,248.4,1018.10,"4,951,046.10",113.4,College/University,1,Not Available,3201-47 Market Street,1970,Not Available,89077,3024.30,5149622.40,,774528000
