electricity_use_kbtu,objectid,street_address,property_name,opa_account_num,postal_code,num_of_buildings,year_built,primary_prop_type_epa_calc,total_floor_area_bld_pk_ft2,portfolio_manager_id,natural_gas_use_kbtu,fuel_oil_o2_use_kbtu,steam_use_kbtu,energy_star_score,site_eui_kbtuft2,source_eui_kbtuft2,water_use_all_kgal,total_ghg_emissions_mtco2e,notes
4192843,2806,4501 BENNER ST,Lawton,786033600,19135,1,1973,K-12 School,79856,3330959,173627.5,,,37,54.7,167.1,870.9,570.5,
1061172.9,3551,500-50 E ERIE AVE,500 Erie Ave,884048000,19134,1,1930,Distribution Center,130000,4104348,,,,86,8.2,25.6,154.4,142.1,
35489338,2841,3701 MARKET ST,3701 Market St.,883073300,19104,1,2000,Medical Office,140913,3340008,,,,1,251.9,790.8,6528.2,4750.8,
4934315,3229,1600-46 RACE ST,Friends Select School,772199000,19103,1,1969,K-12 School,123306,3891486,6447756.2,,,39,92.3,180.6,1083.3,1003,
6759973.8,3103,14700 TOWNSEND RD,NARA,884292516,19154,1,1994,Other - Public Services,300000,3790331,4453888.7,,,,37.4,86.3,103.9,1141.5,
58805785.9,2625,200 S BROAD ST,The Bellevue,883701000,19102,1,1904,Office,533393,3551776,49153196.4,,19681.7,11,202.4,443,30650.5,10484.1,
2482899.1,2647,2200-24 CHESTNUT ST,Greenfield,782092400,19103,1,1968,K-12 School,96000,3583475,5319.5,,2430873.7,67,51.2,111.7,528.6,494.1,
8896281.6,2661,1100-04 WALNUT ST,Medical Office Building,771020500,19107,1,1985,Medical Office,82972,3641728,1441837.8,,228054,17,127.3,358.2,3637.8,1282.6,
12556388.6,2663,122-30 S 9TH ST,Edison Building,771021000,19107,1,1930,Office,244109,3641814,410.4,,7938905.9,59,84,200.6,4973.8,2208,
15940062.2,2664,1025 WALNUT ST,College Building,771020000,19107,1,1928,Office,191783,3641868,16929,,23007186.7,6,268.9,471.1,3350.5,4326.4,
5404181.5,2666,1015 WALNUT ST,Curtis Building,771020000,19107,1,1928,Office,136566,3642349,5745.6,,7528170.1,34,165.5,261.4,5436.1,1733,
