Parcel(s),Building Name,Building Address,Postal Code,Full.Address,Floor Area,Property Type - Self Selected,PIM Link,Year Built,Energy Audit Due Date,Energy Audit Status,Benchmark 2017 Status,2017 Reason for Exemption,Benchmark 2016 Status,2016 Reason for Exemption,Benchmark 2015 Status,2015 Reason for Exemption,Benchmark 2014 Status,2014 Reason for Exemption,Benchmark 2013 Status,2013 Reason for Exemption,Benchmark 2012 Status,2012 Reason for Exemption,Benchmark 2011 Status,2011 Reason for Exemption,Benchmark 2010 Status,2010 Reason for Exemption,2017 ENERGY STAR Score,2017 Site EUI (kBtu/ft2),2017 Source EUI (kBtu/ft2),2017 Percent Better than National Median Site EUI,2017 Percentage Better than National Median Source EUI,2017 Total GHG Emissions (Metric Tons CO2e),2017 Total GHG Emissions Intensity (kgCO2e/ft2),2017 Weather Normalized Site EUI (kBtu/ft2),2017 Weather Normalized Source EUI (kBtu/ft2),2016 ENERGY STAR Score,2016 Site EUI (kBtu/ft2),2016 Source EUI (kBtu/ft2),2016 Percent Better than National Median Site EUI,2016 Percentage Better than National Median Source EUI,2016 Total GHG Emissions (Metric Tons CO2e),2016 Total GHG Emissions Intensity (kgCO2e/ft2),2016 Weather Normalized Site EUI (kBtu/ft2),2016 Weather Normalized Source EUI (kBtu/ft2),2015 ENERGY STAR Score,2015 Site EUI (kBtu/ft2),2015 Source EUI (kBtu/ft2),2015 Percent Better than National Median Site EUI,2015 Percentage Better than National Median Source EUI,2015 Total GHG Emissions (Metric Tons CO2e),2015 Total GHG Emissions Intensity (kgCO2e/ft2),2015 Weather Normalized Site EUI (kBtu/ft2),2015 Weather Normalized Source EUI (kBtu/ft2),2014 ENERGY STAR Score,2014 Site EUI (kBtu/ft2),2014 Source EUI (kBtu/ft2),2014 Percent Better than National Median Site EUI,2014 Percent Better than National Median Source EUI,2014 Total GHG Emissions (Metric Tons CO2e),2014 Total GHG Emissions Intensity (kgCO2e/ft2),2014 Weather Normalized Site EUI (kBtu/ft2),2014 Weather Normalized Source EUI (kBtu/ft2),2013 ENERGY STAR Score,2013 Site EUI (kBtu/ft2),2013 Source EUI (kBtu/ft2),2013 Percent Better than National Median Site EUI,2013 Percent Better than National Median Source EUI,2013 Total GHG Emissions (Metric Tons CO2e),2013 Total GHG Emissions Intensity (kgCO2e/ft2),2013 Weather Normalized Site EUI (kBtu/ft2),2013 Weather Normalized Source EUI (kBtu/ft2),2012 ENERGY STAR Score,2012 Site EUI (kBtu/ft2),2012 Source EUI (kBtu/ft2),2012 Percent Better than National Median Site EUI,2012 Percent Better than National Median Source EUI,2012 Total GHG Emissions (Metric Tons CO2e),2012 Total GHG Emissions Intensity (kgCO2e/ft2),2012 Weather Normalized Site EUI (kBtu/ft2),2012 Weather Normalized Source EUI (kBtu/sq.ft),2011 ENERGY STAR Score,2011 Site EUI (kBtu/ft2),2011 Source EUI (kBtu/ft2),2011 Percent Better than National Median Site EUI,2011 Percent Better than National Median Source EUI,2011 Total GHG Emissions (Metric Tons CO2e),2011 Total GHG Emissions Intensity (kgCO2e/ft2),2011 Weather Normalized Site EUI (kBtu/ft2),2011 Weather Normalized Source EUI (kBtu/ft2)
0010/001,2801 Leavenworth Street,2801 LEAVENWORTH ST,94109,"2801 LEAVENWORTH ST
SAN FRANCISCO, CA 94109",133675,Office,http://propertymap.sfplanning.org/?&search=0010/001,1907,2023-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,76,66.6,148.4,-27.8,-27.8,586.8,4.4,68.1,150.1,75,68.2,149.7,-26.3,-26.3,652.4,4.9,71.5,153.2,72,72,153.9,-23,-23,653.2,4.9,73.7,155.6,56,73.4,158.5,-6.5,-6.5,668.9,5,77.1,162.4,74,81.3,166.9,-26.2,-26.2,786.5,5.7,81.6,167.2,81,71,149.9,-34.5,,696.4,,70.7,149.7,,,,,,,,,
0010/002,Argonaut Hotel-SV,495 JEFFERSON ST,94109,"495 Jefferson St
SAN FRANCISCO, CA 94109",180000,Hotel,http://propertymap.sfplanning.org/?&search=0010/002,1907,2020-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,79,60.8,121.2,-26.8,-26.8,693.6,3.9,60.8,121.2,77,59.6,122.5,-24,-24,743.6,4.1,59.4,121.8,84,58.1,122.6,-31.9,-31.9,708.1,3.9,57.8,121.8,79,63.6,129.5,-26.5,-26.5,763.1,4.2,63.6,129.5,78,67.9,136.1,-25.3,-25.3,844.7,4.7,67.9,136.1,95,55.9,115.1,-48,,704.18,,55.9,115.1,,,,,,,,,
0011/007,Anchorage Office,2800 LEAVENWORTH ST,94133,"2800 LEAVENWORTH ST
SAN FRANCISCO, CA 94133",121408,Mixed Use Property,http://propertymap.sfplanning.org/?&search=0011/007,0,2018-04-01T00:00:00.000,Pending - Contracted,Complied,,Exempt,,Complied,,Complied,,Complied,,Complied,,Violation - Insufficient Data,,Violation - Insufficient Data,,,27.7,87.1,-29.3,-29.3,255.4,2.1,27.7,87.1,,,,,,,,,,,81.3,188.4,53,53,694.5,5.7,81.3,188.4,,73.8,173.3,40.8,40.8,634.3,5.2,73.8,173.3,,92.4,197.2,60.2,60.2,761.4,6.3,92.4,197.2,,92.2,196.6,59.7,59.7,759.2,6.3,92.2,196.6,,,,,,,,,
0011/008,Anchorage Garage,500 BEACH ST,94133,"500 BEACH ST
SAN FRANCISCO, CA 94133",198525,Strip Mall,http://propertymap.sfplanning.org/?&search=0011/008,1974,2018-04-01T00:00:00.000,Pending - Contracted,Complied,,Exempt,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,,15.1,31.9,-86.1,-86.1,191,1,15.1,31.9,,,,,,,,,,,27,74.7,-68.5,-68.5,410.2,2.1,27,74.5,,27.5,76.9,-67.6,-67.6,419.6,2.1,27.5,76.9,,27.3,74.8,-68.5,-68.5,412.3,2.1,27.3,74.8,,25.9,72.3,-69.6,-69.6,395.1,2,25.9,72.3,,0,,,,83.82,,0,
0012/001,211 Jefferson St,2739 TAYLOR ST,94133,"2739 TAYLOR ST
SAN FRANCISCO, CA 94133",40052,Retail Store,http://propertymap.sfplanning.org/?&search=0012/001,1953,2020-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Exempt,Tenant Turnover,Exempt,Tenant Turnover,Complied,,Violation - Insufficient Data,,Violation - Insufficient Data,,38,68.5,176.5,14.8,14.8,191.2,4.8,68.5,176.5,40,63.8,167.7,12.3,12.3,200.7,5,63.8,167.7,40,66.3,172.6,12.2,12.2,197.2,4.9,65.8,171.1,,,,,,,,,,,,,,,,,,,43,35.2,117.5,8.8,,128.05,,35.2,117.5,,,,,,,,,
0012/007A,DiMaggio Building,243 JEFFERSON ST,94133,"243 JEFFERSON ST
SAN FRANCISCO, CA 94133",17311,Restaurant,http://propertymap.sfplanning.org/?&search=0012/007A,1937,2020-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,SqFt Not Subject This Year,Exempt,SqFt Not Subject This Year,,193.8,309.7,-28.3,-28.3,198.2,11.4,193.8,309.7,,238.2,428.7,-0.8,-0.8,268.8,15.5,238.2,428.7,,250,466.8,8,8,278,16.1,250,466.8,,285.3,579.9,34.2,34.2,328.3,19,282.5,571.3,,308.4,598.7,38.6,38.6,348.3,20.1,309,599,,,,,,,,,,,,,,,,,,
0013/005,Savoy Corporation,2720 TAYLOR ST,94133,"2720 TAYLOR ST
SAN FRANCISCO, CA 94133",46962,Office,http://propertymap.sfplanning.org/?&search=0013/005,1974,2023-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,39,64,176.9,12.1,12.1,215.6,4.6,65.3,178.4,42,61.2,168.8,8.8,8.8,231.8,4.9,61.2,168.8,37,67.1,181.6,15,15,238.4,5.1,67.1,181.6,38,64.1,177,13.7,13.7,229.9,4.9,65.8,178.8,45,63,167.9,5.6,5.6,222.1,4.7,63.1,168.1,72,65.3,184.6,-20.5,,252.87,,64.1,183.3,,,,,,,,,
0013/006,2770 TAYLOR ST,2770 TAYLOR ST,94133,"2770 TAYLOR ST
SAN FRANCISCO, CA 94133",40017,Mixed Use Property,http://propertymap.sfplanning.org/?&search=0013/006,1966,2022-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year,,113.4,229.9,86.7,86.7,289.3,7.2,115.4,231.9,,121.1,240.9,95.7,95.7,306.9,7.7,121.1,240.9,,123.1,246.5,100.2,100.2,312.7,7.8,122.2,243.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0013/009,2601 MASON ST,2601 MASON ST,94133,"2601 MASON ST
SAN FRANCISCO, CA 94133",30882,Hotel,http://propertymap.sfplanning.org/?&search=0013/009,1959,2022-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Exempt,Change in Ownership,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year,Exempt,SqFt Not Subject This Year,57,124.8,183.1,-5.4,-5.4,114.3,7.2,131.2,189.8,55,124.2,183.3,-3.9,-3.9,113.9,7.2,132.1,191.6,57,120.4,182.9,-5.6,-5.6,111.3,7,125.9,188.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0671/009,Worldco Company - 1388 Sutter,1388 SUTTER ST,94109,"1388 SUTTER ST
SAN FRANCISCO, CA 94109",119943,Other,http://propertymap.sfplanning.org/?&search=0671/009,1986,2012-11-15T00:00:00.000,Did Not Comply,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
