Average Natural Gas Price Delivered to Consumers Commercial Annual
https://www.eia.gov/opendata/qb.php?category=711301&sdid=TOTAL.NGCCUUS.A
00:21:31 GMT+0100 (GMT 夏令时)
Source: U.S. Energy Information Administration
Year,Series ID: TOTAL.NGCCUUS.A Dollars per Thousand Cubic Feet
2018,7.83
2017,7.88
2016,7.28
2015,7.91
2014,8.9
2013,8.08
2012,8.1
2011,8.91
2010,9.47
2009,10.06
2008,12.23
2007,11.34
2006,12
2005,11.34
2004,9.43
2003,8.4
2002,6.63
2001,8.43
2000,6.59
1999,5.33
1998,5.48
1997,5.8
1996,5.4
1995,5.05
1994,5.44
1993,5.22
1992,4.88
1991,4.81
1990,4.83
1989,4.74
1988,4.63
1987,4.77
1986,5.08
1985,5.5
1984,5.55
1983,5.59
1982,4.82
1981,4
1980,3.39
1979,2.73
1978,2.23
1977,2.04
1976,1.64
1975,1.35
1974,1.07
1973,0.94
1972,0.88
1971,0.82
1970,0.77
1969,0.74
1968,0.73
1967,0.74
1966,
1965,
1964,
1963,
1962,
1961,
1960,
1959,
1958,
1957,
1956,
1955,
1954,
1953,
1952,
1951,
1950,
1949,
