Average Natural Gas Price Delivered to Consumers Commercial Monthly
https://www.eia.gov/opendata/qb.php?category=711301&sdid=TOTAL.NGCCUUS.M
00:21:40 GMT+0100 (GMT 夏令时)
Source: U.S. Energy Information Administration
Month,Series ID: TOTAL.NGCCUUS.M Dollars per Thousand Cubic Feet
Dec 2018,7.75
Nov 2018,7.35
Oct 2018,7.71
Sep 2018,8.64
Aug 2018,8.74
Jul 2018,8.93
Jun 2018,8.66
May 2018,8.46
Apr 2018,7.63
Mar 2018,7.74
Feb 2018,7.82
Jan 2018,7.43
Dec 2017,7.42
Nov 2017,7.51
Oct 2017,7.97
Sep 2017,8.52
Aug 2017,8.76
Jul 2017,8.81
Jun 2017,8.75
May 2017,8.31
Apr 2017,8.04
Mar 2017,7.68
Feb 2017,7.89
Jan 2017,7.58
Dec 2016,7.27
Nov 2016,7.67
Oct 2016,7.96
Sep 2016,8.28
Aug 2016,8.3
Jul 2016,8.14
Jun 2016,7.72
May 2016,7.32
Apr 2016,6.98
Mar 2016,7.08
Feb 2016,6.86
Jan 2016,6.75
Dec 2015,7.23
Nov 2015,7.39
Oct 2015,7.79
Sep 2015,8.43
Aug 2015,8.46
Jul 2015,8.49
Jun 2015,8.52
May 2015,8.13
Apr 2015,8.03
Mar 2015,7.85
Feb 2015,7.81
Jan 2015,8.15
Dec 2014,8.53
Nov 2014,8.29
Oct 2014,8.97
Sep 2014,9.39
Aug 2014,9.67
Jul 2014,10.06
Jun 2014,9.94
May 2014,9.7
Apr 2014,9.49
Mar 2014,9.35
Feb 2014,8.69
Jan 2014,8.11
Dec 2013,7.81
Nov 2013,7.94
Oct 2013,8.28
Sep 2013,8.8
Aug 2013,9.04
Jul 2013,9.04
Jun 2013,9.07
May 2013,8.71
Apr 2013,8.15
Mar 2013,7.77
Feb 2013,7.78
Jan 2013,7.75
Dec 2012,8.18
Nov 2012,7.99
Oct 2012,8.07
Sep 2012,8.35
Aug 2012,8.71
Jul 2012,8.52
Jun 2012,8.44
May 2012,8.14
Apr 2012,8.04
Mar 2012,8.16
Feb 2012,7.76
Jan 2012,8.04
Dec 2011,8.3
Nov 2011,8.62
Oct 2011,8.94
Sep 2011,9.46
Aug 2011,9.77
Jul 2011,9.58
Jun 2011,9.57
May 2011,9.35
Apr 2011,9.02
Mar 2011,8.89
Feb 2011,8.88
Jan 2011,8.74
Dec 2010,8.82
Nov 2010,8.86
Oct 2010,9.27
Sep 2010,9.56
Aug 2010,9.94
Jul 2010,10.04
Jun 2010,9.72
May 2010,9.5
Apr 2010,9.57
Mar 2010,9.7
Feb 2010,9.71
Jan 2010,9.65
Dec 2009,9.1
Nov 2009,9.45
Oct 2009,8.93
Sep 2009,9.35
Aug 2009,9.52
Jul 2009,9.74
Jun 2009,9.53
May 2009,9.42
Apr 2009,9.7
Mar 2009,10.46
Feb 2009,10.98
Jan 2009,11.28
Dec 2008,11.61
Nov 2008,11.72
Oct 2008,12.06
Sep 2008,13.12
Aug 2008,14.19
Jul 2008,15.64
Jun 2008,14.68
May 2008,13.51
Apr 2008,12.63
Mar 2008,12.03
Feb 2008,11.49
Jan 2008,11.2
Dec 2007,11.24
Nov 2007,11.23
Oct 2007,10.93
Sep 2007,10.92
Aug 2007,11.19
Jul 2007,11.63
Jun 2007,11.81
May 2007,11.51
Apr 2007,11.5
Mar 2007,11.79
Feb 2007,11.22
Jan 2007,11.18
Dec 2006,11.61
Nov 2006,11.05
Oct 2006,10.05
Sep 2006,11.16
Aug 2006,11.2
Jul 2006,10.98
Jun 2006,11.09
May 2006,11.61
Apr 2006,11.57
Mar 2006,12.07
Feb 2006,12.95
Jan 2006,14.16
Dec 2005,14.01
Nov 2005,14.76
Oct 2005,14.29
Sep 2005,12.59
Aug 2005,11.01
Jul 2005,10.58
Jun 2005,10.22
May 2005,10.35
Apr 2005,10.25
Mar 2005,9.91
Feb 2005,9.83
Jan 2005,10.02
Dec 2004,10.42
Nov 2004,10.21
Oct 2004,9.17
Sep 2004,9.26
Aug 2004,9.66
Jul 2004,9.65
Jun 2004,9.71
May 2004,9.23
Apr 2004,9.02
Mar 2004,9.05
Feb 2004,9.1
Jan 2004,9.06
Dec 2003,8.62
Nov 2003,8.36
Oct 2003,8.28
Sep 2003,8.41
Aug 2003,8.4
Jul 2003,8.73
Jun 2003,9
May 2003,8.71
Apr 2003,8.97
Mar 2003,9.2
Feb 2003,7.98
Jan 2003,7.48
Dec 2002,7.16
Nov 2002,6.89
Oct 2002,6.64
Sep 2002,6.54
Aug 2002,6.45
Jul 2002,6.62
Jun 2002,6.8
May 2002,6.68
Apr 2002,6.56
Mar 2002,6.28
Feb 2002,6.4
Jan 2002,6.51
Dec 2001,6.35
Nov 2001,6.79
Oct 2001,6.39
Sep 2001,6.96
Aug 2001,7.61
Jul 2001,7.9
Jun 2001,8.5
May 2001,9.19
Apr 2001,9.01
Mar 2001,9.14
Feb 2001,9.8
Jan 2001,9.5
Dec 2000,8.2
Nov 2000,7.57
Oct 2000,7.48
Sep 2000,6.92
Aug 2000,6.08
Jul 2000,6.55
Jun 2000,6.49
May 2000,5.97
Apr 2000,6.03
Mar 2000,5.78
Feb 2000,5.95
Jan 2000,5.77
Dec 1999,5.57
Nov 1999,5.72
Oct 1999,5.46
Sep 1999,5.55
Aug 1999,5.45
Jul 1999,5.43
Jun 1999,5.29
May 1999,5.34
Apr 1999,5.31
