Average Natural Gas Price Delivered to Consumers Residential Annual
https://www.eia.gov/opendata/qb.php?category=711301&sdid=TOTAL.NGRCUUS.A
00:21:58 GMT+0100 (GMT 夏令时)
Source: U.S. Energy Information Administration
Year,Series ID: TOTAL.NGRCUUS.A Dollars per Thousand Cubic Feet
2018,10.52
2017,10.91
2016,10.05
2015,10.38
2014,10.97
2013,10.32
2012,10.65
2011,11.03
2010,11.39
2009,12.14
2008,13.89
2007,13.08
2006,13.73
2005,12.7
2004,10.75
2003,9.63
2002,7.89
2001,9.63
2000,7.76
1999,6.69
1998,6.82
1997,6.94
1996,6.34
1995,6.06
1994,6.41
1993,6.16
1992,5.89
1991,5.82
1990,5.8
1989,5.64
1988,5.47
1987,5.54
1986,5.83
1985,6.12
1984,6.12
1983,6.06
1982,5.17
1981,4.29
1980,3.68
1979,2.98
1978,2.56
1977,2.35
1976,1.98
1975,1.71
1974,1.43
1973,1.29
1972,1.21
1971,1.15
1970,1.09
1969,1.05
1968,1.04
1967,1.04
1966,
1965,
1964,
1963,
1962,
1961,
1960,
1959,
1958,
1957,
1956,
1955,
1954,
1953,
1952,
1951,
1950,
1949,
