Average Natural Gas Price Delivered to Consumers Residential Monthly
https://www.eia.gov/opendata/qb.php?category=711301&sdid=TOTAL.NGRCUUS.M
00:21:49 GMT+0100 (GMT 夏令时)
Source: U.S. Energy Information Administration
Month,Series ID: TOTAL.NGRCUUS.M Dollars per Thousand Cubic Feet
Dec 2018,9.63
Nov 2018,9.43
Oct 2018,12.26
Sep 2018,17.32
Aug 2018,18.63
Jul 2018,17.92
Jun 2018,16.51
May 2018,13.64
Apr 2018,10.04
Mar 2018,9.78
Feb 2018,9.63
Jan 2018,8.91
Dec 2017,9.29
Nov 2017,10.15
Oct 2017,13.36
Sep 2017,16.92
Aug 2017,18.22
Jul 2017,17.86
Jun 2017,16.06
May 2017,13.26
Apr 2017,11.34
Mar 2017,9.86
Feb 2017,10.01
Jan 2017,9.32
Dec 2016,9.06
Nov 2016,10.77
Oct 2016,13.74
Sep 2016,16.78
Aug 2016,17.6
Jul 2016,16.56
Jun 2016,14.43
May 2016,11.62
Apr 2016,9.65
Mar 2016,9.19
Feb 2016,8.36
Jan 2016,8.28
Dec 2015,9.27
Nov 2015,10.02
Oct 2015,12.6
Sep 2015,16.4
Aug 2015,16.88
Jul 2015,16.28
Jun 2015,15.07
May 2015,12.73
Apr 2015,10.43
Mar 2015,9.28
Feb 2015,9.08
Jan 2015,9.5
Dec 2014,10.01
Nov 2014,10.19
Oct 2014,13.11
Sep 2014,16.27
Aug 2014,17.41
Jul 2014,17.23
Jun 2014,16.13
May 2014,13.6
Apr 2014,11.76
Mar 2014,10.7
Feb 2014,9.77
Jan 2014,9.26
Dec 2013,9.14
Nov 2013,10.04
Oct 2013,12.38
Sep 2013,15.69
Aug 2013,16.43
Jul 2013,16.3
Jun 2013,15.02
May 2013,12.61
Apr 2013,10.43
Mar 2013,9.35
Feb 2013,9.23
Jan 2013,9.15
Dec 2012,9.8
Nov 2012,9.99
Oct 2012,11.68
Sep 2012,14.72
Aug 2012,15.82
Jul 2012,15.13
Jun 2012,14.18
May 2012,12.61
Apr 2012,10.94
Mar 2012,10.41
Feb 2012,9.47
Jan 2012,9.62
Dec 2011,9.83
Nov 2011,10.78
Oct 2011,12.85
Sep 2011,15.63
Aug 2011,16.67
Jul 2011,16.14
Jun 2011,14.7
May 2011,12.5
Apr 2011,11.27
Mar 2011,10.43
Feb 2011,10.14
Jan 2011,9.9
Dec 2010,9.98
Nov 2010,10.89
Oct 2010,13.37
Sep 2010,15.63
Aug 2010,16.65
Jul 2010,16.21
Jun 2010,14.86
May 2010,13.12
Apr 2010,11.97
Mar 2010,10.99
Feb 2010,10.69
Jan 2010,10.56
Dec 2009,10.42
Nov 2009,11.48
Oct 2009,11.78
Sep 2009,14.8
Aug 2009,15.61
Jul 2009,15.27
Jun 2009,14.26
May 2009,12.86
Apr 2009,11.68
Mar 2009,11.98
Feb 2009,12.26
Jan 2009,12.49
Dec 2008,12.84
Nov 2008,13.8
Oct 2008,15.45
Sep 2008,18.41
Aug 2008,20.17
Jul 2008,20.77
Jun 2008,18.91
May 2008,16.33
Apr 2008,14.49
Mar 2008,13.13
Feb 2008,12.58
Jan 2008,12.24
Dec 2007,12.34
Nov 2007,13.04
Oct 2007,14.57
Sep 2007,16.03
Aug 2007,16.71
Jul 2007,16.71
Jun 2007,16.28
May 2007,14.69
Apr 2007,13.31
Mar 2007,12.81
Feb 2007,12.13
Jan 2007,12.17
Dec 2006,12.53
Nov 2006,12.45
Oct 2006,12.51
Sep 2006,15.71
Aug 2006,16.18
Jul 2006,15.72
Jun 2006,15.07
May 2006,14.41
Apr 2006,13.27
Mar 2006,13.17
Feb 2006,13.98
Jan 2006,14.92
Dec 2005,14.6
Nov 2005,15.64
Oct 2005,16.44
Sep 2005,16.56
Aug 2005,15.51
Jul 2005,14.86
Jun 2005,13.79
May 2005,12.74
Apr 2005,11.88
Mar 2005,10.84
Feb 2005,10.87
Jan 2005,10.9
Dec 2004,11.09
Nov 2004,11.44
Oct 2004,11.69
Sep 2004,13.31
Aug 2004,13.74
Jul 2004,13.54
Jun 2004,13.08
May 2004,11.63
Apr 2004,10.54
Mar 2004,10.03
Feb 2004,9.85
Jan 2004,9.71
Dec 2003,9.51
Nov 2003,9.77
Oct 2003,10.64
Sep 2003,12.31
Aug 2003,12.84
Jul 2003,12.75
Jun 2003,12.08
May 2003,10.79
Apr 2003,10.18
Mar 2003,9.77
Feb 2003,8.58
Jan 2003,8.18
Dec 2002,7.87
Nov 2002,7.99
Oct 2002,8.61
Sep 2002,10.23
Aug 2002,10.44
Jul 2002,10.31
Jun 2002,9.58
May 2002,8.54
Apr 2002,7.66
Mar 2002,7.1
Feb 2002,7.23
Jan 2002,7.38
Dec 2001,7.3
Nov 2001,7.98
Oct 2001,8.24
Sep 2001,10.17
Aug 2001,10.89
Jul 2001,11.22
Jun 2001,11.58
May 2001,11.14
Apr 2001,10.16
Mar 2001,9.85
Feb 2001,10.26
Jan 2001,10.12
Dec 2000,8.56
Nov 2000,8.58
Oct 2000,9.44
Sep 2000,10.1
Aug 2000,10.37
Jul 2000,10.32
Jun 2000,9.5
May 2000,8.26
Apr 2000,7.19
Mar 2000,6.91
Feb 2000,6.54
Jan 2000,6.37
Dec 1999,6.51
Nov 1999,7.15
Oct 1999,7.56
Sep 1999,8.63
Aug 1999,9.14
Jul 1999,8.83
Jun 1999,8.2
May 1999,7.3
Apr 1999,6.44
Mar 1999,6.06
Feb 1999,6.29
Jan 1999,6
Dec 1998,6.34
Nov 1998,6.58
Oct 1998,7.6
Sep 1998,8.96
Aug 1998,9.25
Jul 1998,8.53
Jun 1998,8.51
May 1998,7.7
Apr 1998,6.81
Mar 1998,6.29
Feb 1998,6.41
Jan 1998,6.41
Dec 1997,6.54
Nov 1997,6.86
Oct 1997,7.69
Sep 1997,8.84
Aug 1997,8.99
Jul 1997,8.78
Jun 1997,8.3
May 1997,6.83
Apr 1997,6.53
Mar 1997,6.52
Feb 1997,6.79
Jan 1997,6.74
Dec 1996,6.47
Nov 1996,6.37
Oct 1996,7.05
Sep 1996,7.99
Aug 1996,8.73
Jul 1996,8.64
Jun 1996,7.83
May 1996,6.84
Apr 1996,6.27
Mar 1996,5.93
Feb 1996,5.82
Jan 1996,5.64
Dec 1995,5.54
Nov 1995,5.61
Oct 1995,6.62
Sep 1995,7.73
