Average Retail Price of Electricity Commercial Annual
https://www.eia.gov/opendata/qb.php?category=711299&sdid=TOTAL.ESCMUUS.A
00:17:06 GMT+0100 (GMT 夏令时)
Source: U.S. Energy Information Administration
Year,Series ID: TOTAL.ESCMUUS.A Cents per Kilowatthour  Including Taxes
2018,10.66
2017,10.66
2016,10.43
2015,10.64
2014,10.74
2013,10.26
2012,10.09
2011,10.24
2010,10.19
2009,10.16
2008,10.26
2007,9.65
2006,9.46
2005,8.67
2004,8.17
2003,8.03
2002,7.89
2001,7.92
2000,7.43
1999,7.26
1998,7.41
1997,7.59
1996,7.64
1995,7.69
1994,7.73
1993,7.74
1992,7.66
1991,7.53
1990,7.34
1989,7.2
1988,7.04
1987,7.08
1986,7.2
1985,7.27
1984,7.13
1983,7
1982,6.9
1981,6.3
1980,5.5
1979,4.7
1978,4.4
1977,4.1
1976,3.7
1975,3.5
1974,3
1973,2.4
1972,2.3
1971,2.2
1970,2.1
1969,2.1
1968,2.1
1967,2.1
1966,2.1
1965,2.2
1964,2.2
1963,2.3
1962,2.4
1961,2.4
1960,2.4
