Average Retail Price of Electricity Commercial Monthly
https://www.eia.gov/opendata/qb.php?category=711299&sdid=TOTAL.ESCMUUS.M
00:16:56 GMT+0100 (GMT 夏令时)
Source: U.S. Energy Information Administration
Month,Series ID: TOTAL.ESCMUUS.M Cents per Kilowatthour  Including Taxes
Dec 2018,10.33
Nov 2018,10.56
Oct 2018,10.75
Sep 2018,10.68
Aug 2018,11
Jul 2018,10.98
Jun 2018,10.82
May 2018,10.5
Apr 2018,10.44
Mar 2018,10.49
Feb 2018,10.65
Jan 2018,10.49
Dec 2017,10.28
Nov 2017,10.49
Oct 2017,10.78
Sep 2017,11.03
Aug 2017,11.01
Jul 2017,10.97
Jun 2017,11.01
May 2017,10.59
Apr 2017,10.4
Mar 2017,10.46
Feb 2017,10.48
Jan 2017,10.21
Dec 2016,10.17
Nov 2016,10.32
Oct 2016,10.55
Sep 2016,10.77
Aug 2016,10.76
Jul 2016,10.68
Jun 2016,10.66
May 2016,10.31
Apr 2016,10.19
Mar 2016,10.23
Feb 2016,10.25
Jan 2016,10.08
Dec 2015,10.13
Nov 2015,10.3
Oct 2015,10.73
Sep 2015,10.98
Aug 2015,10.94
Jul 2015,11.07
Jun 2015,10.89
May 2015,10.47
Apr 2015,10.37
Mar 2015,10.63
Feb 2015,10.62
Jan 2015,10.31
Dec 2014,10.36
Nov 2014,10.52
Oct 2014,10.83
Sep 2014,11.16
Aug 2014,11.05
Jul 2014,11.17
Jun 2014,10.96
May 2014,10.54
Apr 2014,10.46
Mar 2014,10.65
Feb 2014,10.68
Jan 2014,10.35
Dec 2013,9.96
Nov 2013,10.03
Oct 2013,10.28
Sep 2013,10.53
Aug 2013,10.69
Jul 2013,10.7
Jun 2013,10.65
May 2013,10.22
Apr 2013,9.96
Mar 2013,10.02
Feb 2013,10.06
Jan 2013,9.77
Dec 2012,9.81
Nov 2012,9.89
Oct 2012,10.08
Sep 2012,10.5
Aug 2012,10.39
Jul 2012,10.39
Jun 2012,10.39
May 2012,9.96
Apr 2012,9.82
Mar 2012,9.84
Feb 2012,9.94
Jan 2012,9.84
Dec 2011,9.77
Nov 2011,9.98
Oct 2011,10.25
Sep 2011,10.59
Aug 2011,10.72
Jul 2011,10.67
Jun 2011,10.66
May 2011,10.19
Apr 2011,9.96
Mar 2011,9.93
Feb 2011,9.99
Jan 2011,9.78
Dec 2010,9.82
Nov 2010,9.99
Oct 2010,10.25
Sep 2010,10.52
Aug 2010,10.62
Jul 2010,10.72
Jun 2010,10.56
May 2010,10.15
Apr 2010,9.95
Mar 2010,9.95
Feb 2010,9.89
Jan 2010,9.55
Dec 2009,9.7
Nov 2009,9.78
Oct 2009,10.13
Sep 2009,10.45
Aug 2009,10.52
Jul 2009,10.56
Jun 2009,10.46
May 2009,10.11
Apr 2009,9.87
Mar 2009,9.96
Feb 2009,10.2
Jan 2009,9.96
Dec 2008,9.92
Nov 2008,10.16
Oct 2008,10.41
Sep 2008,10.77
Aug 2008,11.07
Jul 2008,11.1
Jun 2008,10.87
May 2008,10.05
Apr 2008,9.79
Mar 2008,9.62
Feb 2008,9.46
Jan 2008,9.39
Dec 2007,9.42
Nov 2007,9.5
Oct 2007,9.77
Sep 2007,9.9
Aug 2007,10.07
Jul 2007,10.14
Jun 2007,9.95
May 2007,9.51
Apr 2007,9.38
Mar 2007,9.35
Feb 2007,9.34
Jan 2007,9.12
Dec 2006,9.08
Nov 2006,9.24
Oct 2006,9.51
Sep 2006,9.89
Aug 2006,10.04
Jul 2006,9.97
Jun 2006,9.88
May 2006,9.22
Apr 2006,9.17
Mar 2006,9.06
Feb 2006,9.14
Jan 2006,8.87
Dec 2005,8.79
Nov 2005,8.79
Oct 2005,8.91
Sep 2005,9.18
Aug 2005,9.1
