Average Retail Price of Electricity Residential Annual
https://www.eia.gov/opendata/qb.php?category=711299&sdid=TOTAL.ESRCUUS.A
00:17:23 GMT+0100 (GMT 夏令时)
Source: U.S. Energy Information Administration
Year,Series ID: TOTAL.ESRCUUS.A Cents per Kilowatthour  Including Taxes
2018,12.89
2017,12.89
2016,12.55
2015,12.65
2014,12.52
2013,12.13
2012,11.88
2011,11.72
2010,11.54
2009,11.51
2008,11.26
2007,10.65
2006,10.4
2005,9.45
2004,8.95
2003,8.72
2002,8.44
2001,8.58
2000,8.24
1999,8.16
1998,8.26
1997,8.43
1996,8.36
1995,8.4
1994,8.38
1993,8.32
1992,8.21
1991,8.04
1990,7.83
1989,7.65
1988,7.48
1987,7.45
1986,7.42
1985,7.39
1984,7.15
1983,7.2
1982,6.9
1981,6.2
1980,5.4
1979,4.6
1978,4.3
1977,4.1
1976,3.7
1975,3.5
1974,3.1
1973,2.5
1972,2.4
1971,2.3
1970,2.2
1969,2.2
1968,2.3
1967,2.3
1966,2.3
1965,2.4
1964,2.5
1963,2.5
1962,2.6
1961,2.6
1960,2.6
