Average Retail Price of Electricity Residential Monthly
https://www.eia.gov/opendata/qb.php?category=711299&sdid=TOTAL.ESRCUUS.M
00:17:12 GMT+0100 (GMT 夏令时)
Source: U.S. Energy Information Administration
Month,Series ID: TOTAL.ESRCUUS.M Cents per Kilowatthour  Including Taxes
Dec 2018,12.47
Nov 2018,12.95
Oct 2018,12.87
Sep 2018,13.01
Aug 2018,13.28
Jul 2018,13.13
Jun 2018,13.04
May 2018,13.15
Apr 2018,12.88
Mar 2018,12.99
Feb 2018,12.66
Jan 2018,12.25
Dec 2017,12.45
Nov 2017,12.94
Oct 2017,12.8
Sep 2017,13.28
Aug 2017,13.15
Jul 2017,13.08
Jun 2017,13.2
May 2017,13.07
Apr 2017,12.72
Mar 2017,12.89
Feb 2017,12.79
Jan 2017,12.21
Dec 2016,12.23
Nov 2016,12.75
Oct 2016,12.46
Sep 2016,12.87
Aug 2016,12.88
Jul 2016,12.68
Jun 2016,12.73
May 2016,12.79
Apr 2016,12.43
Mar 2016,12.56
Feb 2016,12.14
Jan 2016,11.99
Dec 2015,12.32
Nov 2015,12.71
Oct 2015,12.72
Sep 2015,13.03
Aug 2015,12.91
Jul 2015,12.94
Jun 2015,12.92
May 2015,12.93
Apr 2015,12.62
Mar 2015,12.33
Feb 2015,12.29
Jan 2015,12.1
Dec 2014,12.17
Nov 2014,12.48
Oct 2014,12.6
Sep 2014,12.95
Aug 2014,13.04
Jul 2014,13.09
Jun 2014,12.99
May 2014,12.85
Apr 2014,12.31
Mar 2014,12.25
Feb 2014,11.94
Jan 2014,11.65
Dec 2013,11.72
Nov 2013,12.1
Oct 2013,12.36
Sep 2013,12.51
Aug 2013,12.53
Jul 2013,12.65
Jun 2013,12.54
May 2013,12.4
Apr 2013,11.93
Mar 2013,11.61
Feb 2013,11.63
Jan 2013,11.46
Dec 2012,11.62
Nov 2012,11.75
Oct 2012,12.03
Sep 2012,12.3
Aug 2012,12.17
Jul 2012,12
Jun 2012,12.09
May 2012,11.9
Apr 2012,11.92
Mar 2012,11.7
Feb 2012,11.51
Jan 2012,11.41
Dec 2011,11.4
Nov 2011,11.78
Oct 2011,12.08
Sep 2011,12.17
Aug 2011,12.09
Jul 2011,12.09
Jun 2011,11.97
May 2011,11.93
Apr 2011,11.67
Mar 2011,11.52
Feb 2011,11.06
Jan 2011,10.87
Dec 2010,11.06
Nov 2010,11.62
Oct 2010,11.86
Sep 2010,11.95
Aug 2010,12.03
Jul 2010,12.04
Jun 2010,11.91
May 2010,11.91
Apr 2010,11.71
Mar 2010,11.11
Feb 2010,10.89
Jan 2010,10.49
Dec 2009,10.9
Nov 2009,11.26
Oct 2009,11.65
Sep 2009,11.96
Aug 2009,11.94
Jul 2009,11.85
Jun 2009,11.81
May 2009,11.78
Apr 2009,11.5
Mar 2009,11.28
Feb 2009,11.18
Jan 2009,10.98
Dec 2008,10.86
Nov 2008,11.42
Oct 2008,11.81
Sep 2008,11.92
Aug 2008,12.09
Jul 2008,12.07
Jun 2008,11.77
May 2008,11.4
Apr 2008,10.93
Mar 2008,10.45
Feb 2008,10.16
Jan 2008,10.14
Dec 2007,10.33
Nov 2007,10.7
Oct 2007,10.82
Sep 2007,10.96
Aug 2007,11.07
Jul 2007,11.07
Jun 2007,11.09
May 2007,10.77
Apr 2007,10.63
Mar 2007,10.27
Feb 2007,9.89
Jan 2007,10.06
Dec 2006,9.84
Nov 2006,10.18
Oct 2006,10.58
Sep 2006,10.94
Aug 2006,10.94
Jul 2006,10.96
Jun 2006,10.85
May 2006,10.61
Apr 2006,10.32
Mar 2006,9.87
Feb 2006,9.8
Jan 2006,9.55
Dec 2005,9.27
Nov 2005,9.76
Oct 2005,9.76
Sep 2005,9.94
Aug 2005,9.93
Jul 2005,9.77
Jun 2005,9.79
May 2005,9.56
Apr 2005,9.22
Mar 2005,8.87
Feb 2005,8.76
Jan 2005,8.52
Dec 2004,8.58
Nov 2004,8.96
Oct 2004,9.05
Sep 2004,9.39
Aug 2004,9.5
Jul 2004,9.36
Jun 2004,9.29
May 2004,9.07
Apr 2004,8.93
Mar 2004,8.62
Feb 2004,8.33
Jan 2004,8.24
Dec 2003,8.3
Nov 2003,8.72
Oct 2003,8.85
Sep 2003,8.92
Aug 2003,9.22
Jul 2003,9.21
Jun 2003,9.25
May 2003,8.99
Apr 2003,8.82
Mar 2003,8.35
Feb 2003,8.02
Jan 2003,8
Dec 2002,8.08
Nov 2002,8.31
Oct 2002,8.47
Sep 2002,8.59
Aug 2002,8.72
Jul 2002,8.82
Jun 2002,8.73
May 2002,8.64
Apr 2002,8.37
Mar 2002,8.17
Feb 2002,8.19
Jan 2002,8.07
Dec 2001,8.29
Nov 2001,8.48
Oct 2001,8.84
Sep 2001,8.92
Aug 2001,9.01
Jul 2001,9.03
Jun 2001,9.07
May 2001,8.83
Apr 2001,8.46
Mar 2001,8.32
Feb 2001,8.04
Jan 2001,7.73
Dec 2000,7.82
Nov 2000,8.15
Oct 2000,8.49
Sep 2000,8.51
Aug 2000,8.63
Jul 2000,8.61
Jun 2000,8.56
May 2000,8.34
Apr 2000,8.15
Mar 2000,8.09
Feb 2000,7.71
Jan 2000,7.66
Dec 1999,7.94
Nov 1999,8.09
Oct 1999,8.37
Sep 1999,8.36
Aug 1999,8.42
Jul 1999,8.49
Jun 1999,8.43
May 1999,8.27
Apr 1999,8.09
Mar 1999,7.9
Feb 1999,7.92
Jan 1999,7.58
Dec 1998,7.92
Nov 1998,8.04
Oct 1998,8.25
Sep 1998,8.43
Aug 1998,8.57
Jul 1998,8.58
Jun 1998,8.53
May 1998,8.49
Apr 1998,8.23
Mar 1998,8.01
Feb 1998,7.97
Jan 1998,7.87
Dec 1997,8.03
Nov 1997,8.25
Oct 1997,8.59
Sep 1997,8.75
Aug 1997,8.8
Jul 1997,8.74
Jun 1997,8.91
May 1997,8.65
Apr 1997,8.38
Mar 1997,8.24
Feb 1997,7.98
Jan 1997,7.87
Dec 1996,7.99
Nov 1996,8.25
Oct 1996,8.67
Sep 1996,8.79
Aug 1996,8.86
Jul 1996,8.73
Jun 1996,8.65
May 1996,8.54
Apr 1996,8.24
Mar 1996,8.09
Feb 1996,7.81
Jan 1996,7.75
Dec 1995,8.02
Nov 1995,8.26
Oct 1995,8.65
Sep 1995,8.57
Aug 1995,8.78
Jul 1995,8.8
Jun 1995,8.72
May 1995,8.53
Apr 1995,8.41
Mar 1995,8.14
Feb 1995,8.01
Jan 1995,7.85
Dec 1994,8.06
Nov 1994,8.29
Oct 1994,8.56
Sep 1994,8.82
Aug 1994,8.84
Jul 1994,8.8
Jun 1994,8.77
May 1994,8.53
Apr 1994,8.3
Mar 1994,8.08
Feb 1994,7.85
Jan 1994,7.74
Dec 1993,7.9
Nov 1993,8.21
Oct 1993,8.76
Sep 1993,8.79
Aug 1993,8.73
Jul 1993,8.73
Jun 1993,8.74
May 1993,8.56
Apr 1993,8.13
Mar 1993,7.8
Feb 1993,7.79
Jan 1993,7.73
Dec 1992,7.86
