date,AHT,ALT,AT,Total Precipitation,Total snowfall,"AHT=Average high temperature, L=low, unit=F, total xx unit=inch"
Jan-15,33.2,19.2,26.2,3.57,34.31,
Feb-15,27.9,10.3,19.1,3.37,64.76,
Mar-15,40.9,25.7,33.3,3.05,8.61,
Apr-15,55.8,40.3,48.05,2.28,0,
May-15,73.2,51.4,62.3,1.22,0,
Jun-15,72,57.3,64.65,5.01,0,
Jul-15,81.5,66.2,73.85,2.09,0,
Aug-15,82.7,66.6,74.65,2.19,0,
Sep-15,77.4,61,69.2,3.93,0,
Oct-15,61.4,46.6,54,1.74,0,
Nov-15,55.8,41.3,48.55,2.07,0,
Dec-15,51.7,38.8,45.25,4.28,0.91,
Jan-16,39.5,25.7,32.6,3.27,9.52,
Feb-16,43,25.1,34.05,4.17,15.09,
Mar-16,50,35.1,42.55,3.16,4.09,
Apr-16,54.6,39.6,47.1,2.91,6.58,
May-16,66.5,50.7,58.6,2.83,0,
Jun-16,76.8,60,68.4,1.33,0,
Jul-16,84.7,67.4,76.05,0.87,0,
Aug-16,84.7,68.1,76.4,1.72,0,
Sep-16,74.3,60.7,67.5,1.38,0,
Oct-16,62.4,48.2,55.3,5.46,0,
Nov-16,53.5,38.9,46.2,2.7,0,
Dec-16,42,28.7,35.35,3.25,5.9,
Jan-17,41,29.3,35.15,4.25,8.9,
Feb-17,44.7,28.6,36.65,3.22,21.5,
Mar-17,41.4,26.7,34.05,4.18,10.12,
Apr-17,59.8,43.5,51.65,5.73,1.18,
May-17,62.5,50.2,56.35,3.45,0,
Jun-17,78.4,60.6,69.5,4.85,0,
Jul-17,80,65,72.5,4.03,0,
Aug-17,79.5,64.5,72,1.58,0,
Sep-17,74.4,59.8,67.1,3.73,0,
Oct-17,68.9,53.8,61.35,4.14,0,
Nov-17,51.4,36.1,43.75,1.8,0,
Dec-17,36.6,24.9,30.75,2.47,0,
Jan-18,36,21.4,28.7,4.92,17.79,
Feb-18,46.4,29.8,38.1,3.77,8.31,
Mar-18,43.1,31.5,37.3,5.07,23.35,
Apr-18,52.9,37.8,45.35,4.62,1.3,
May-18,71.7,52.5,62.1,1.9,0,
Jun-18,75.7,59.6,67.65,2.96,0,
Jul-18,83.8,68.4,76.1,4.55,0,
Aug-18,84.8,70,77.4,4.65,0,
Sep-18,75.2,62.8,69,5.12,0,
Oct-18,61.7,47.2,54.45,3.78,0,
Nov-18,48.9,37.1,43,9.26,0.12,
Dec-18,42.6,29.6,36.1,2.31,0.12,
