date,AHT,ALT,AT,Total Precipitation,Total snowfall,"AHT=Average high temperature, L=low, unit=F, total xx unit=inch"
16-Jan,65.6,51.5,58.55,3.28,0,
16-Feb,77.3,57.6,67.45,0.69,0,
16-Mar,69.9,53.9,61.9,2.23,0,
16-Apr,72.8,56.6,64.7,0.31,0,
16-May,67.9,56.3,62.1,0.05,0,
16-Jun,76.9,6.5,69.2,0.01,0,
16-Jul,78.9,64.5,71.7,0,0,
16-Aug,77.6,63,70.3,0,0,
16-Sep,78.8,63.6,71.2,0,0,
16-Oct,77.1,61.5,69.3,0.32,0,
16-Nov,76.4,58.7,67.55,1.27,0,
16-Dec,66.6,52.5,59.55,5.02,0,
17-Jan,64.1,50.4,57.25,8.99,0,
17-Feb,64.8,52.2,58.5,5.55,0,
17-Mar,73,54.6,63.8,0.29,0,
17-Apr,73.6,56.1,64.85,0.2,0,
17-May,70.2,56.3,63.25,0.15,0,
17-Jun,74.3,60.7,67.5,0.06,0,
17-Jul,79.1,64.8,71.95,0,0,
17-Aug,78.8,65.6,72.2,0,0,
17-Sep,79.7,64.6,72.15,0.12,0,
17-Oct,81.8,63.6,72.7,0.01,0,
17-Nov,75.2,58.8,67,0.11,0,
17-Dec,42.9,32.8,37.85,0,0,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
