date,AHT,ALT,AT,Total Precipitation,Total snowfall,"AHT=Average high temperature, L=low, unit=F, total xx unit=inch"
15-Jan,37.3,24.2,30.75,5.31,17.09,
15-Feb,32.7,16.6,24.65,2.35,13.65,
15-Mar,45.3,30.3,37.8,4.88,13.07,
15-Apr,61,44.2,52.6,1.61,0,
15-May,72.9,55.6,64.25,0.46,0,
15-Jun,78.5,63.9,71.2,4.99,0,
15-Jul,85.2,71.5,78.35,2.31,0,
15-Aug,86.3,70.7,78.5,3.63,0,
15-Sep,81,65,73,2.58,0,
15-Oct,65.3,50.3,57.8,4.2,0,
15-Nov,60.2,45,52.6,1.2,0,
15-Dec,56.4,44.2,50.3,4.79,0.12,
16-Jan,,,,,,
16-Feb,,,,,,
16-Mar,,,,,,
16-Apr,,,,,,
16-May,,,,,,
16-Jun,,,,,,
16-Jul,,,,,,
16-Aug,,,,,,
16-Sep,,,,,,
16-Oct,,,,,,
16-Nov,,,,,,
16-Dec,,,,,,
17-Jan,43.9,33.4,38.65,4.64,11.69,
17-Feb,47.8,33,40.4,1.58,8.43,
17-Mar,46.9,31.8,39.35,5.79,7.52,
17-Apr,62.7,47.5,55.1,4.06,0,
17-May,67.4,53.6,60.5,5.83,0,
17-Jun,78.7,63.1,70.9,4.2,0,
17-Jul,83.6,69.3,76.45,4.65,0,
17-Aug,81.9,67.4,74.65,2.5,0,
17-Sep,78.2,62.9,70.55,2.2,0,
17-Oct,71,55.4,63.2,4.21,0,
17-Nov,54,38.2,46.1,1.8,0,
17-Dec,40.5,29.6,35.05,1.65,6.11,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
