date,AHT,ALT,AT,Total Precipitation,Total snowfall,"AHT=Average high temperature, L=low, unit=F, total xx unit=inch"
12-Jan,56,43,51,2.16,,
12-Feb,59,46,52,0.67,,
12-Mar,59,48,53,4.76,,
12-Apr,68,50,57,2.79,,
12-May,67,53,59,0,,
12-Jun,71,56,62,0.09,,
12-Jul,69,58,63,0,,
12-Aug,67,58,62,0,,
12-Sep,67,58,61,0,,
12-Oct,78,58,64,0.7,,
12-Nov,68,58,52,4.06,,
12-Dec,61,44,52,6.24,,
13-Jan,57,43,49,0.2,,
13-Feb,57,45,51,0.67,,
13-Mar,62,49,55,0.49,,
13-Apr,67,52,59,0.47,,
13-May,73,55,61,0.01,,
13-Jun,73,57,63,0.06,,
13-Jul,70,60,63,0,,
13-Aug,70,61,65,0,,
13-Sep,73,62,66,0.23,,
13-Oct,70,55,61,0.01,,
13-Nov,64,53,58,0.91,,
13-Dec,57,42,50,0.35,,
14-Jan,61,49,55,0.01,,
14-Feb,61,49,55,3.76,,
14-Mar,65,53,59,1.93,,
14-Apr,75,54,61,1.61,,
14-May,77,58,64,0,,
14-Jun,71,60,65,0.01,,
14-Jul,76,61,67,0,,
14-Aug,72,64,67,0,,
14-Sep,72,63,69,0.42,,
14-Oct,81,61,69,0.31,,
14-Nov,65,55,60,1.99,,
14-Dec,63,49,57,10.66,,
15-Jan,59.4,44.1,51.75,0,0,
15-Feb,69.7,51.2,60.45,1.48,0,
15-Mar,57.9,44.9,51.4,0.04,0,
15-Apr,50.3,12,31.15,1.27,0,
15-May,52.7,37.6,45.15,0.03,0,
15-Jun,57.2,46.7,51.95,0.1,0,
15-Jul,-,-,-,-,-,
15-Aug,68,55,62,0.02,0,
15-Sep,70,55,63,0.05,0,
15-Oct,62.7,52.8,57.75,0,0,
15-Nov,61,42.3,51.65,0.97,0,
15-Dec,45,33.3,39.15,3.5,0,
16-Jan,58,43,53,5.58,,
16-Feb,64,48,57,0.85,,
16-Mar,64,52,58,4.54,,
16-Apr,71,54,61,0.82,,
16-May,71,57,62,0.05,,
16-Jun,72,58,64,0,,
16-Jul,67,59,63,0,,
16-Aug,67,62,64,0,,
16-Sep,67,62,64,0,,
16-Oct,71,58,64,2.84,,
16-Nov,,,58,,,
16-Dec,,,51,,,
17-Jan,59,34,50,8.65,,
17-Feb,61,47,55,7.09,,
17-Mar,65,48,57,2.96,,
17-Apr,66,52,59,2.2,,
17-May,71,56,61,0,,
17-Jun,80,59,63,0.05,,
17-Jul,72,60,64,0,,
17-Aug,72,61,66,0,,
17-Sep,88,62,70,0.22,,
17-Oct,78,56,65,0.21,,
17-Nov,64,53,58,2.77,,
17-Dec,57,46,52,0.07,,
