date,AHT,ALT,AT,Total Precipitation,Total snowfall,"AHT=Average high temperature, L=low, unit=F, total xx unit=inch"
Jan-15,50.3,39.8,45.05,3.66,0,
Feb-15,54.5,42.9,48.7,5.27,0,
Mar-15,57.9,43.1,50.5,4.47,0,
Apr-15,59.9,42.9,51.4,2.03,0,
May-15,68,50.2,59.1,0.58,0,
Jun-15,78.9,56.4,67.65,0.23,0,
Jul-15,82.6,59.9,71.25,0.09,0,
Aug-15,78.9,58.5,68.7,3.28,0,
Sep-15,68.5,52.5,60.5,0.83,0,
Oct-15,63.6,50.9,57.25,4.81,0,
Nov-15,49.4,38.3,43.85,8.37,0,
Dec-15,47.1,38.9,43,11.21,0,
Jan-16,49,38.4,43.7,7.45,0,
Feb-16,53.6,41.2,47.4,5.88,0,
Mar-16,56.4,42.3,49.35,5.52,0,
Apr-16,65.9,47.5,56.7,1.19,0,
May-16,68.8,50.7,59.75,0.94,0,
Jun-16,73.1,53.9,63.5,1.77,0,
Jul-16,76,57.6,66.8,0.72,0,
Aug-16,79.6,57.9,68.75,0.17,0,
Sep-16,69.6,52.9,61.25,1.05,0,
Oct-16,60.6,49.1,54.85,10.05,0,
Nov-16,56,45.7,50.85,6.48,0,
Dec-16,41.9,34.1,38,3.87,1.02,
