date,AHT,ALT,AT,Total Precipitation,Total snowfall,"AHT=Average high temperature, L=low, unit=F, total xx unit=inch"
Jan-16,50,22,35,2.67,,
Feb-16,55,20,40,3.79,,
Mar-16,68,35,54,1.16,,
Apr-16,76,38,57,2.05,,
May-16,79,53,64,5.65,,
Jun-16,82,68,76,3.68,,
Jul-16,91,69,83,3.13,,
Aug-16,91,75,83,2.79,,
Sep-16,87,64,76,2.5,,
Oct-16,77,50,63,0.9,,
Nov-16,71,42,53,0.76,,
Dec-16,59,24,42,2.61,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
