date,AHT,ALT,AT,Total Precipitation,Total snowfall,"AHT=Average high temperature, L=low, unit=F, total xx unit=inch"
Jan-13,43.5,29.4,36.45,3.34,3.95,
Feb-13,41.7,28.5,35.1,2.12,2.76,
Mar-13,49,33.4,41.2,2.42,1.3,
Apr-13,64.7,44.9,54.8,2.32,0,
May-13,74.1,55.4,64.75,2.33,0,
Jun-13,83.6,65.6,74.6,10.56,0,
Jul-13,88,73.1,80.55,13.24,0,
Aug-13,82,67.3,74.65,5.91,0,
Sep-13,77.4,58.5,67.95,3.26,0,
Oct-13,69.1,52.2,60.65,2.45,0,
Nov-13,54,37,45.5,2.73,0,
Dec-13,45.7,31.8,38.75,5.2,11.21,
Jan-14,37.2,19.5,28.35,3.55,25.86,
Feb-14,39.4,25,32.2,5.12,22.39,
Mar-14,48.1,29.7,38.9,4.23,8.47,
Apr-14,64.2,43.5,53.85,6.69,0,
May-14,74.8,56,65.4,2.91,0,
Jun-14,83.7,65.3,74.5,5.46,0,
Jul-14,86.7,69.2,77.95,4.3,0,
Aug-14,83.2,66.1,74.65,3.55,0,
Sep-14,78.8,62.1,70.45,1.69,0,
Oct-14,67.6,52.2,59.9,2.53,0,
Nov-14,53.2,37.2,45.2,4.07,0,
Dec-14,47.1,35.1,41.1,3.27,0.12,
Jan-15,37.9,24.1,31,4.52,4.29,
Feb-15,34.2,17.6,25.9,2.36,10.63,
Mar-15,47.8,30.5,39.15,5.52,12.05,
Apr-15,65.3,45.4,55.35,3.58,0,
May-15,80.9,59.3,70.1,1.19,0,
Jun-15,83,66.5,74.75,8.88,0,
Jul-15,87.2,71.3,79.25,3.16,0,
Aug-15,88,70,79,0.98,0,
Sep-15,83.6,65.4,74.5,6.27,0,
Oct-15,67,50,58.5,3.76,0,
Nov-15,61.6,44.7,53.15,1.89,0,
Dec-15,58.2,44.2,51.2,5.14,0,
Jan-16,42.3,26.2,34.25,2.63,22.91,
Feb-16,45.9,30.4,38.15,4.35,3.26,
Mar-16,60.8,41.2,51,2.01,1.03,
Apr-16,64.4,44.5,54.45,1.75,0.31,
May-16,71.1,54.9,63,6.65,0,
Jun-16,83.7,64.7,74.2,1.87,0,
Jul-16,89.9,72.5,81.2,3.88,0,
Aug-16,89.7,72.4,81.05,1.7,0,
Sep-16,82.2,64.8,73.5,3.52,0,
Oct-16,69,51.7,60.35,2.06,0,
Nov-16,58.8,41.1,49.95,2.17,0,
Dec-16,45.6,32.1,38.85,2.72,0.32,
Jan-17,44.4,32.7,38.55,2.91,5.67,
Feb-17,53.5,34.9,44.2,1.3,2.01,
Mar-17,50.7,33.6,42.15,4.26,6.96,
Apr-17,69.1,49.8,59.45,3.15,0,
May-17,71.6,54.6,63.1,6.33,0,
Jun-17,84.1,65.2,74.65,1.86,0,
Jul-17,87.4,71.2,79.3,5.35,0,
Aug-17,83.2,67.3,75.25,6.05,0,
Sep-17,79.6,63.2,71.4,3.86,0,
Oct-17,72.4,55.7,64.05,3.66,0,
Nov-17,56.4,38.6,47.5,1.3,0,
Dec-17,42.6,29.6,36.1,1.31,7.71,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
