RID,BuildingID,DataYear,BuildingType,City,State,ZipCode,YearBuilt,PropertyGFATotal,LargestPropertyUseType,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu)
0,1,2015,NonResidential,Seattle,WA,98101,1927,88434,,78.9,80.3,173.5,175.1,6981428,7097539,2023032,3686160,1272388
1,2,2015,NonResidential,Seattle,WA,98101,1996,103566,,94.4,99,191.3,195.2,8354235,8765788,0,3905411,4448985
2,3,2015,NonResidential,Seattle,WA,98101,1969,961990,,96.6,99.7,242.7,246.5,73130656,75506272,19660404,49762435,3709900
3,8,2015,NonResidential,Seattle,WA,98121,1980,119890,,120.1,122.1,228.8,227.1,14829099,15078243,0,6066245,8763105
4,9,2015,Specialty,Seattle,WA,98101,1999,97288,,135.7,146.9,313.5,321.6,12051984,13045258,0,7271004,4781283
5,10,2015,NonResidential,Seattle,WA,98101,1926,83008,,76.9,79.6,149.5,158.2,6252842,6477493,0,2679698,3573255
6,11,2015,NonResidential,Seattle,WA,98101,1926,102761,,62.5,71.8,152.2,160.4,6426022,7380086,2003108,4108004,315079
7,12,2015,NonResidential,Seattle,WA,98104,1904,163984,,77,82.9,174.6,186.8,12633744,13589025,0,7355649,5278400
8,13,2015,Residential,Seattle,WA,98104,1910,63712,,81.7,92.7,178.1,190.8,4587231,5203458,1483476,2370050,733803
9,15,2015,NonResidential,Seattle,WA,98101,1969,153163,,101.1,107.2,200.8,205.2,14719853,15615929,3623542,6337531,4759044
10,16,2015,NonResidential,Seattle,WA,98101,1998,333176,,82.3,83.1,207.2,208,27717026,27970822,5426396,19058722,3232700
11,17,2015,NonResidential,Seattle,WA,98104,1928,65009,,104.7,96.8,166.5,158.2,6807227,6292213,1987163,1615057,3205074
12,18,2015,NonResidential,Seattle,WA,98101,1980,315952,,77.2,77.2,183.2,183.2,22811690,22811690,4731090,14090906,3990280
13,19,2015,NonResidential,Seattle,WA,98101,1922,67390,,166.1,175.7,317.4,326,10711451,11329230,4403788,4089407,2218425
14,21,2015,Specialty,Seattle,WA,98154,2004,412000,,46,45.3,140.8,137.6,16849234,16594622,703184,16146718,0
15,22,2015,NonResidential,Seattle,WA,98104,1930,103911,,79.5,83.4,173.7,178.4,10340282,10843936,4398022,5288219,654260
16,23,2015,NonResidential,Seattle,WA,98104,1983,416281,,95.5,97.4,231.9,234.7,33270518,33922016,0,21932264,11339166
17,24,2015,NonResidential,Seattle,WA,98104,1907,57452,,130.2,140.2,278.7,290.2,7481768,8052425,1755365,3773975,1952583
18,25,2015,NonResidential,Seattle,WA,98104,1916,104352,,75.2,74.9,119.5,118.6,7845112,7816594,3205497,1790665,2849024
