Year,CensusBlock,City,State,HouseholdIncome,HouseholdIncomeMedian
2017,13121001600,Atlanta,GA,66806,12629
2017,13121012000,Atlanta,GA,28902,8926
2017,13121011900,Atlanta,GA,26032,7415
2017,13121011800,Atlanta,GA,16087,6874
2017,13089020200,Atlanta,GA,87889,8562
2017,13121010800,Atlanta,GA,44828,6584
2017,13089020300,Atlanta,GA,113088,24219
2017,13121010303,Atlanta,GA,63209,5468
2017,13121010211,Atlanta,GA,138393,74558
2017,13089020400,Atlanta,GA,78681,8462
2017,13121010206,Atlanta,GA,177188,37356
2017,13089020500,Atlanta,GA,55208,9164
2017,13121010114,Atlanta,GA,66186,9945
2017,13121010002,Atlanta,GA,138864,27690
2017,13089020600,Atlanta,GA,43295,18592
2017,13121010001,Atlanta,GA,103894,28218
2017,13089020700,Atlanta,GA,53833,7167
2017,13121009900,Atlanta,GA,124643,24726
2017,13121009802,Atlanta,GA,158800,23540
2017,13089020801,Atlanta,GA,92594,13638
2017,13121009801,Atlanta,GA,105536,17508
2017,13089020802,Atlanta,GA,57204,14755
2017,13121009700,Atlanta,GA,200179,49875
2017,13121009603,Atlanta,GA,75987,10789
2017,13089020900,Atlanta,GA,66536,6820
2017,13121009602,Atlanta,GA,101689,18908
2017,13089022401,Atlanta,GA,86366,30029
2017,13121009601,Atlanta,GA,94265,17055
2017,13121009502,Atlanta,GA,89298,13100
2017,13089023700,Atlanta,GA,45077,5179
2017,13121009501,Atlanta,GA,149688,41764
2017,13121000100,Atlanta,GA,149450,23192
2017,13121009404,Atlanta,GA,73649,21972
2017,13121009403,Atlanta,GA,45102,7166
2017,13121000200,Atlanta,GA,116094,18910
2017,13121009402,Atlanta,GA,69034,6438
2017,13121000400,Atlanta,GA,91857,21546
2017,13121009300,Atlanta,GA,100844,20079
2017,13121009200,Atlanta,GA,65957,3938
2017,13121000500,Atlanta,GA,85750,23402
2017,13121009102,Atlanta,GA,54174,14988
2017,13121000600,Atlanta,GA,50969,8609
2017,13121009101,Atlanta,GA,76981,6670
2017,13121009000,Atlanta,GA,105197,15947
