ZIPCode,CensusBlock,,
00601,72001956600,,
00601,72001956300,,
00601,72113071700,,
00601,72001956800,,
00601,72001956700,,
00602,72005400300,,
00602,72003430300,,
00602,72003430200,,
00602,72003430602,,
00613,72013300500,,
00613,72013301200,,
00622,72023830603,,
00624,72111730400,,
00624,72059740300,,
00624,72111730300,,
00624,72113070502,,
00624,72111730200,,
00624,72111730800,,
00647,72055961500,,
00647,72121960700,,
00647,72055961200,,
00647,72055961400,,
00650,72091570500,,
00650,72013300800,,
00650,72054580100,,
00650,72013300102,,
00650,72013300500,,
00650,72054580200,,
00650,72017590200,,
00677,72117959600,,
00677,72117959400,,
00677,72117959500,,
00677,72011810500,,
00683,72125840700,,
00683,72125840400,,
00683,72125840600,,
00683,72125840500,,
00683,72125840300,,
00683,72097080900,,
00692,72143550400,,
00692,72143550100,,
00692,72143550200,,
00692,72143550300,,
00692,72143550601,,
00692,72101955300,,
00692,72143550602,,
00692,72143550500,,
00720,72107955002,,
00720,72101955500,,
00720,72075710600,,
00720,72107955100,,
00741,72069180100,,
00744,72103170200,,
00771,72129220300,,
00771,72103170400,,
00771,72085190102,,
00771,72085190202,,
00771,72085190201,,
00771,72085190301,,
00771,72085190101,,
00773,72089140201,,
00773,72089140300,,
00773,72089140202,,
00773,72089140101,,
00778,72033020500,,
00778,72063210201,,
00778,72063210504,,
00778,72127003502,,
00778,72127008900,,
00778,72063210503,,
00778,72063210300,,
00778,72063210202,,
00778,72139060103,,
00778,72063210502,,
00778,72129220100,,
00778,72025202300,,
00778,72063210400,,
00792,72069180600,,
00840,78010971000,,
00840,78010971400,,
00840,78010971200,,
00840,78010970700,,
00840,78010971100,,
00840,78010970900,,
00840,78010971300,,
00830,78020950100,,
00907,72127009000,,
00907,72127000900,,
00907,72127004200,,
00907,72127009800,,
00907,72127001000,,
00907,72127003902,,
00907,72127006102,,
00907,72127001800,,
00907,72127002002,,
00907,72127001900,,
00907,72127004400,,
00907,72127002100,,
00907,72127980000,,
00907,72127004600,,
00907,72127002200,,
00907,72127000700,,
00907,72127006101,,
00907,72127009601,,
00913,72127001302,,
00913,72127001200,,
00913,72127001301,,
00919,72127010500,,
00927,72127004500,,
00927,72127980000,,
00927,72127008603,,
