Data Year,ID,Property Name,Address,ZIP Code,Community Area,Primary Property Type,Gross Floor Area - Buildings (sq ft),Year Built,# of Buildings,ENERGY STAR Score,Electricity Use (kBtu),Natural Gas Use (kBtu),District Steam Use (kBtu),District Chilled Water Use (kBtu),All Other Fuel Use (kBtu),Site EUI (kBtu/sq ft),Source EUI (kBtu/sq ft),Weather Normalized Site EUI (kBtu/sq ft),Weather Normalized Source EUI (kBtu/sq ft),Total GHG Emissions (Metric Tons CO2e),GHG Intensity (kg CO2e/sq ft),Latitude,Longitude,Location
2014,101794,225 West Wacker,225 West Wacker Drive,60606,LOOP,Office,"721,992",1989,1,87,"37,073,768",,,,,51,161,50,157,"7,449",10.32,41.88628574,-87.63508062,"(41.88628574, -87.63508062)"
2014,100447,211 E. Chicago Ave.,211 E. Chicago Ave.,60611,NEAR NORTH SIDE,Office,"394,230",1965,1,85,"15,403,962","17,932,947",,,,85,171,81,167,"4,047",10.27,41.89644968,-87.62256575,"(41.89644968, -87.62256575)"
2014,103641,33 North LaSalle Street,33 North LaSalle Street,60602,LOOP,Office,"477,171",1929,1,76,"15,112,533","26,999,828",,"1,025,160",,90,161,,,"4,524",9.48,41.88286478,-87.63205333,"(41.88286478, -87.63205333)"
2014,157011,LittleVilMpx-CPS,3120 S Kostner Ave,60623,SOUTH LAWNDALE,K-12 School,"290,134",2005,1,26,"16,030,378","11,819,639",,,,96,216,93,211,"3,849",13.26,41.83516722,-87.73556631,"(41.83516722, -87.73556631)"
2014,102544,Olive-Harvey College,10001 South Woodlawn Ave,60628,PULLMAN,College/University,"397,700",1981,1,,"14,710,299","16,218,361",,,,78,159,75,156,"3,817",9.6,41.71111526,-87.59121912,"(41.71111526, -87.59121912)"
2014,101972,150 North Wacker Drive,150 North Wacker Drive,60606,LOOP,Office,"265,117",1970,1,73,"11,708,148","21,696,000",,,,126,225,120,218,"3,505",13.22,41.88476971,-87.63734502,"(41.88476971, -87.63734502)"
2014,100332,Lindblom Col-CPS,6130 S Wolcott Ave,60636,WEST ENGLEWOOD,K-12 School,"305,788",1917,1,78,"6,702,297","14,754,931",,,,70,120,66,116,"2,130",6.97,41.78206597,-87.67220934,"(41.78206597, -87.67220934)"
2014,101797,303 E. Wacker,303 E. Wacker,60601,LOOP,Office,"1,015,129",1979,1,90,"65,367,130","59,037",,,,65,202,62,196,"13,136",12.94,41.88729474,-87.62026142,"(41.88729474, -87.62026142)"
2014,100396,St. Rita of Cascia High School,7740 South Western Avenue,60620,ASHBURN,K-12 School,"250,000",1960,1,68,"6,027,551","15,042,857",,,,84,139,80,135,"2,010",8.04,41.7520028,-87.68463714,"(41.7520028, -87.68463714)"
2014,101813,150 N. Michigan Ave,150 N. Michigan Ave,60601,LOOP,Office,"733,118",1984,1,73,"45,465,890",,,,,62,195,59,185,"9,135",12.46,41.88483521,-87.62496769,"(41.88483521, -87.62496769)"
