UID,BuildingID,DataYear,City,State,ZipCode,BuildingType,PrimaryPropertyUse,YearBuilt,PropertyGFATotal,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),ChilledWaterUse(kBtu),OtherFuelUse(kBtu)
0,101794,2014,Chicago,IL,60606,NonResidential,Office,1989,721992.0,51.0,50.0,161.0,157.0,0.0,37073768.0,0.0,0.0,0.0
1,100447,2014,Chicago,IL,60611,NonResidential,Office,1965,394230.0,85.0,81.0,171.0,167.0,0.0,15403962.0,17932947.0,0.0,0.0
2,103641,2014,Chicago,IL,60602,NonResidential,Office,1929,477171.0,90.0,0.0,161.0,0.0,0.0,15112533.0,26999828.0,1025160.0,0.0
3,157011,2014,Chicago,IL,60623,Specialty,K-12 School,2005,290134.0,96.0,93.0,216.0,211.0,0.0,16030378.0,11819639.0,0.0,0.0
4,102544,2014,Chicago,IL,60628,Specialty,College/University,1981,397700.0,78.0,75.0,159.0,156.0,0.0,14710299.0,16218361.0,0.0,0.0
5,101972,2014,Chicago,IL,60606,NonResidential,Office,1970,265117.0,126.0,120.0,225.0,218.0,0.0,11708148.0,21696000.0,0.0,0.0
6,100332,2014,Chicago,IL,60636,Specialty,K-12 School,1917,305788.0,70.0,66.0,120.0,116.0,0.0,6702297.0,14754931.0,0.0,0.0
7,101797,2014,Chicago,IL,60601,NonResidential,Office,1979,1015129.0,65.0,62.0,202.0,196.0,0.0,65367130.0,59037.0,0.0,0.0
8,100396,2014,Chicago,IL,60620,Specialty,K-12 School,1960,250000.0,84.0,80.0,139.0,135.0,0.0,6027551.0,15042857.0,0.0,0.0
9,101813,2014,Chicago,IL,60601,NonResidential,Office,1984,733118.0,62.0,59.0,195.0,185.0,0.0,45465890.0,0.0,0.0,0.0
10,103602,2014,Chicago,IL,60603,NonResidential,Office,1985,882560.0,73.0,70.0,228.0,220.0,0.0,63997553.0,0.0,0.0,33120.0
11,101718,2014,Chicago,IL,60602,NonResidential,Office,1981,1567321.0,69.0,67.0,213.0,208.0,0.0,105823828.0,1872277.0,0.0,0.0
12,101731,2014,Chicago,IL,60604,NonResidential,Office,1928,1809140.0,87.0,84.0,180.0,176.0,0.0,77678650.0,33398517.0,45910864.0,0.0
13,101827,2014,Chicago,IL,60602,NonResidential,Office,1914,570760.0,98.0,94.0,197.0,192.0,0.0,25665129.0,30306855.0,0.0,0.0
14,109613,2014,Chicago,IL,60608,Specialty,Prison/Incarceration,1926,4570176.0,163.0,156.0,258.0,250.0,0.0,188712261.0,557920205.0,0.0,0.0
15,101923,2014,Chicago,IL,60606,NonResidential,Office,1969,411672.0,229.0,226.0,459.0,455.0,0.0,42987208.0,51331336.0,0.0,0.0
16,101798,2014,Chicago,IL,60606,NonResidential,Office,1968,976496.0,112.0,107.0,206.0,201.0,0.0,41596477.0,67457365.0,0.0,0.0
17,101676,2014,Chicago,IL,60631,NonResidential,Office,1969,538105.0,97.0,0.0,200.0,0.0,0.0,25242259.0,27050011.0,-6664.0,0.0
18,101682,2014,Chicago,IL,60631,NonResidential,Office,1985,691766.0,62.0,59.0,193.0,185.0,0.0,42278570.0,403084.0,0.0,0.0
19,101887,2014,Chicago,IL,60661,NonResidential,Office,2006,509038.0,57.0,57.0,177.0,177.0,0.0,28427269.0,778680.0,0.0,0.0
20,101492,2014,Chicago,IL,60634,Specialty,College/University,1993,544380.0,35.0,35.0,111.0,111.0,0.0,19210710.0,0.0,0.0,0.0
21,101729,2014,Chicago,IL,60661,NonResidential,Financial Office,2004,1222281.0,76.0,75.0,237.0,233.0,0.0,91870045.0,1060716.0,0.0,0.0
22,101762,2014,Chicago,IL,60602,Specialty,Courthouse,1965,1541766.0,95.0,90.0,179.0,174.0,0.0,58666645.0,87365508.0,0.0,0.0
23,102331,2014,Chicago,IL,60613,Specialty,K-12 School,1971,259785.0,70.0,69.0,219.0,216.0,0.0,18079605.0,0.0,0.0,0.0
24,101804,2014,Chicago,IL,60611,NonResidential,Office,1965,878884.0,117.0,110.0,205.0,198.0,0.0,34658345.0,67941037.0,0.0,0.0
25,103639,2014,Chicago,IL,60601,NonResidential,Office,1929,501342.0,107.0,103.0,188.0,184.0,0.0,18430345.0,25567893.0,9498237.0,0.0
26,101850,2014,Chicago,IL,60601,NonResidential,Office,1962,579275.0,82.0,77.0,148.0,142.0,0.0,17315777.0,30032601.0,0.0,0.0
27,250048,2014,Chicago,IL,60638,Specialty,K-12 School,1957,358364.0,62.0,60.0,123.0,120.0,0.0,9845145.0,12451423.0,0.0,0.0
28,250150,2014,Chicago,IL,60654,NonResidential,Office,1912,335281.0,72.0,72.0,227.0,227.0,0.0,24220915.0,0.0,0.0,0.0
29,101876,2014,Chicago,IL,60604,NonResidential,Office,1963,451233.0,153.0,147.0,314.0,308.0,0.0,33178363.0,35651422.0,0.0,0.0
30,100001,2014,Chicago,IL,60622,NonResidential,Hospital (General Medical & Surgical),1928,309056.0,206.0,200.0,361.0,355.0,0.0,21470037.0,42125999.0,0.0,0.0
31,158121,2014,Chicago,IL,60603,NonResidential,Financial Office,1967,2429909.0,77.0,74.0,239.0,230.0,0.0,184219476.0,1991888.0,1230948.0,0.0
32,101954,2014,Chicago,IL,60602,NonResidential,Office,1914,259000.0,143.0,137.0,282.0,274.0,0.0,16443882.0,20495721.0,0.0,0.0
33,101856,2014,Chicago,IL,60604,NonResidential,Office,1962,620454.0,123.0,116.0,219.0,212.0,0.0,27102604.0,36050637.0,13035197.0,0.0
34,101848,2014,Chicago,IL,60606,NonResidential,Office,1973,649265.0,93.0,90.0,292.0,280.0,0.0,60188124.0,436393.0,0.0,0.0
35,101940,2014,Chicago,IL,60603,NonResidential,Enclosed Mall,1912,315000.0,88.0,0.0,184.0,0.0,0.0,13748941.0,14041471.0,0.0,0.0
36,157767,2014,Chicago,IL,60625,Specialty,K-12 School,1927,319900.0,80.0,75.0,129.0,122.0,0.0,6889272.0,18731796.0,0.0,0.0
