UID,BuildingID,DataYear,City,State,ZipCode,BuildingType,PrimaryPropertyUse,YearBuilt,PropertyGFATotal,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu)
0,1,2015,Seattle,WA,98101,NonResidential,Hotel,1927,88434,78.9,80.3,173.5,175.1,6981428.0,7097539.0,2023032.0,3686160.0,1272388.0
1,2,2015,Seattle,WA,98101,NonResidential,Hotel,1996,103566,94.4,99.0,191.3,195.2,8354235.0,8765788.0,0.0,3905411.0,4448985.0
2,3,2015,Seattle,WA,98101,NonResidential,Hotel,1969,961990,96.6,99.7,242.7,246.5,73130656.0,75506272.0,19660404.0,49762435.0,3709900.0
3,8,2015,Seattle,WA,98121,NonResidential,Hotel,1980,119890,120.1,122.1,228.8,227.1,14829099.0,15078243.0,0.0,6066245.0,8763105.0
4,9,2015,Seattle,WA,98101,Specialty,Police Station,1999,97288,135.7,146.9,313.5,321.6,12051984.0,13045258.0,0.0,7271004.0,4781283.0
5,10,2015,Seattle,WA,98101,NonResidential,Hotel,1926,83008,76.9,79.6,149.5,158.2,6252842.0,6477493.0,0.0,2679698.0,3573255.0
6,11,2015,Seattle,WA,98101,NonResidential,Other - Entertainment/Public Assembly,1926,102761,62.5,71.8,152.2,160.4,6426022.0,7380086.0,2003108.0,4108004.0,315079.0
7,12,2015,Seattle,WA,98104,NonResidential,Hotel,1904,163984,77.0,82.9,174.6,186.8,12633744.0,13589025.0,0.0,7355649.0,5278400.0
8,13,2015,Seattle,WA,98104,Residential,Multifamily Housing,1910,63712,81.7,92.7,178.1,190.8,4587231.0,5203458.0,1483476.0,2370050.0,733803.0
9,15,2015,Seattle,WA,98101,NonResidential,Hotel,1969,153163,101.1,107.2,200.8,205.2,14719853.0,15615929.0,3623542.0,6337531.0,4759044.0
10,16,2015,Seattle,WA,98101,NonResidential,Hotel,1998,333176,82.3,83.1,207.2,208.0,27717026.0,27970822.0,5426396.0,19058722.0,3232700.0
