Address,Atlanta Building ID,Blank ,Views by Parameter,City,ENERGY STAR Score,Number of Buildings,Number of Records,Postal Code,Grouped Property Types,Primary Property Type - Self Selected,Property GFA - Calculated (Buildings) (ft²),Property Id,Property Name,Property Notes,Site EUI (kBtu/ft²),Site Energy Use (kBtu),State/ Province,Table Names,Total GHG Emissions (Metric Tons CO2e) (group),Total GHG Emissions (Metric Tons CO2e),Water Use (kGal),Water Use Intensity (gal/ft²),Year Built,Year Ending,Year
3285 Peachtree Street,507961, ,,Atlanta,,,1,30305,Lodging,Hotel,340272,6323557,Embassy Suites Atlanta Buckhead,"Verified by Christopher R. Maddern, CEM

Reviewed 6/15/2018",,,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,No Values Given,0,,,1988,12/31/2014,1/1/2015
3398 Piedmont Road,Not Available, ,94,Atlanta,94,,1,30305,Lodging,Hotel,60000,4567886,Hampton Inn Atlanta Buckhead,Not Available,65.5,3930000,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,406.60000000000002,406.6,,,1998,12/31/2014,1/1/2015
3242 Peachtree Road,Not Available, ,89,Atlanta,89,,1,30305,Lodging,Hotel,100000,4566179,Hyatt Place Buckhead,Not Available,43.8,4380000,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,667.39999999999895,667.400000000,,,1996,12/31/2014,1/1/2015
88 W. Paces Ferry Rd,Not Available, ,,Atlanta,,,1,30305,"Other, Mixed Use",Mixed Use Property,811240,4549418,St. Regis Atlanta,Not Available,,,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,No Values Given,,,,2009,12/31/2014,1/1/2015
2911 Pharr Court South,353081, ,69,Atlanta,69,,1,30305,Hospital/Medical,Senior Care Community,300221,4518152,Campbell Stone,Not Available,68.6,20595200,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,1802.2,1802.2,8556.3,28.5,1964,12/31/2014,1/1/2015
79 marietta st,716497_a, ,,Atlanta,,,1,30305,"Other, Mixed Use",Parking,100044,4492618,79 marietta st nw,also submitting on behalf of 716497_b. this one building.,4.3,430189,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,77.700000000000003,77.7,49.0216,0.49,1957,12/31/2014,1/1/2015
3110 Roswell Road NW,277436, ,,Atlanta,,,1,30305,"Museums, Performing Arts and Zoos",Performing Arts,60000,4481710,The Buckhead Theatre,Not Available,22.9,1374000,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,248.19999999999899,248.200000000,169.8,2.83,1930,12/31/2014,1/1/2015
"2965 Pharr Court South , NW",4475520, ,33,Atlanta,33,,1,30305,Multi Family,Multifamily Housing,132596,4475520,Slaton Manor Condomnium Association,Not Available,80.5,10673978,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,1189.5999999999899,1189.600000000,,,1957,12/31/2014,1/1/2015
250 Williams St,190353_a, ,,Atlanta,,,1,30305,Office,Office,1175228,4470491,250 Williams St,"Building ID 190353_a
Parking Garage ID 190353_b",181,212716268,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,38474.599999999897,38474.600000000,12175.4,10.36,1998,12/31/2014,1/1/2015
"540 Pharr Road, NE",Not Available, ,64,Atlanta,64,,1,30305,Lodging,Hotel,62000,4458876,Staybridge Suites Atlanta/Buckhead,Not Available,77.3,4792600,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,663.0,663,,,2004,12/31/2014,1/1/2015
"540 Pharr Road, NE",Not Available, ,64,Atlanta,64,,1,30305,Lodging,Hotel,62000,4458876,Staybridge Suites Atlanta/Buckhead,Not Available,77.3,4792600,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,663.0,663,,,2004,12/31/2014,1/1/2015
2479 Peachtree Rd NE,970343, ,49,Atlanta,49,,1,30305,Multi Family,Multifamily Housing,318217,4311277,ParkLane on Peachtree Condominiums,Not Available,62.6,19920400,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,2211.0,2211,11035.8,34.68,1967,12/31/2014,1/1/2015
384 Woodward Way,991792, ,,Atlanta,,1,1,30305,Municipal,Municipal,11234,4293076,DPRCA-Atlanta Memorial Park,Gas data: There is no gas data for this site from either the gas company or UMS.,0,0,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,No Values Given,0,80.5478,7.17,1932,12/31/2014,1/1/2015
3300 Peachtree Road,958602, ,23,Atlanta,23,1,1,30305,Lodging,Hotel,434925,4226784,Atlanta Grand Hyatt,Not Available,107.7,46841400,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,5896.8999999999896,5896.900000000,24099.2,55.41,1990,12/31/2014,1/1/2015
77 W Paces Ferry Rd NW,232331, ,,Atlanta,,,1,30305,Retail/ Entertainment,Strip Mall,70251,4101123,Buckhead Market Place,Not Available,11.1,779786,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,141.099999999999,141.100000000,,,2005,12/31/2014,1/1/2015
3475 Piedmont Rd,889927, ,,Atlanta,,,1,30305,Office,Office,424051,4034603,Prominence In Buckhead,Not Available,70.5,29895600,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,4588.3999999999896,4588.400000000,3600.19,8.49,1999,12/31/2014,1/1/2015
