Kansas City Building Reporting ID,Portfolio Manager Property Id,Property Name,Parent Property Id,Parent Property Name,Year,Square Feet,Postal Code,Primary Property Type,All Property Use Types,Year Built,ENERGY STAR Score,Site Energy Use (kBtu) (ACTUAL),National Median Site Energy Use (kBtu),% Difference from National Median Site EUI,Site EUI (kBtu/ft²) (ACTUAL & ESTIMATE),National Median Site EUI (kBtu/ft²),Source Energy Use (kBtu) (ACTUAL),National Median Source Energy Use (kBtu),% Difference from National Median Source EUI,Source EUI (kBtu/ft²) (ACTUAL & ESTIMATE),National Median Source EUI (kBtu/ft²),Weather Normalized Site Energy Use (kBtu),Weather Normalized Source Energy Use (kBtu),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Source EUI (kBtu/ft²),Energy Cost ($) (ESTIMATE),National Median Energy Cost ($),Energy Cost Intensity ($/ft²) (ESTIMATE),Water Use (kgal) (ACTUAL),Total Greenhouse Gas Emissions (Metric Tons CO2e),National Median Total GHG Emissions (Metric Tons CO2e),Total Greenhouse Gas Emissions Intensity (kgCO2e/ft²),Direct Greenhouse Gas Emissions (Metric Tons CO2e),Direct Greenhouse Gas Emissions Intensity (kgCO2e/ft²),Indirect Greenhouse Gas Emissions (Metric Tons CO2e),Indirect Greenhouse Gas Emissions Intensity (kgCO2e/ft²),eGRID Output Emissions Rate (kgCO2e/MBtu),eGRID Subregion,Location,Neighborhood Census,Council Districts,County Boundary,Zip Codes
06-IS-01230,2874429,City Hall,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"413,901",64106,Office,Office,1937,95,"25,646,360.600000001","56,079,840.799999997",-54.3,62,135.5,"48,870,366.799999997","106,862,812.59999999",-54.3,118.1,258.2,"26,079,839.899999999","49,490,305.200000003",63,119.6,"762,118.59","1,666,493.48",1.84,"8,067","3,351.3","7,328.1",8.1,,,"3,351.3",8.1,240.4,(SPNO) KS-Western MO,"414 E. 12th Street
Kansas City, Missouri 64106
(39.100581, -94.57786)",5,4,7,75
63-IS-12210,4905979,Ambassador Building,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"282,034",64163,Office,Office,2001,38,"26,116,385.5","23,102,898.199999999",13,92.6,81.900000000000006,"82,005,450.5","72,543,108.900000006",13,290.8,257.2,"26,116,385.5","82,005,450.5",92.6,290.8,"586,419.68000000005","518,754.59",2.08,"4,830","6,319.4","5,590.2",22.4,,,"6,319.4",22.4,242,(SRMW) Middle Mississippi,"12200 NW Ambassador Drive
Kansas City, Missouri 64163
(39.314775, -94.683038)",203,5,3,133
08-IS-02410,4472559,Health Facility,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"103,935",64108,Office,Medical Office,1960,63,"7,588,337.7000000002","9,286,168.8000000007",-18.3,73,89.3,"23,827,380.300000001","29,158,573.399999999",-18.3,229.3,280.5,"7,837,514.2999999998","24,609,794.800000001",75.400000000000006,236.8,"253,526.98","310,251.62",2.44,"3,439.5","1,824.4","2,232.6",17.600000000000001,,,"1,824.4",17.600000000000001,240.4,(SPNO) KS-Western MO,"2400 Troost Avenue
Kansas City, Missouri 64108
(39.083685, -94.570658)",11,3,7,92
02-IS-01820,4947959,American Royal Complex,4947959,American Royal Complex,2015,"497,181",64102,Convention Center,Convention Center,1960,,,"22,518,037.699999999",,,45.3,,"34,722,340.799999997",,,69.8,"15,147,555.699999999","44,840,683",30.5,90.2,,"315,265.78000000003",,"3,226.2","3,391.5","2,733",6.8,62.9,0.1,"3,328.6",6.7,240.4,(SPNO) KS-Western MO,"1701 American Royal
Kansas City, Missouri 64102
(39.090674, -94.603875)",241,4,7,20
05-IS-01310,4472730,Bartle Hall,4940016,Convention Center Complex,2015,"1,145,000",64105,Convention Center,Convention Center,1976,,"44,037,735.299999997","29,991,850",46.8,38.5,26.2,"117,414,478.5","79,965,003.200000003",46.8,102.5,69.8,"45,774,320","119,456,672.2",40,104.3,"1,223,815.76","833,478.38",1.07,"1,511.2","8,714.1","5,934.7",7.6,105.8,0.1,"8,608.2999999999993",7.5,240.4,(SPNO) KS-Western MO,"301 West 13th Street
Kansas City, Missouri 64105
(39.0988, -94.58697)",5,4,7,72
57-IS-06830,4472757,Shoal Creek Central Plant and Police Academy,4950792,Police Dept. Shoal Creek Cmapus,2015,"12,984",64157,Police Station,Other,2006,,"17,302,693.899999999","879,669.8","1,867","1,332.6",67.8,"31,443,783.199999999","1,598,603.5","1,867","2,421.6999999999998",123.1,"17,660,957.600000001","31,465,913.899999999","1,360.2","2,423.4","269,647.98","13,708.92",20.77,"1,488","2,118.6999999999998",107.7,163.19999999999999,581.6,44.8,"1,537",118.4,242,(SRMW) Middle Mississippi,"6885 NE Pleasant Valley Road
Kansas City, Missouri 64157
(39.216579, -94.49904)",187,6,4,135
57-IS-06840,4950792,Police Dept. Shoal Creek Cmapus,4950792,Police Dept. Shoal Creek Cmapus,2015,"60,448",64157,Police Station,Police Station,1960,,"20,351,576.199999999","4,629,451.5",339.6,336.7,76.599999999999994,"41,017,273.799999997","9,330,356.8000000007",339.6,678.6,154.4,"20,725,128.699999999","41,087,411",342.9,679.7,"361,030.88","82,125.100000000006",5.97,"1,488","2,856.4",649.79999999999995,47.3,581.6,9.6,"2,274.8000000000002",37.6,242,(SRMW) Middle Mississippi,"6801 NE Pleasant Valley Rd.
Kansas City, Missouri 64157
(39.21658, -94.499005)",187,6,4,135
06-IS-01120,4472728,Garage-1100 Oak St.,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"441,200",64106,Parking,Parking,2002,,"5,060,022.9000000004",,,11.5,,"15,888,471.800000001",,,36,,"5,141,290.9000000004","16,143,653.5",11.7,36.6,"137,105.46",,0.31,"1,308.7","1,216.5",,2.8,,,"1,216.5",2.8,240.4,(SPNO) KS-Western MO,"11th and Oak Streets
Kansas City, Missouri 64106",,,,
37-IS-09730,4472788,PD South Patrol Main,4950770,Police Dept. South Patrol Campus,2015,"75,230",64137,Police Station,Police Station,1960,,"4,158,107.9","3,698,091.7",12.4,55.3,49.2,"13,056,458.699999999","11,612,009.4",12.4,173.6,154.4,"4,158,107.9","13,056,458.699999999",55.3,173.6,"105,324.92","93,672.71",1.4,"1,262.2",999.7,889.1,13.3,,,999.7,13.3,240.4,(SPNO) KS-Western MO,"9701 Marion Park Dr.
Kansas City, Missouri 64137
(38.948456, -94.5357)",178,2,7,149
37-IS-09740,4950770,Police Dept. South Patrol Campus,4950770,Police Dept. South Patrol Campus,2015,"118,338",64137,Police Station,Police Station,1960,,"6,633,356","6,160,227.5",7.7,56.1,52.1,"19,668,763","18,265,877.600000001",7.7,166.2,154.4,"6,683,003.9000000004","19,720,893.199999999",56.5,166.6,"164,795.97","153,041.78",1.39,"1,262.2","1,490.8","1,384.5",12.6,29.5,0.2,"1,461.4",12.3,240.4,(SPNO) KS-Western MO,"9701 Marion Park Dr.
Kansas City, Missouri 64137
(38.948456, -94.5357)",178,2,7,149
