pid,dc_real_pid,pm_pid,property_name,pm_parent_pid,parent_property_name,year_ending,report_status,address_of_record,owner_of_record,ward,reported_address,city,state,postal_code,year_built,primary_ptype_self,primary_ptype_epa,tax_record_floor_area,reported_gross_floor_area,energy_star_score,site_eui,weather_norm_site_eui,source_eui,weather_norm_source_eui,total_ghg_emissions,total_ghg_emissions_intensity,water_use,electricity_use,natural_gas_use,fuel_use,district_water_use,metered_areas_energy,metered_areas_water,latitude,longitude
PM04441622,6271_0027,4441622,Vista at Wingate,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,4660 MARTIN LUTHER KING JR AVE SW,WINGATE PROPERTIES LLC,8,4660 Martin Luther King Jr. Avenue,Washington,DC,20032,1964,Multifamily Housing,Multifamily Housing,258310,426944,100,18.9,19,49.2,49.3,797,1.9,9923.3,1756058,20685.63379,,,Whole Building,Whole Building,38.82248,-77.0102315
DC62710807,6271_0807,N/A,,,,12/31/2015,Exempt from this year's disclosure,0070 - 0116 GALVESTON ST SW,WINGATE PROPERTIES LLC,8,,Washington,DC,20032,1964,,Not Provided,154424,,,,,,,,,,,,,,,,38.8235989,-77.0088161
DC62710029,6271_0029,N/A,,,,12/31/2015,Exempt from this year's disclosure,0026 - 0068 GALVESTON ST SW,WINGATE PROPERTIES LLC,8,,Washington,DC,,1965,,Not Provided,68772,,,,,,,,,,,,,,,,38.8236057,-77.0081085
DC62541302,6254_1302,N/A,,,,12/31/2015,No report received,0006 GALVESTON ST SW,FRIENDSHIP SQUARE CONDO,8,,Washington,DC,,1949,,Not Provided,62292,,,,,,,,,,,,,,,,38.823999,-77.0064463
PM04370572,6242_0834,4370572,St Thomas More,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,4275 4TH ST SE,ROMAN CATHOLIC ARCHBISHOP WASHINGTON,8,4275 4th St SE,Washington,DC,20032,1950,K-12 School,K-12 School,53697,65431,100,13.2,12.8,41.5,40.3,115.7,1.8,393.5,253355.4,0,,,Whole Building,Whole Building,38.8254087,-77.0002222
DC62100038,6210_0038,N/A,,,,12/31/2015,No report received,800 SOUTHERN AVE SE,PARK SOUTHERN NEIGHBORHOOD CORPORATION,8,,Washington,DC,,1965,,Not Provided,316536,,,,,,,,,,,,,,,,38.827499,-76.99454
PM04006431,6201_0027,4006431,Madison Courts,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,0002 - 0032 CHESAPEAKE ST SW,CHESAPEAKE PRESERVATION LLC,8,32 Chesapeake St SW,Washington,DC,20032,1944,Multifamily Housing,Multifamily Housing,61642,61642,13,104.9,105.4,156.5,153.7,453.9,7.4,5241.8,401336,50944.9701,,,Whole Building,Whole Building,38.82887868,-77.00795766
DC62080829,6208_0829,N/A,,,,12/31/2015,No report received,4201 - 4237 7TH ST SE,BELMONT CROSSING APARTMENTS LLC,8,,Washington,DC,,1959,,Not Provided,73584,,,,,,,,,,,,,,,,38.8288992,-76.9966562
DC62030804,6203_0804,N/A,,,,12/31/2015,Exempt from this year's disclosure,4200 - 4240 SOUTH CAPITOL ST SE,RUTH E EVANS TRUSTEE,8,,Washington,DC,20032,1961,,Not Provided,73236,,,,,,,,,,,,,,,,38.8289638,-77.007434
DC62100039,6210_0039,N/A,,,,12/31/2015,Exempt from this year's disclosure,0860 CHESAPEAKE ST SE,VESTA CHESAPEAKE LLC,,,Washington,DC,,1967,,Not Provided,,,,,,,,,,,,,,,,,38.829145,-76.9912286
