pid,dc_real_pid,pm_pid,property_name,pm_parent_pid,parent_property_name,year_ending,report_status,address_of_record,owner_of_record,Ward,reported_address,city,state,postal_code,year_built,primary_ptype_self,primary_ptype_epa,tax_record_floor_area,reported_gross_floor_area,energy_star_score,site_eui,weather_norm_site_eui,source_eui,weather_norm_source_eui,total_ghg_emissions,total_ghg_emissions_intensity,water_use,water_score_mf_properties,electricity_use,natural_gas_use,fuel_use,district_water_use,metered_areas_energy,metered_areas_water,latitude,longitude
PM02924130,0008_0806,2924130,Watergate East  Inc.,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,2500 VIRGINIA AV NW,WATERGATE EAST INC,2,2500 Virginia Avenue  NW,Washington,DC,20037,1966,Multifamily Housing,Multifamily Housing,449825,389352,19,92.7,93.1,150.6,151.6,2634.3,6.8,7312.1,88,2674621,4252.403468,,26546049.8,Whole Building,Whole Building,38.899151,-77.054598
PM03448441,0008_0808,3448441,Watergate (Rockwood Capital LLC),Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,Incomplete report ,2600 VIRGINIA AV NW,WATERGATE OFFICE FEE OWNER LLC,2,2600 Virginia Avenue,Washington,DC,20037,1967,Office,Office,286113,222549,,,,,,,,,,2427369,,,,Whole Building,,38.8996218,-77.0555117
PM04013976,0008_0809,4013976,Watergate west,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,2700 VIRGINIA AV NW,WATERGATE WEST INC,2,2700 Virginia Avenue NW,Washington,DC,20037,1968,Multifamily Housing,Multifamily Housing,307722,307722,1,143,143,220.4,220.4,2935.6,9.5,29053.2,1,3034217,336465.9265,,,Whole Building,Whole Building,38.90004224,-77.05626994
PM01163866,0008_0811,1163866,Watergate 600,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,Incomplete report ,0600 NEW HAMPSHIRE AV NW,WATERGATE HOLDINGS I LLC,2,600 New Hampshire Ave NW,Washington,DC,20037,1972,Office,Office,363050,315310.7,79,69.6,73.7,178.9,183.9,2146.3,6.8,,,4541744,,,6434525.3,Whole Building,Whole Building,38.89781099,-77.05506721
PM03485106,0008_0812,3485106,Watergate South Inc,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,0700 NEW HAMPSHIRE AV NW,WATERGATE SOUTH INC,2,700 New Hampshire Ave NW,Washington,DC,20037,1971,Multifamily Housing,Multifamily Housing,432755,426755,43,85.8,88.7,139.4,143.4,,,9943.1,95,2620945,,,27655709.5,Whole Building,Whole Building,38.8987552,-77.0539162
PM05930328,0008_2881,5930328,The Watergate Hotel,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,2650 VIRGINIA AVE NW,THE WATERGATE HOTEL CONDO,2,2650 Virginia AVE,Washington,DC,20037,1964,Hotel,Hotel,163681,227000,99,58,58,138.3,138.3,1183.2,5.2,7794.8,,2946149,31025.96977,,,Whole Building,Whole Building,38.899384,-77.055791
PM04429402,0014_0068,4429402,Squire Patton Boggs,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,2550 M ST NW,MAPS 2550 M STREET LLC,2,2550 M Street,Washington,DC,20037,1977,Office,Office,209866,207081,81,58.4,,183.4,,1342,6.5,2434.7,,3543349,,10957.2,,Whole Building,Whole Building,38.90497754,-77.05421027
PM03642070,0014_1002,3642070,The Westbridge Condominiums,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,2555 PENNSYLVANIA AVE NW,WESTBRIDGE CONDOMINIUM,2,2555 Pennsylvania Ave NW,Washington,DC,20037,1978,Multifamily Housing,Multifamily Housing,184748,254818,32,39.3,40.7,123.2,127.8,1109.5,4.4,5599.5,55,2931380,,,,Whole Building,Whole Building,38.9044661,-77.0542296
PM04006008,0015_0048,4006008,Avenue suites,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,2500 PENNSYLVANIA AVE NW,FLORENZ R OURISMAN HOSPITALITY PARTNERS,2,2500 pennsylvania ave nw,Washington,DC,20037,1978,Hotel,Hotel,94951,108766,42,90.4,91.2,196.9,196,829,7.6,6293.3,,1554600,45294.65381,,,Whole Building,Whole Building,38.9034432,-77.0536769
PM04376327,0015_2002,4376327,Bader Condominium,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,Incomplete report ,2515 K ST NW,THE BADER CONDO,2,2515 K St. NW,Washington,DC,20037,1939,Multifamily Housing,Multifamily Housing,51614,68360,,83,87.2,174.6,179,466.8,6.8,2512.4,,837922,28172.13033,,,Whole Building,Whole Building,38.9029271,-77.0538162
