OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,TaxParcelIdentificationNumber,Location,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),OtherFuelUse(kBtu),GHGEmissions(MetricTonsCO2e),GHGEmissionsIntensity(kgCO2e/ft2),DefaultData,Comment,ComplianceStatus,Outlier,2010 Census Tracts,Seattle Police Department Micro Community Policing Plan Areas,City Council Districts,SPD Beats,Zip Codes
1,2015,NonResidential,Hotel,MAYFLOWER PARK HOTEL,659000030,"405 OLIVE WAY
SEATTLE, WA 98101
(47.61219025, -122.33799744)",7,DOWNTOWN,1927,1,12,"88,434",0,"88,434",Hotel,Hotel,"88,434",,,,,,65,78.9,80.3,173.5,175.1,"6,981,428","7,097,539","2,023,032","1,080,307","3,686,160","12,724","1,272,388",0,249.43,2.64,No,,Compliant,,,14,,31,"18,081"
2,2015,NonResidential,Hotel,PARAMOUNT HOTEL,659000220,"724 PINE ST
SEATTLE, WA 98101
(47.61310583, -122.33335756)",7,DOWNTOWN,1996,1,11,"103,566","15,064","88,502","Hotel, Parking, Restaurant",Hotel,"83,880",Parking,"15,064",Restaurant,"4,622",,51,94.4,99,191.3,195.2,"8,354,235","8,765,788",0,"1,144,563","3,905,411","44,490","4,448,985",0,263.51,2.38,No,,Compliant,,,14,,31,"18,081"
3,2015,NonResidential,Hotel,WESTIN HOTEL,659000475,"1900 5TH AVE
SEATTLE, WA 98101
(47.61334897, -122.33769944)",7,DOWNTOWN,1969,1,41,"961,990",0,"961,990","Hotel, Parking, Swimming Pool",Hotel,"757,243",Parking,"100,000",Swimming Pool,0,,18,96.6,99.7,242.7,246.5,"73,130,656","75,506,272","19,660,404","14,583,930","49,762,435","37,099","3,709,900",0,"2,061.48",1.92,Yes,,Compliant,,,56,,31,"18,081"
5,2015,NonResidential,Hotel,HOTEL MAX,659000640,"620 STEWART ST
SEATTLE, WA 98101
(47.61421585, -122.33660889)",7,DOWNTOWN,1926,1,10,"61,320",0,"61,320",Hotel,Hotel,"61,320",,,,,,1,460.4,462.5,636.3,643.2,"28,229,320","28,363,444","23,458,518","811,521","2,769,023","20,019","2,001,894",0,"1,936.34",31.38,No,,Compliant,High Outlier,,56,,31,"18,081"
8,2015,NonResidential,Hotel,WARWICK SEATTLE HOTEL,659000970,"401 LENORA ST
SEATTLE, WA 98121
(47.6137544, -122.3409238)",7,DOWNTOWN,1980,1,18,"119,890","12,460","107,430","Hotel, Parking, Swimming Pool",Hotel,"123,445",Parking,"68,009",Swimming Pool,0,,67,120.1,122.1,228.8,227.1,"14,829,099","15,078,243",0,"1,777,841","6,066,245","87,631","8,763,105",0,507.7,4.02,No,,Compliant,,,56,,31,"19,576"
9,2015,Nonresidential COS,Other,WEST PRECINCT (SEATTLE POLICE),660000560,"810 VIRGINIA ST
SEATTLE, WA 98101
(47.6164389, -122.33676431)",7,DOWNTOWN,1999,1,2,"97,288","37,198","60,090",Police Station,Police Station,"88,830",,,,,,,135.7,146.9,313.5,321.6,"12,051,984","13,045,258",0,"2,130,921","7,271,004","47,813","4,781,283",0,304.62,2.81,No,,Compliant,,,56,,7,"19,576"
10,2015,NonResidential,Hotel,CAMLIN WORLDMARK HOTEL,660000825,"1619 9TH AVE
SEATTLE, WA 98101
(47.6141141, -122.33274086)",7,DOWNTOWN,1926,1,11,"83,008",0,"83,008",Hotel,Hotel,"81,352",,,,,,25,76.9,79.6,149.5,158.2,"6,252,842","6,477,493",0,"785,342","2,679,698","35,733","3,573,255",0,208.46,2.37,No,,Compliant,,,14,,31,"18,081"
11,2015,NonResidential,Other,PARAMOUNT THEATER,660000955,"901 PINE ST
SEATTLE, WA 98101
(47.61290234, -122.33130949)",7,DOWNTOWN,1926,1,8,"102,761",0,"102,761",Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,"102,761",,,,,,,62.5,71.8,152.2,160.4,"6,426,022","7,380,086","2,003,108","1,203,937","4,108,004","3,151","315,079",0,199.99,1.77,No,,Compliant,,,14,,31,"18,081"
12,2015,NonResidential,Hotel,COURTYARD BY MARRIOTT - ALASKA BLDG SEATTLE,939000080,"612 2ND AVE
SEATTLE, WA 98104
(47.60258934, -122.33255325)",7,DOWNTOWN,1904,1,15,"163,984",0,"163,984",Hotel,Hotel,"163,984",,,,,,46,77,82.9,174.6,186.8,"12,633,744","13,589,025",0,"2,155,728","7,355,649","52,784","5,278,400",0,331.61,1.83,No,,Compliant,,,14,,19,"18,379"
13,2015,Multifamily MR (5-9),Mid-Rise Multifamily,LYON BUILDING,939000105,"607 3RD AVE
SEATTLE, WA 98104
(47.60278416, -122.33214887)",7,DOWNTOWN,1910,1,6,"63,712","1,496","62,216",Multifamily Housing,Multifamily Housing,"56,132",,,,,,2,81.7,92.7,178.1,190.8,"4,587,231","5,203,458","1,483,476","694,593","2,370,050","7,338","733,803",0,170,2.51,No,,Compliant,,,14,,19,"18,379"
15,2015,NonResidential,Hotel,HOTEL MONACO,942000145,"1101 4TH AVE
SEATTLE, WA 98101
(47.60712147, -122.33431932)",7,DOWNTOWN,1969,1,11,"153,163","19,279","133,884",,,,,,,,,48,101.1,107.2,200.8,205.2,"14,719,853","15,615,929","3,623,542","1,857,347","6,337,531","47,590","4,759,044",0,576.63,3.59,No,,Compliant,,,14,,19,"18,081"
16,2015,NonResidential,Hotel,W SEATTLE HOTEL,942000165,"1112 4TH AVE
SEATTLE, WA 98101
(47.60718204, -122.33347215)",7,DOWNTOWN,1998,1,25,"333,176","61,161","272,015",Hotel,Hotel,"336,640",,,,,,32,82.3,83.1,207.2,208,"27,717,026","27,970,822","5,426,396","5,585,560","19,058,722","32,327","3,232,700",0,723.4,1.93,No,,Compliant,,,14,,19,"18,081"
17,2015,NonResidential,Hotel,EXECUTIVE PACIFIC PLAZA,942000210,"400 SPRING ST
SEATTLE, WA 98104
(47.60709939, -122.33310536)",7,DOWNTOWN,1928,1,9,"65,009",0,"65,009",Hotel,Hotel,"65,009",,,,,,39,104.7,96.8,166.5,158.2,"6,807,227","6,292,213","1,987,163","473,326","1,615,057","32,051","3,205,074",0,334.87,5.04,No,,Compliant,,,14,,19,"18,081"
18,2015,NonResidential,Hotel,CROWNE PLAZA,942000235,"1113 6TH AVE
SEATTLE, WA 98101
(47.60809326, -122.33211517)",7,DOWNTOWN,1980,1,33,"315,952","57,600","258,352","Hotel, Parking",Hotel,"295,511",Parking,"57,600",,,,56,77.2,77.2,183.2,183.2,"22,811,690","22,811,690","4,731,090","4,129,637","14,090,906","39,903","3,990,280",0,675.34,1.95,Yes,,Compliant,,,14,,19,"18,081"
19,2015,NonResidential,Hotel,HOTEL VINTAGE PARK,942000265,"1100 5TH AVE
SEATTLE, WA 98101
(47.60761642, -122.3323288)",7,DOWNTOWN,1922,1,11,"67,390",0,"67,390",,,,,,,,,14,166.1,175.7,317.4,326,"10,711,451","11,329,230","4,403,788","1,198,487","4,089,407","22,184","2,218,425",0,486.25,6.95,No,,Compliant,,,14,,19,"18,081"
21,2015,Nonresidential COS,Other,SEATTLE CENTRAL LIBRARY,942000275,"1000 4TH AVE
SEATTLE, WA 98104
(47.60667501, -122.33226425)",7,DOWNTOWN,2004,1,11,"412,000","57,000","355,000","Data Center, Library, Parking",Library,"364,913",Parking,"49,000",Data Center,"1,074",,,46,45.3,140.8,137.6,"16,849,234","16,594,622","703,184","4,732,136","16,146,718",0,0,0,166.84,0.24,No,,Compliant,,,14,,19,"18,379"
22,2015,NonResidential,Other,DOWNTOWN SEATTLE YMCA,942000350,"909 4TH AVE
SEATTLE, WA 98104
(47.60544586, -122.33280182)",7,DOWNTOWN,1930,1,6,"103,911",0,"103,911","Fitness Center/Health Club/Gym, Office, Swimming Pool",Fitness Center/Health Club/Gym,"90,000",Office,"40,000",Swimming Pool,0,,,79.5,83.4,173.7,178.4,"10,340,282","10,843,936","4,398,022","1,549,824","5,288,219","6,543","654,260",0,411.09,3.74,No,,Compliant,,,14,,19,"18,379"
23,2015,NonResidential,Hotel,RENAISSANCE MADISON HOTEL,942000430,"515 MADISON ST
SEATTLE, WA 98104
(47.60656003, -122.33063632)",7,DOWNTOWN,1983,1,28,"416,281","85,000","331,281","Hotel, Parking",Hotel,"348,329",Parking,"85,000",,,,30,95.5,97.4,231.9,234.7,"33,270,518","33,922,016",0,"6,427,712","21,932,264","113,392","11,339,166",0,755.12,1.59,No,,Compliant,,,14,,19,"18,379"
24,2015,NonResidential,Mixed Use Property,RAINIER CLUB (HISTORICAL LANDMARK),942000510,"810 4TH AVE
SEATTLE, WA 98104
(47.60552597, -122.33163032)",7,DOWNTOWN,1907,1,5,"57,452",0,"57,452","Office, Other, Other - Lodging/Residential, Restaurant, Social/Meeting Hall",Social/Meeting Hall,"16,442",Restaurant,"15,505",Office,"9,741",,,130.2,140.2,278.7,290.2,"7,481,768","8,052,425","1,755,365","1,106,043","3,773,975","19,526","1,952,583",0,265.5,4.34,No,,Compliant,,,14,,19,"18,379"
25,2015,NonResidential,Hotel,DOUBLE TREE ARCTIC CLUB HOTEL - SEATTLE,942000610,"700 3RD AVE
SEATTLE, WA 98104
(47.60397899, -122.3320576)",7,DOWNTOWN,1916,1,10,"104,352",0,"104,352",,,,,,,,,83,75.2,74.9,119.5,118.6,"7,845,112","7,816,594","3,205,497","524,792","1,790,665","28,490","2,849,024",0,411.22,3.87,No,,Compliant,,,14,,19,"18,379"
26,2015,NonResidential,Other,KING COUNTY COURTHOUSE,942000860,"516 3RD AVE
SEATTLE, WA 98104
(47.60264587, -122.33052826)",7,DOWNTOWN,1916,1,10,"540,360",0,"540,360",Courthouse,Courthouse,"537,150",,,,,,67,99.3,103.1,208.5,210.4,"53,332,648","55,378,956",0,"7,853,984","26,798,906","265,349","26,534,856",0,"1,596.08",2.74,No,,Compliant,,,14,,20,"18,379"
27,2015,NonResidential,Other,KING COUNTY CORRECTIONAL FACILITY,942001010,"500 5TH AVE
SEATTLE, WA 98104
(47.60355377, -122.32830048)",3,DOWNTOWN,1985,1,19,"385,274",0,"385,274",Other,Other,"385,274",,,,,,,132.1,136.1,245.5,243.9,"50,899,248","52,435,544",0,"5,766,838","19,677,268","312,228","31,222,797",0,"1,795.42",4.44,No,,Compliant,,,14,,19,"18,379"
28,2015,SPS-District K-12,K-12 School,GRAHAM HILL ELEMENTARY SCHOOL (SPS-DISTRICT),1102000138,"5101 S GRAHAM ST
SEATTLE, WA 98118
(47.54570136, -122.2685843)",2,SOUTHEAST,1961,1,2,"56,228",0,"56,228",K-12 School,K-12 School,"58,320",,,,,,96,25.1,29.6,59.2,63.9,"1,454,222","1,716,043",0,"267,181","911,659","5,426","542,600",0,35.17,0.56,Yes,,Compliant,,,30,,43,"18,800"
29,2015,NonResidential,Hotel,WATERTOWN HOTEL,1142000755,"4242 ROOSEVELT WAY NE
SEATTLE, WA 98105
(47.65953281, -122.3173925)",4,NORTHEAST,2001,1,6,"88,592","30,586","58,006","Hotel, Parking",Hotel,"58,006",Parking,"30,586",,,,85,66.9,66.3,151.5,149.7,"3,880,806","3,848,493",0,"660,802","2,254,751","16,261","1,626,149",0,102.08,1.04,No,,Compliant,,,60,,38,"18,383"
30,2015,NonResidential,College/University,Cornish (Main Campus Center),660001420,"1000 LENORA ST
SEATTLE, WA 98121
(47.61839333, -122.3369292)",7,DOWNTOWN,1928,1,7,"126,593",0,"126,593",College/University,College/University,"125,000",,,,,,,78.3,90.9,158.9,172.1,"9,791,557","11,360,926",0,"1,343,046","4,582,663","52,091","5,209,084",0,308.6,2.28,No,,Compliant,,,56,,7,"19,576"
31,2015,NonResidential,Other,SEATTLE HONDA,660001725,"1017 OLIVE WAY
SEATTLE, WA 98101
(47.61490582, -122.33040102)",7,DOWNTOWN,1930,1,2,"67,224",0,"67,224",Automobile Dealership,Automobile Dealership,"67,224",,,,,,,20.7,20.7,64.9,64.9,"1,388,717","1,388,717",0,"407,010","1,388,775",0,0,0,9.68,0.06,No,,Compliant,,,14,,31,"18,081"
32,2015,NonResidential,Hotel,HOMEWOOD SUITES -SEATTLE - Hilton,660001832,"1011 PIKE ST
SEATTLE, WA 98101
(47.61300278, -122.32923126)",7,EAST,1991,1,8,"158,676","30,301","128,375","Hotel, Parking, Retail Store, Swimming Pool",Hotel,"112,676",Parking,"42,000",Retail Store,"4,500",,,44,46.3,55.7,58.1,"5,159,342","5,421,759",0,"156,133","532,747","46,266","4,626,617",0,249.43,1.56,No,,Compliant,,,19,,12,"18,081"
33,2015,NonResidential,Hotel,SPRINGHILL SUITES SEATTLE DOWNTOWN,660002680,"1800 YALE AVE
SEATTLE, WA 98101
(47.61806905, -122.33005445)",7,DOWNTOWN,2001,1,10,"171,866","38,281","133,585",Hotel,Hotel,"128,909",,,,,,20,85.5,86.7,183.3,180.9,"11,026,945","11,178,456",0,"1,689,143","5,763,595","52,636","5,263,590",0,319.73,1.72,Yes,,Compliant,,,56,,10,"18,081"
34,2015,SPS-District K-12,K-12 School,MEANY MIDDLE SCHOOL (SPS-DISTRICT),688000090,"300 20TH AVE E
SEATTLE, WA 98112
(47.62309371, -122.3053887)",3,CENTRAL,1955,1,1,"126,351",0,"126,351",K-12 School,K-12 School,"126,351",,,,,,57,49.7,64.4,84.2,102.4,"6,283,226","8,131,874",0,"566,538","1,933,106","43,502","4,350,200",0,244.51,1.87,No,,Compliant,,,35,,6,"18,789"
35,2015,NonResidential,Hotel,Hotel Five,697000170,"2200 5TH AVE
SEATTLE, WA 98121
(47.61587049, -122.34197968)",7,DOWNTOWN,1978,1,5,"68,410","16,200","52,210",Hotel,Hotel,"47,994",,,,,,60,90.5,90.5,194.1,194.1,"4,341,706","4,341,706",0,"667,101","2,276,244","20,656","2,065,556",0,125.57,1.69,No,,Compliant,,,56,,7,"19,576"
36,2015,SPS-District K-12,K-12 School,JANE ADAMS JUNIOR HIGH (SPS-DISTRICT),752000170,"11031 34TH AVE NE
SEATTLE, WA 98125
(47.71011498, -122.29379175)",5,NORTH,1949,1,2,"160,645",0,"160,645",K-12 School,K-12 School,"164,229",,,,,,80,38.9,50.9,62.6,77.2,"6,387,710","8,362,498",0,"501,058","1,709,681","46,781","4,678,100",0,260.37,1.58,Yes,,Compliant,,,29,,29,"19,579"
37,2015,SPS-District K-12,K-12 School,JOHN HAY ELEMENTARY SCHOOL (SPS-DISTRICT),809000005,"201 GARFIELD ST
SEATTLE, WA 98109
(47.63303191, -122.35245717)",7,MAGNOLIA / QUEEN ANNE,1989,1,2,"51,582",0,"51,582",K-12 School,K-12 School,"55,166",,,,,,94,26.7,30.5,83.8,95.8,"1,472,548","1,682,521",0,"431,579","1,472,609",0,0,0,10.27,0.08,Yes,,Compliant,,,50,,39,"18,390"
38,2015,NonResidential,Small- and Mid-Sized Office,HOUSE OF GOOD SHEPHERD,825049008,"4649 SUNNYSIDE AVE N
SEATTLE, WA 98103
(47.66391557, -122.33172174)",4,LAKE UNION,1906,1,3,"87,262",0,"87,262","K-12 School, Multifamily Housing, Office, Other - Entertainment/Public Assembly",Office,"40,943",K-12 School,"18,153",Other - Entertainment/Public Assembly,"4,307",,,59.2,66.3,104.1,112.3,"3,988,729","4,470,231",0,"396,679","1,353,524","26,353","2,635,261",0,149.39,1.65,No,,Compliant,,,61,,3,"18,377"
40,2015,NonResidential,Hotel,SILVER CLOUD INN UNIVERSITY,925049117,"5036 25TH AVE NE
SEATTLE, WA 98105
(47.66585193, -122.29889419)",4,NORTHEAST,1994,1,4,"81,871",0,"81,871",Hotel,Hotel,"81,871",,,,,,20,90.6,93.8,178.5,181.8,"7,419,765","7,677,473",0,"957,249","3,266,270","41,536","4,153,630",0,243.37,2.8,No,,Compliant,,,53,,48,"18,383"
41,2015,NonResidential,"Self-Storage Facility
",QFC / SHURGARD MINI STORAGE / LIQUOR STORE,925049330,"2746 NE 45TH ST
SEATTLE, WA 98105
(47.66270326, -122.29612323)",4,NORTHEAST,1955,1,2,"126,394",0,"126,394",Self-Storage Facility,Self-Storage Facility,"26,225",,,,,,77,11.7,12.2,34,34.5,"306,721","319,916",0,"79,930","272,732",340,"34,000",0,3.71,0.02,No,,Compliant,,,53,,48,"18,383"
46,2015,NonResidential,Distribution Center,SEATTLE WAREHOUSE OFFICE BUILDING,323049024,"3301 S NORFOLK ST
SEATTLE, WA 98118
(47.5106034, -122.29027588)",2,GREATER DUWAMISH,1961,7,2,"714,095",0,"714,095",,,,,,,,,1,66.9,64.7,210,203.3,"47,843,892","46,313,516",0,"14,022,240","47,845,869",0,0,0,333.54,0.18,No,,Compliant,,,58,,37,"18,800"
