BuildingID,DataYear,BuildingType,City,State,ZipCode,YearBuilt,PropertyGFATotal,LargestPropertyUseType,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu)
1,2017,NonResidential,Seattle,WA,98101,1927,88434,Hotel,83.1999969482422,82.3000030517578,184.399993896484,181.600006103516,7361655.0,7274452.5,2122835.75,3950356.0225,1288462.98828125
2,2017,NonResidential,Seattle,WA,98101,1996,103566,Hotel,88.1999969482422,86.8000030517578,163.800003051758,159.800003051758,7804844.5,7678810.5,0.0,3016757.332,4788086.71875
3,2017,Specialty,Seattle,WA,98101,1969,956110,Hotel,98.4000015258789,98.1999969482422,242.899993896484,242.600006103516,74470328.0,74311368.0,24313482.0,48712840.804,1444000.09765625
5,2017,NonResidential,SEATTLE,WA,98101,1926,61320,Hotel,120.199996948242,119.0,234.300003051758,230.300003051758,7372221.5,7294312.0,2228119.5,3008513.5135,2135587.890625
8,2017,NonResidential,Seattle,WA,98121,1980,175580,Hotel,116.099998474121,114.099998474121,209.899993896484,205.5,14335778.0,14081251.0,0.0,5198201.619,9137575.78125
9,2017,Specialty,Seattle,WA,98101,1999,97288,Police Stat,261.100006103516,261.0,591.700012207031,591.4000244140631,13250532.0,13249402.0,0.0,7711199.329,5539331.25
10,2017,NonResidential,Seattle,WA,98101,1926,83008,Hotel,72.5,70.8000030517578,148.600006103516,143.300003051758,5901084.0,5763338.5,0.0,2821450.6135,3079632.8125
11,2017,NonResidential,Seattle,WA,98101,1926,102761,Other - Ent,71.5999984741211,69.8000030517578,161.800003051758,159.699996948242,7356191.5,7176510.0,2886288.75,4048362.3105,421539.990234375
12,2017,NonResidential,Seattle,WA,98104,1904,163984,Hotel,90.5,89.9000015258789,188.199996948242,186.100006103516,14847579.0,14735695.0,0.0,7306577.926,7541000.0
13,2017,Residential,Seattle,WA,98104,1910,63712,Multifamily,89.8000030517578,89.5,189.5,189.100006103516,5042044.5,5022714.5,1511604.0,2445026.19175,1085413.96484375
15,2017,NonResidential,Seattle,WA,98101,1969,153163,Hotel,120.0,119.199996948242,227.0,225.899993896484,16066496.0,15958532.0,5702268.0,6051790.188999999,4312437.5
16,2017,NonResidential,Seattle,WA,98101,1998,333176,Hotel,88.4000015258789,87.0999984741211,217.199996948242,213.100006103516,27806852.0,27384446.0,6340211.5,18259237.818,3207400.1953125
17,2017,NonResidential,Seattle,WA,98104,1928,65009,Hotel,73.0,73.0,88.5,88.5,4742757.0,4742757.0,1569480.875,253895.10346875,2919380.859375
18,2017,NonResidential,Seattle,WA,98101,1980,353111,Hotel,75.4000015258789,0.0,176.699996948242,0.0,22282796.0,0.0,0.0,13684145.022,7218978.90625
19,2017,NonResidential,Seattle,WA,98101,1922,92190,Hotel,172.199996948242,171.300003051758,310.79998779296903,309.70001220703097,11603445.0,11542387.0,5626128.0,3781231.7125,2196084.1796875
21,2017,Specialty,Seattle,WA,98154,2004,412000,Library,43.7000007629395,43.5999984741211,133.199996948242,133.100006103516,15986807.0,15965283.0,753683.625,15233121.37,0.0
22,2017,NonResidential,Seattle,WA,98104,1930,103911,Fitness Cen,93.6999969482422,93.6999969482422,190.399993896484,190.399993896484,12175522.0,12177365.0,5704005.0,5305695.3995,1165820.99609375
23,2017,NonResidential,Seattle,WA,98104,1983,416281,Hotel,97.5,95.6999969482422,226.699996948242,222.300003051758,33959408.0,33326178.0,0.0,20715717.454,13243685.9375
24,2017,NonResidential,Seattle,WA,98104,1907,57452,Social/Meet,129.100006103516,128.300003051758,263.79998779296903,262.899993896484,7418679.0,7371858.0,1574400.875,3408358.75625,2435919.140625
25,2017,NonResidential,Seattle,WA,98104,1916,104352,Hotel,85.0999984741211,85.0999984741211,205.100006103516,205.100006103516,8884319.0,8884319.0,2744007.25,5575491.196,564820.01953125
26,2017,NonResidential,Seattle,WA,98104,1916,540360,Courthouse,91.0,89.5999984741211,192.0,190.5,48880476.0,48101932.0,0.0,24781750.086,24098721.875
27,2017,NonResidential,Seattle,WA,98104,1985,385274,Other,124.0,123.0,210.199996948242,209.199996948242,47756124.0,47386200.0,0.0,14754917.627999999,33001203.125
28,2017,Specialty,Seattle,WA,98118,1961,56228,K-12 School,28.600000381469698,27.7999992370605,61.5999984741211,60.9000015258789,1682550.25,1639540.625,0.0,891721.082,790829.00390625
29,2017,NonResidential,Seattle,WA,98105,2001,88592,Hotel,57.0,56.0,131.199996948242,128.800003051758,3863650.0,3791958.5,0.0,2313280.76825,1550368.9453125
30,2017,NonResidential,Seattle,WA,98121,1928,126593,College/Uni,97.3000030517578,97.4000015258789,181.5,181.600006103516,12163565.0,12169801.0,0.0,4747347.616,7416217.1875
31,2017,NonResidential,Seattle,WA,98101,1930,67224,Automobile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,2017,NonResidential,Seattle,WA,98101,1991,158676,Hotel,45.7000007629395,45.7000007629395,56.7999992370605,56.7999992370605,5351128.0,5351723.5,0.0,495830.8270625,4855297.265625
33,2017,NonResidential,Seattle,WA,98101,2001,171866,Hotel,89.8000030517578,88.1999969482422,186.600006103516,183.300003051758,11581091.0,11364507.0,0.0,5694083.3595,5887006.640625
34,2017,Specialty,Seattle,WA,98112,1955,126351,K-12 School,27.399999618530302,27.399999618530302,41.5,41.5,3468018.75,3462376.5,0.0,767933.7220000001,2700084.9609375
35,2017,NonResidential,Seattle,WA,98121,1978,68410,Hotel,83.8000030517578,83.0,184.699996948242,182.100006103516,4376607.0,4332159.0,0.0,2416376.694,1960229.8828125
36,2017,Specialty,Seattle,WA,98125,1949,160645,K-12 School,48.0,46.4000015258789,74.5,72.8000030517578,7890891.5,7620227.5,0.0,1891909.2175,5998982.03125
37,2017,Specialty,Seattle,WA,98109,1989,51582,K-12 School,26.600000381469698,26.600000381469698,83.5,83.5999984741211,1467507.0,1468128.75,0.0,1467506.95775,0.0
38,2017,NonResidential,Seattle,WA,98070,1906,87262,Office,67.09999847412111,65.40000152587889,108.5,106.800003051758,4523929.0,4410662.5,0.0,1227619.90025,3296308.984375
40,2017,NonResidential,Seattle,WA,98105,1994,81871,Hotel,87.6999969482422,86.5,173.899993896484,170.399993896484,7177935.0,7085024.5,0.0,3207640.3925,3970294.53125
41,2017,NonResidential,Seattle,WA,98105,1955,110356,Self-Storag,11.1999998092651,11.1999998092651,31.2000007629395,31.2000007629395,294099.1875,293061.59375,0.0,244299.2,49800.0
43,2017,Specialty,Seattle,WA,98108,1992,494835,Office,286.399993896484,286.5,468.5,468.600006103516,579302208.0,579556160.0,0.0,162398671.136,416903500.0
46,2017,Specialty,Seattle,WA,98118,1961,714095,Non-Refrige,47.0,46.9000015258789,147.600006103516,147.399993896484,45259796.0,45199188.0,0.0,45259791.032,0.0
50,2017,Specialty,Seattle,WA,98199,1990,54986,K-12 School,31.5,31.100000381469698,79.3000030517578,78.9000015258789,1733154.0,1712583.75,0.0,1215160.98225,517993.017578125
51,2017,Specialty,Seattle,WA,98115,1950,175565,K-12 School,41.5,40.7999992370605,61.9000015258789,61.2000007629395,7584022.0,7469367.0,0.0,1602005.332125,5982016.796875
52,2017,NonResidential,Seattle,WA,98107,1961,94900,Office,70.5,69.3000030517578,167.5,166.100006103516,6693368.5,6573501.5,0.0,4242691.9175,2450676.171875
53,2017,NonResidential,Seattle,WA,98144,1900,52554,Office,40.7999992370605,40.2000007629395,76.9000015258789,76.1999969482422,2404192.5,2366052.75,0.0,958357.442,1445834.9609375
54,2017,NonResidential,Seattle,WA,98103,1954,175015,K-12 School,48.9000015258789,47.5,83.5999984741211,82.0999984741211,8565306.0,8315324.0,0.0,2699299.3075,5866005.859375
55,2017,NonResidential,Seattle,WA,98121,1911,70586,Self-Storag,27.5,26.7999992370605,65.59999847412111,64.90000152587889,1938035.875,1889896.0,0.0,1239351.63575,698683.984375
56,2017,NonResidential,Seattle,WA,98101,1969,332210,Hotel,43.9000015258789,0.0,100.400001525879,0.0,15316728.0,0.0,0.0,9046481.264,6270246.09375
57,2017,NonResidential,Seattle,WA,98101,1973,168115,Office,56.4000015258789,55.5,177.199996948242,174.100006103516,9567585.0,9402433.0,0.0,9567584.082,0.0
58,2017,NonResidential,Seattle,WA,98101,1920,57428,Other - Mal,20.2999992370605,20.2999992370605,46.7000007629395,46.7000007629395,1164053.75,1164053.75,0.0,698961.848,465091.9921875
59,2017,NonResidential,Seattle,WA,98101,1910,59400,Office,67.6999969482422,67.6999969482422,212.5,212.5,3720013.0,3720013.0,0.0,3720012.7555,0.0
60,2017,NonResidential,Seattle,WA,98101,1926,52549,Other - Ent,307.600006103516,304.5,510.0,506.399993896484,16138114.0,15974657.0,0.0,4692127.808,11445985.9375
62,2017,NonResidential,Seattle,WA,98101,1930,98634,Hotel,55.0,54.0999984741211,157.699996948242,154.899993896484,4871794.0,4791904.0,0.0,4237212.2455,634581.005859375
63,2017,Specialty,Seattle,WA,98101,1982,1083197,Hotel,86.4000015258789,85.9000015258789,192.0,191.399993896484,85870096.0,85364488.0,12991603.0,47219596.063999996,25658890.625
65,2017,NonResidential,Seattle,WA,98101,1985,71150,Hotel,94.0,94.0,215.800003051758,215.800003051758,5397353.5,5397353.5,0.0,3218277.3025,2179075.9765625
66,2017,NonResidential,Seattle,WA,98101,1908,122810,Hotel,52.5,51.0,78.1999969482422,76.5999984741211,6445936.5,6263231.5,0.0,1355423.18425,5090513.28125
67,2017,NonResidential,SEATTLE,WA,98109,1959,113173,Hotel,78.1999969482422,76.5,173.100006103516,167.800003051758,5524202.5,5403693.0,0.0,3074728.4915,2449473.828125
68,2017,NonResidential,Seattle,WA,98109,2000,150453,Hotel,63.9000015258789,63.0,135.300003051758,132.699996948242,7067429.5,6964738.0,0.0,3607881.6405,3459547.265625
69,2017,NonResidential,Seattle,WA,98109,1997,116300,Hotel,66.90000152587889,66.0,146.899993896484,144.0,5923139.0,5840688.5,0.0,3243737.85975,2679400.9765625
70,2017,NonResidential,Seattle,WA,98119,1998,155602,Hotel,45.2999992370605,44.4000015258789,107.800003051758,105.0,7048202.0,6909994.5,0.0,4484683.326,2563517.96875
73,2017,NonResidential,Seattle,WA,98136,1911,56072,K-12 School,64.09999847412111,62.2999992370605,87.9000015258789,86.0,3595219.75,3495458.0,0.0,552098.812125,3043120.8984375
77,2017,NonResidential,Seattle,WA,98109,1999,122942,Hotel,72.5,71.6999969482422,144.0,141.300003051758,5659957.5,5595112.5,0.0,2532541.2195,3127416.015625
